#PeakID(python identify_motif.py ./ENCODE_processed_files/ATF1_idr.fa ATF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
755_10	chrM	4746	5146	+	1000	622.0	[]	[]	[8.745255]	[74]	[]	[4918]
755_100	chr10	84139307	84139707	+	1000	321.0	[8.745255]	[76]	[9.08557]	[94]	[84139482]	[84139500]
755_1006	chr19	7943476	7943876	+	1000	106.0	[]	[]	[9.08557]	[116]	[]	[7943692]
755_10072	chr22	36529163	36529563	+	930	31.0	[]	[]	[10.880985]	[129]	[]	[36529363]
755_1008	chr20	31604166	31604566	+	1000	106.0	[10.880985]	[103]	[10.880985]	[105]	[31604363]	[31604365]
755_10088	chr3	66220764	66221164	+	1000	31.0	[]	[]	[10.880985]	[116]	[]	[66220973]
755_1009	chr3	39051815	39052215	+	1000	106.0	[10.880985]	[95]	[]	[]	[39052001]	[]
755_10094	chr3	193593713	193594113	+	1000	31.0	[9.08557]	[169]	[]	[]	[193593946]	[]
755_10103	chr4	56544588	56544988	+	1000	31.0	[]	[]	[10.880985]	[200]	[]	[56544833]
755_1011	chr4	109815327	109815727	+	1000	106.0	[]	[]	[10.880985, 9.08557]	[98, 117]	[]	[109815520, 109815539]
755_10116	chr5	132962386	132962786	+	851	31.0	[10.880985]	[146]	[10.880985]	[148]	[132962605]	[132962607]
755_1013	chr8	23246378	23246778	+	1000	106.0	[10.880985]	[122]	[]	[]	[23246584]	[]
755_1014	chr8	41528995	41529395	+	1000	106.0	[10.880985]	[109]	[]	[]	[41529199]	[]
755_1016	chr1	85580805	85581205	+	1000	105.0	[]	[]	[8.028987]	[116]	[]	[85581019]
755_1017	chr1	154937078	154937478	+	1000	105.0	[9.08557]	[100]	[6.94984, 10.880985]	[86, 123]	[154937266]	[154937252, 154937289]
755_10172	chr7	44638079	44638479	+	1000	31.0	[]	[]	[10.880985]	[94]	[]	[44638272]
755_1019	chr14	67619595	67619995	+	1000	105.0	[10.880985]	[95]	[10.880985]	[97]	[67619748]	[67619750]
755_10205	chr8	80029802	80030202	+	574	31.0	[]	[]	[6.94984]	[106]	[]	[80029995]
