#PeakID(python scan_motif.py ./ENCODE_processed_files/TEAD2_idr.fa TEAD2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
965_0	chrM	41	441	+	1000	1110.5	[7.6554527]	[123]	[]	[]	[263]	[]
965_100	chr17	59154991	59155391	+	1000	220.0	[12.834519]	[91]	[]	[]	[59155176]	[]
965_1000	chrUn_KI270438v1	101724	102124	+	1000	66.5	[]	[]	[8.518976, 8.518976, 8.518976, 8.518976, 8.518976, 8.518976]	[55, 65, 70, 85, 115, 140]	[]	[101879, 101889, 101894, 101909, 101939, 101964]
965_10002	chrX	49079351	49079751	+	685	28.0	[]	[]	[10.269137]	[127]	[]	[49079523]
965_10004	chr1	3313041	3313441	+	573	27.5	[]	[]	[12.834519]	[110]	[]	[3313240]
965_10005	chr1	12441401	12441801	+	574	27.5	[10.269137]	[90]	[]	[]	[12441561]	[]
965_10009	chr1	23490094	23490494	+	644	27.5	[]	[]	[8.366211]	[118]	[]	[23490248]
965_10010	chr1	24746096	24746496	+	550	27.5	[]	[]	[7.7329817]	[130]	[]	[24746270]
965_10015	chr1	31487829	31488229	+	624	27.5	[8.366211]	[105]	[]	[]	[31488002]	[]
965_10016	chr1	36212821	36213221	+	655	27.5	[]	[]	[8.311733]	[53]	[]	[36212973]
965_1002	chr1	124757483	124757883	+	1000	66.0	[]	[]	[9.390524]	[83]	[]	[124757659]
965_10020	chr1	41123029	41123429	+	645	27.5	[10.269137]	[58]	[]	[]	[41123185]	[]
965_10022	chr1	45543476	45543876	+	591	27.5	[]	[]	[12.834519]	[185]	[]	[45543715]
965_10024	chr1	53957297	53957697	+	658	27.5	[]	[]	[7.7999115]	[126]	[]	[53957510]
965_10026	chr1	91500115	91500515	+	636	27.5	[]	[]	[9.390524]	[106]	[]	[91500314]
965_10031	chr1	112698882	112699282	+	616	27.5	[9.390524]	[105]	[]	[]	[112699059]	[]
965_10039	chr1	172637558	172637958	+	642	27.5	[8.366211]	[154]	[9.390524]	[138]	[172637798]	[172637782]
965_1004	chr10	70528704	70529104	+	1000	66.0	[]	[]	[8.518976, 9.390524]	[108, 118]	[]	[70528912, 70528922]
965_10040	chr1	184974565	184974965	+	619	27.5	[7.6554527]	[159]	[]	[]	[184974738]	[]
965_10042	chr1	206439187	206439587	+	621	27.5	[]	[]	[7.6749144]	[181]	[]	[206439436]
965_10043	chr1	206672193	206672593	+	644	27.5	[12.834519, 8.366211]	[168, 179]	[]	[]	[206672393, 206672404]	[]
965_10044	chr1	207322268	207322668	+	602	27.5	[9.390524]	[205]	[]	[]	[207322493]	[]
965_10045	chr1	211589732	211590132	+	593	27.5	[7.7999115]	[133]	[]	[]	[211589965]	[]
965_10048	chr1	218344936	218345336	+	544	27.5	[12.834519]	[118]	[7.6554527]	[81]	[218345150]	[218345113]
965_1005	chr11	64334995	64335395	+	1000	66.0	[8.196857]	[105]	[]	[]	[64335168]	[]
965_10053	chr1	246450817	246451217	+	653	27.5	[9.390524]	[153]	[]	[]	[246450986]	[]
965_10057	chr10	21208512	21208912	+	540	27.5	[12.834519, 12.834519]	[134, 149]	[]	[]	[21208743, 21208758]	[]
965_10058	chr10	22433908	22434308	+	663	27.5	[]	[]	[8.366211]	[61]	[]	[22434062]
965_10059	chr10	30583648	30584048	+	603	27.5	[8.366211, 7.6554527]	[86, 102]	[]	[]	[30583799, 30583815]	[]
965_1006	chr12	9797992	9798392	+	1000	66.0	[10.269137]	[69]	[]	[]	[9798158]	[]
965_10060	chr10	33066940	33067340	+	650	27.5	[]	[]	[7.7999115, 8.366211]	[133, 140]	[]	[33067153, 33067160]
965_10061	chr10	44978736	44979136	+	618	27.5	[]	[]	[12.834519]	[197]	[]	[44978979]
965_10062	chr10	56370230	56370630	+	628	27.5	[]	[]	[12.834519]	[127]	[]	[56370440]
965_10063	chr10	60299292	60299692	+	647	27.5	[]	[]	[8.196857]	[189]	[]	[60299491]
965_10064	chr10	60444444	60444844	+	650	27.5	[]	[]	[9.390524]	[101]	[]	[60444631]
965_10074	chr11	33927008	33927408	+	629	27.5	[8.366211]	[119]	[]	[]	[33927165]	[]
965_1008	chr14	77043342	77043742	+	1000	66.0	[9.390524]	[122]	[]	[]	[77043557]	[]
965_10081	chr11	78429270	78429670	+	626	27.5	[]	[]	[12.834519]	[117]	[]	[78429456]
965_10085	chr12	51341366	51341766	+	640	27.5	[8.366211]	[100]	[]	[]	[51341557]	[]
965_10086	chr12	56688505	56688905	+	636	27.5	[8.311733]	[96]	[]	[]	[56688701]	[]
965_10090	chr12	101855292	101855692	+	629	27.5	[]	[]	[8.518976, 9.390524, 7.6749144]	[130, 135, 151]	[]	[101855481, 101855486, 101855502]
965_10093	chr12	128671534	128671934	+	625	27.5	[10.269137, 12.834519]	[108, 130]	[]	[]	[128671730, 128671752]	[]
965_10097	chr13	89791650	89792050	+	625	27.5	[]	[]	[7.9547687]	[140]	[]	[89791861]
965_10098	chr13	89968679	89969079	+	581	27.5	[]	[]	[8.366211]	[243]	[]	[89968927]
965_10099	chr13	90008891	90009291	+	613	27.5	[8.366211]	[134]	[]	[]	[90009114]	[]
965_101	chr3	47421003	47421403	+	1000	220.0	[8.176826]	[83]	[]	[]	[47421183]	[]
965_10102	chr13	93250950	93251350	+	627	27.5	[]	[]	[8.311733]	[79]	[]	[93251123]
965_10105	chr13	93324613	93325013	+	661	27.5	[]	[]	[8.196857]	[104]	[]	[93324784]
965_10112	chr14	81267892	81268292	+	641	27.5	[8.176826]	[141]	[]	[]	[81268100]	[]
965_10118	chr15	95684724	95685124	+	650	27.5	[7.6554527]	[133]	[]	[]	[95684931]	[]
965_1012	chr22	22342900	22343300	+	1000	66.0	[]	[]	[12.834519]	[129]	[]	[22343120]
965_10121	chr16	11093928	11094328	+	618	27.5	[8.518976]	[112]	[]	[]	[11094105]	[]
965_10126	chr16	57591311	57591711	+	635	27.5	[8.311733]	[142]	[12.834519]	[90]	[57591551]	[57591499]
965_10127	chr16	66960932	66961332	+	544	27.5	[]	[]	[9.390524]	[105]	[]	[66961083]
965_10128	chr16	69727856	69728256	+	642	27.5	[7.6554527]	[121]	[8.731906]	[184]	[69728039]	[69728102]
965_1013	chr3	20022877	20023277	+	1000	66.0	[10.269137]	[155]	[]	[]	[20023119]	[]
965_10131	chr16	85372769	85373169	+	601	27.5	[]	[]	[7.6554527]	[158]	[]	[85373009]
965_10138	chr17	44123898	44124298	+	586	27.5	[8.196857]	[141]	[]	[]	[44124063]	[]
965_10141	chr17	48944796	48945196	+	646	27.5	[10.269137]	[180]	[]	[]	[48945044]	[]
965_10145	chr17	60102737	60103137	+	558	27.5	[]	[]	[12.834519]	[93]	[]	[60102899]
965_10148	chr17	82037788	82038188	+	605	27.5	[]	[]	[8.366211]	[160]	[]	[82038008]
965_10149	chr17	82289197	82289597	+	567	27.5	[]	[]	[8.311733]	[146]	[]	[82289399]
965_1015	chr4	74682716	74683116	+	1000	66.0	[]	[]	[12.834519]	[84]	[]	[74682882]
965_10151	chr18	23432948	23433348	+	632	27.5	[]	[]	[12.834519]	[106]	[]	[23433109]
965_1016	chr5	131994523	131994923	+	1000	66.0	[]	[]	[10.269137]	[94]	[]	[131994706]
965_10169	chr2	88691313	88691713	+	627	27.5	[10.269137]	[122]	[]	[]	[88691507]	[]
965_10173	chr2	112481025	112481425	+	580	27.5	[]	[]	[8.196857]	[154]	[]	[112481243]
965_10177	chr2	178132276	178132676	+	547	27.5	[10.269137]	[138]	[7.6554527]	[78]	[178132509]	[178132449]
965_10179	chr2	196400052	196400452	+	654	27.5	[7.7999115]	[131]	[]	[]	[196400265]	[]
965_1018	chrX	139213322	139213722	+	1000	66.0	[]	[]	[12.834519]	[65]	[]	[139213482]
965_10182	chr20	1500426	1500826	+	618	27.5	[7.6749144, 12.834519]	[65, 111]	[]	[]	[1500583, 1500629]	[]
965_10186	chr20	36050888	36051288	+	618	27.5	[]	[]	[7.7999115, 8.518976, 8.518976]	[68, 91, 98]	[]	[36051048, 36051071, 36051078]
965_10187	chr20	36051770	36052170	+	615	27.5	[]	[]	[7.6749144]	[188]	[]	[36051983]
965_10189	chr20	38092596	38092996	+	628	27.5	[]	[]	[8.176826]	[146]	[]	[38092841]
965_1019	chr1	36398564	36398964	+	1000	65.5	[7.9547687]	[127]	[]	[]	[36398783]	[]
965_10191	chr20	57524849	57525249	+	641	27.5	[]	[]	[10.269137]	[99]	[]	[57525044]
965_10194	chr21	31714911	31715311	+	619	27.5	[12.834519]	[155]	[]	[]	[31715124]	[]
965_10196	chr21	34582834	34583234	+	623	27.5	[9.390524]	[117]	[]	[]	[34583018]	[]
965_102	chr7	33716588	33716988	+	1000	219.0	[12.834519]	[90]	[]	[]	[33716776]	[]
965_1020	chr1	53838452	53838852	+	1000	65.5	[]	[]	[12.834519]	[75]	[]	[53838611]
965_10201	chr22	19019899	19020299	+	562	27.5	[]	[]	[10.269137]	[118]	[]	[19020105]
965_10203	chr22	19278472	19278872	+	657	27.5	[9.390524, 9.390524]	[76, 139]	[]	[]	[19278642, 19278705]	[]
965_10208	chr22	20262635	20263035	+	555	27.5	[]	[]	[8.518976, 7.6749144]	[123, 139]	[]	[20262828, 20262844]
965_10209	chr22	20445970	20446370	+	553	27.5	[]	[]	[8.366211]	[113]	[]	[20446140]
965_10211	chr22	20520561	20520961	+	648	27.5	[]	[]	[8.196857]	[99]	[]	[20520716]
965_10212	chr22	20567409	20567809	+	665	27.5	[]	[]	[12.834519]	[174]	[]	[20567645]
965_10213	chr22	20579676	20580076	+	633	27.5	[8.366211]	[127]	[]	[]	[20579883]	[]
965_10217	chr22	20854310	20854710	+	624	27.5	[]	[]	[7.6749144]	[173]	[]	[20854523]
965_10219	chr22	20935957	20936357	+	636	27.5	[]	[]	[8.366211]	[141]	[]	[20936173]
965_10221	chr22	21083119	21083519	+	611	27.5	[7.6554527]	[159]	[8.176826]	[177]	[21083311]	[21083329]
965_10229	chr22	22190600	22191000	+	646	27.5	[8.176826]	[110]	[]	[]	[22190783]	[]
965_1023	chr10	60300546	60300946	+	1000	65.5	[7.6554527, 12.834519]	[104, 131]	[]	[]	[60300737, 60300764]	[]
965_10233	chr22	22573200	22573600	+	614	27.5	[12.834519]	[158]	[]	[]	[22573425]	[]
965_10238	chr22	22761503	22761903	+	625	27.5	[12.834519]	[126]	[]	[]	[22761654]	[]
965_10240	chr22	30391062	30391462	+	614	27.5	[]	[]	[12.834519]	[147]	[]	[30391294]
965_10247	chr3	39287203	39287603	+	667	27.5	[]	[]	[7.7329817]	[165]	[]	[39287401]
965_10248	chr3	40292760	40293160	+	554	27.5	[8.366211]	[76]	[]	[]	[40292919]	[]
965_10249	chr3	41102226	41102626	+	598	27.5	[]	[]	[12.834519]	[102]	[]	[41102427]
965_10254	chr3	171809174	171809574	+	627	27.5	[8.196857, 8.176826]	[138, 192]	[]	[]	[171809359, 171809413]	[]
965_10260	chr3	197906054	197906454	+	589	27.5	[]	[]	[8.176826]	[133]	[]	[197906224]
965_10262	chr4	39970824	39971224	+	635	27.5	[9.390524]	[76]	[]	[]	[39970992]	[]
965_10266	chr5	44808690	44809090	+	603	27.5	[8.196857]	[110]	[]	[]	[44808877]	[]
965_10269	chr5	78678421	78678821	+	599	27.5	[]	[]	[8.196857]	[102]	[]	[78678596]
965_1027	chr19	13151487	13151887	+	1000	65.5	[]	[]	[10.269137]	[118]	[]	[13151702]
965_10277	chr6	2769945	2770345	+	639	27.5	[7.6554527]	[143]	[12.834519]	[160]	[2770123]	[2770140]
965_10278	chr6	2790995	2791395	+	649	27.5	[12.834519]	[134]	[7.6749144]	[151]	[2791225]	[2791242]
965_1028	chr19	40822931	40823331	+	1000	65.5	[12.834519]	[135]	[12.834519]	[107]	[40823154]	[40823126]
965_10280	chr6	5892282	5892682	+	592	27.5	[]	[]	[9.390524]	[160]	[]	[5892516]
965_10281	chr6	6656958	6657358	+	665	27.5	[]	[]	[7.9547687]	[133]	[]	[6657138]
965_10282	chr6	10746915	10747315	+	610	27.5	[]	[]	[8.518976]	[140]	[]	[10747117]
965_10283	chr6	20846583	20846983	+	634	27.5	[]	[]	[8.731906]	[78]	[]	[20846752]
965_10284	chr6	26064560	26064960	+	643	27.5	[7.9547687]	[95]	[]	[]	[26064752]	[]
965_10288	chr6	31122883	31123283	+	568	27.5	[12.834519]	[87]	[]	[]	[31123063]	[]
965_10289	chr6	31851534	31851934	+	566	27.5	[]	[]	[12.834519]	[170]	[]	[31851781]
965_10291	chr6	35726990	35727390	+	641	27.5	[8.366211]	[128]	[]	[]	[35727195]	[]
965_10300	chr6	47416669	47417069	+	645	27.5	[9.390524]	[85]	[]	[]	[47416842]	[]
965_10302	chr6	86599105	86599505	+	629	27.5	[]	[]	[7.7329817]	[107]	[]	[86599278]
965_10304	chr6	111842881	111843281	+	602	27.5	[]	[]	[8.311733]	[145]	[]	[111843099]
965_10307	chr6	149647541	149647941	+	594	27.5	[]	[]	[12.834519]	[93]	[]	[149647703]
965_10309	chr6	150151188	150151588	+	606	27.5	[]	[]	[7.9547687]	[166]	[]	[150151430]
965_10316	chr7	65369782	65370182	+	652	27.5	[]	[]	[9.390524]	[92]	[]	[65369956]
965_10318	chr7	98819368	98819768	+	643	27.5	[]	[]	[12.834519]	[119]	[]	[98819561]
965_1032	chr3	6518792	6519192	+	1000	65.5	[10.269137]	[120]	[]	[]	[6518990]	[]
965_10320	chr7	99831672	99832072	+	643	27.5	[]	[]	[8.518976]	[146]	[]	[99831845]
965_10327	chr7	106732124	106732524	+	598	27.5	[7.7329817, 8.731906]	[129, 144]	[]	[]	[106732282, 106732297]	[]
965_1033	chr4	49119035	49119435	+	1000	65.5	[8.518976, 8.518976, 8.518976, 8.518976, 8.311733, 8.518976, 8.518976, 10.269137]	[60, 65, 95, 100, 110, 115, 140, 155]	[]	[]	[49119190, 49119195, 49119225, 49119230, 49119240, 49119245, 49119270, 49119285]	[]
965_10336	chr7	142478394	142478794	+	643	27.5	[10.269137]	[104]	[]	[]	[142478567]	[]
965_10344	chr8	8807021	8807421	+	640	27.5	[]	[]	[7.8428354, 8.196857]	[81, 146]	[]	[8807185, 8807250]
965_1035	chr6	72560769	72561169	+	1000	65.5	[9.390524]	[134]	[]	[]	[72560963]	[]
965_10352	chr8	129751900	129752300	+	664	27.5	[8.196857]	[177]	[]	[]	[129752093]	[]
965_10353	chr9	95317435	95317835	+	547	27.5	[]	[]	[9.390524]	[208]	[]	[95317645]
965_1036	chr6	83974649	83975049	+	1000	65.5	[]	[]	[12.834519]	[130]	[]	[83974833]
965_10364	chrUn_KI270442v1	80728	81128	+	601	27.5	[]	[]	[8.518976, 8.518976, 8.518976, 8.518976, 10.269137, 8.518976, 8.518976]	[53, 88, 108, 118, 128, 138, 143]	[]	[80880, 80915, 80935, 80945, 80955, 80965, 80970]
965_10365	chrX	2549339	2549739	+	634	27.5	[]	[]	[10.269137]	[96]	[]	[2549515]
965_10366	chr1	6625681	6626081	+	578	27.0	[12.834519, 8.518976]	[93, 125]	[]	[]	[6625848, 6625880]	[]
965_10367	chr1	8879301	8879701	+	631	27.0	[8.311733]	[169]	[]	[]	[8879551]	[]
965_1037	chr7	16657938	16658338	+	1000	65.5	[7.6749144]	[133]	[7.6554527, 10.269137]	[102, 126]	[16658169]	[16658138, 16658162]
965_10376	chr1	25413297	25413697	+	619	27.0	[8.366211]	[150]	[]	[]	[25413537]	[]
965_1038	chr7	128862575	128862975	+	1000	65.5	[]	[]	[10.269137]	[112]	[]	[128862779]
