#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2F6_idr.fa NR2F6 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
681_10002	chr9	112751608	112752008	+	1000	37.0	[6.917256, 8.423179]	[134, 141]	[]	[]	[112751820, 112751827]	[]
681_10015	chr9	136610429	136610829	+	1000	37.0	[13.574681]	[162]	[]	[]	[136610652]	[]
681_10019	chrUn_KI270742v1	23872	24272	+	1000	37.0	[8.514302]	[101]	[]	[]	[24068]	[]
681_10025	chr1	1305165	1305565	+	899	36.0	[11.258537]	[105]	[]	[]	[1305344]	[]
681_10027	chr1	1440952	1441352	+	1000	36.0	[7.608377]	[87]	[]	[]	[1441131]	[]
681_10041	chr1	15464244	15464644	+	767	36.0	[8.7080965]	[141]	[]	[]	[15464484]	[]
681_10045	chr1	23799442	23799842	+	866	36.0	[]	[]	[12.02581, 6.9654317]	[97, 140]	[]	[23799607, 23799650]
681_10049	chr1	26698198	26698598	+	1000	36.0	[10.400684]	[165]	[]	[]	[26698447]	[]
681_10062	chr1	36966264	36966664	+	1000	36.0	[12.716828]	[162]	[6.9793944]	[106]	[36966507]	[36966451]
681_1007	chr19	38196188	38196588	+	1000	91.0	[]	[]	[7.415039, 7.415039, 6.8528676, 6.8528676, 7.415039, 6.8528676]	[147, 187, 193, 213, 227, 233]	[]	[38196342, 38196382, 38196388, 38196408, 38196422, 38196428]
681_10073	chr1	92785260	92785660	+	913	36.0	[8.288293]	[146]	[]	[]	[92785503]	[]
681_10076	chr1	101283484	101283884	+	1000	36.0	[10.046241]	[139]	[11.724585]	[119]	[101283716]	[101283696]
681_10077	chr1	109277411	109277811	+	992	36.0	[7.2750764]	[176]	[]	[]	[109277604]	[]
681_10085	chr1	149927581	149927981	+	900	36.0	[10.016101]	[162]	[]	[]	[149927803]	[]
681_10086	chr1	155091289	155091689	+	1000	36.0	[]	[]	[10.621305, 10.822892]	[96, 132]	[]	[155091459, 155091495]
681_10099	chr1	202553578	202553978	+	1000	36.0	[10.466044]	[132]	[]	[]	[202553759]	[]
681_10101	chr1	205141697	205142097	+	1000	36.0	[8.780026]	[193]	[]	[]	[205141944]	[]
681_10113	chr1	228174688	228175088	+	1000	36.0	[]	[]	[7.2750764]	[128]	[]	[228174879]
681_10121	chr10	5478246	5478646	+	1000	36.0	[8.780026]	[99]	[]	[]	[5478406]	[]
681_10123	chr10	7408458	7408858	+	1000	36.0	[8.66444]	[85]	[]	[]	[7408636]	[]
681_10127	chr10	24951769	24952169	+	1000	36.0	[]	[]	[11.2237425]	[97]	[]	[24951947]
681_10128	chr10	38529112	38529512	+	1000	36.0	[7.0928655]	[136]	[]	[]	[38529311]	[]
681_1013	chr3	28348521	28348921	+	1000	91.0	[]	[]	[10.225179]	[86]	[]	[28348691]
681_10135	chr10	70331371	70331771	+	1000	36.0	[8.514302]	[95]	[7.8524485]	[129]	[70331545]	[70331579]
681_10145	chr10	79129652	79130052	+	1000	36.0	[]	[]	[12.623525]	[124]	[]	[79129857]
681_10148	chr11	2399958	2400358	+	1000	36.0	[]	[]	[7.1881423]	[186]	[]	[2400183]
681_10150	chr11	10490665	10491065	+	697	36.0	[8.423179]	[116]	[]	[]	[10490818]	[]
681_10152	chr11	31815130	31815530	+	1000	36.0	[9.540887]	[99]	[8.028181, 6.8722434]	[120, 152]	[31815318]	[31815339, 31815371]
681_10153	chr11	32893124	32893524	+	1000	36.0	[]	[]	[6.8722434]	[114]	[]	[32893325]
681_10154	chr11	34599783	34600183	+	959	36.0	[]	[]	[8.565256]	[139]	[]	[34599994]
681_10155	chr11	46243487	46243887	+	1000	36.0	[7.375241]	[195]	[]	[]	[46243696]	[]
681_10157	chr11	57167113	57167513	+	1000	36.0	[]	[]	[11.8274975, 11.2237425, 8.514302]	[126, 133, 142]	[]	[57167339, 57167346, 57167355]
681_10163	chr11	66370938	66371338	+	1000	36.0	[]	[]	[7.473389, 6.9631176]	[149, 195]	[]	[66371134, 66371180]
