#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2F1_idr.fa NR2F1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
504_10000	chr1	35136720	35137120	+	1000	73.0	[7.6574984]	[111]	[]	[]	[35136899]	[]
504_10002	chr1	45444748	45445148	+	802	73.0	[10.737563, 11.876825]	[110, 125]	[]	[]	[45444952, 45444967]	[]
504_10005	chr1	160284743	160285143	+	593	73.0	[10.737563]	[128]	[7.6574984]	[102]	[160284920]	[160284894]
504_10007	chr1	201097360	201097760	+	1000	73.0	[]	[]	[10.737563]	[85]	[]	[201097527]
504_10013	chr10	24503545	24503945	+	1000	73.0	[11.876825]	[227]	[]	[]	[24503789]	[]
504_10015	chr10	99713538	99713938	+	1000	73.0	[11.876825]	[121]	[]	[]	[99713754]	[]
504_10017	chr12	68808609	68809009	+	769	73.0	[12.247973, 7.441646]	[123, 192]	[]	[]	[68808767, 68808836]	[]
504_10019	chr12	96371416	96371816	+	1000	73.0	[11.876825]	[90]	[]	[]	[96371577]	[]
504_10020	chr13	52602236	52602636	+	1000	73.0	[]	[]	[12.247973]	[152]	[]	[52602484]
504_10021	chr14	21278021	21278421	+	1000	73.0	[11.876825, 11.876825]	[85, 93]	[]	[]	[21278193, 21278201]	[]
504_10022	chr14	101924482	101924882	+	1000	73.0	[]	[]	[11.876825, 11.876825]	[99, 107]	[]	[101924662, 101924670]
504_10025	chr15	63484367	63484767	+	1000	73.0	[11.876825]	[213]	[]	[]	[63484600]	[]
504_10028	chr16	20681692	20682092	+	1000	73.0	[6.0948906]	[176]	[]	[]	[20681924]	[]
504_10029	chr16	30575223	30575623	+	1000	73.0	[]	[]	[11.876825]	[216]	[]	[30575473]
504_1003	chr19	10879002	10879402	+	1000	288.5	[12.247973]	[172]	[]	[]	[10879225]	[]
504_10036	chr19	7764163	7764563	+	1000	73.0	[]	[]	[12.247973]	[109]	[]	[7764351]
504_10037	chr19	11382777	11383177	+	673	73.0	[]	[]	[5.7237425]	[169]	[]	[11382974]
504_10038	chr19	29947363	29947763	+	1000	73.0	[]	[]	[12.247973]	[155]	[]	[29947573]
504_10041	chr19	40690708	40691108	+	1000	73.0	[]	[]	[11.876825]	[168]	[]	[40690928]
504_10042	chr19	40865186	40865586	+	1000	73.0	[12.247973]	[87]	[]	[]	[40865361]	[]
504_10043	chr19	48868501	48868901	+	1000	73.0	[]	[]	[11.876825]	[116]	[]	[48868710]
504_10044	chr2	11941319	11941719	+	1000	73.0	[]	[]	[6.0948906]	[168]	[]	[11941514]
504_10047	chr2	105467765	105468165	+	980	73.0	[6.0331016]	[130]	[]	[]	[105467946]	[]
504_10048	chr2	157853226	157853626	+	1000	73.0	[]	[]	[11.876825]	[117]	[]	[157853432]
