#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF13_idr.fa KLF13 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
92_100	chr15	31216797	31217197	+	1000	212.5	[]	[]	[5.075543, 3.4378278]	[115, 173]	[]	[31216965, 31217023]
92_10002	chr1	42823972	42824372	+	627	30.5	[]	[]	[11.03247]	[157]	[]	[42824201]
92_10011	chr1	115138944	115139344	+	643	30.5	[4.079453]	[181]	[]	[]	[115139149]	[]
92_10018	chr1	180933070	180933470	+	618	30.5	[]	[]	[4.391116]	[163]	[]	[180933254]
92_1002	chr19	49641812	49642212	+	1000	75.0	[5.0910344, 5.2643027]	[129, 157]	[]	[]	[49642012, 49642040]	[]
92_10020	chr1	182790694	182791094	+	621	30.5	[5.943053]	[97]	[]	[]	[182790881]	[]
92_10025	chr1	214464433	214464833	+	595	30.5	[12.923461]	[99]	[]	[]	[214464614]	[]
92_1003	chr21	36441734	36442134	+	1000	75.0	[12.531936]	[110]	[]	[]	[36441904]	[]
92_10031	chr10	11639734	11640134	+	540	30.5	[16.471863]	[89]	[]	[]	[11639890]	[]
92_10040	chr10	130136166	130136566	+	639	30.5	[9.228874]	[111]	[7.3515005]	[67]	[130136366]	[130136322]
92_10041	chr10	132453083	132453483	+	581	30.5	[6.5128508]	[135]	[6.867345]	[116]	[132453301]	[132453282]
92_10045	chr11	46278437	46278837	+	556	30.5	[4.0391974]	[141]	[]	[]	[46278652]	[]
92_10048	chr11	65040648	65041048	+	626	30.5	[3.899134, 3.899134]	[163, 168]	[4.0226517]	[146]	[65040881, 65040886]	[65040864]
92_10050	chr11	75562227	75562627	+	632	30.5	[]	[]	[5.5544033]	[138]	[]	[75562394]
92_10052	chr11	119121610	119122010	+	594	30.5	[]	[]	[4.370061]	[130]	[]	[119121784]
92_10054	chr12	591422	591822	+	600	30.5	[]	[]	[3.121898]	[145]	[]	[591597]
92_10059	chr12	52051093	52051493	+	633	30.5	[3.8684895, 10.964813, 5.428102]	[136, 154, 213]	[]	[]	[52051247, 52051265, 52051324]	[]
92_10062	chr12	76031677	76032077	+	618	30.5	[]	[]	[4.134686]	[154]	[]	[76031896]
92_10063	chr12	101698268	101698668	+	578	30.5	[9.01742]	[202]	[]	[]	[101698508]	[]
92_10064	chr12	113584105	113584505	+	629	30.5	[]	[]	[5.024693]	[153]	[]	[113584327]
92_10066	chr12	121802697	121803097	+	555	30.5	[3.4493544]	[140]	[]	[]	[121802868]	[]
92_1007	chr22	23177133	23177533	+	1000	75.0	[4.4800086]	[202]	[]	[]	[23177375]	[]
92_1008	chr3	38346596	38346996	+	1000	75.0	[]	[]	[5.212461]	[76]	[]	[38346767]
92_10086	chr14	64986891	64987291	+	628	30.5	[5.0207186]	[91]	[4.6153793]	[121]	[64987080]	[64987110]
92_1009	chr6	26312866	26313266	+	1000	75.0	[9.103169]	[123]	[]	[]	[26313057]	[]
