#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2F2_idr.fa NR2F2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
507_10015	chr16	15573297	15573697	+	1000	80.0	[12.953519]	[193]	[]	[]	[15573541]	[]
507_10020	chr16	88461868	88462268	+	1000	80.0	[]	[]	[7.663098]	[156]	[]	[88462100]
507_10021	chr17	7476097	7476497	+	1000	80.0	[7.4965763]	[116]	[]	[]	[7476260]	[]
507_10032	chr18	9915044	9915444	+	1000	80.0	[]	[]	[7.7804747]	[109]	[]	[9915223]
507_1004	chr16	3163434	3163834	+	1000	262.0	[]	[]	[8.015333]	[133]	[]	[3163652]
507_10047	chr19	58474532	58474932	+	1000	80.0	[12.953519]	[73]	[]	[]	[58474692]	[]
507_10050	chr2	48442658	48443058	+	1000	80.0	[9.5729685]	[166]	[7.4965763, 7.6892543]	[132, 138]	[48442896]	[48442862, 48442868]
507_10052	chr2	112812758	112813158	+	1000	80.0	[8.614196, 7.4965763]	[146, 152]	[]	[]	[112812985, 112812991]	[]
507_10055	chr2	169519855	169520255	+	1000	80.0	[]	[]	[9.739339]	[153]	[]	[169520084]
507_10059	chr2	190213472	190213872	+	1000	80.0	[9.964856]	[100]	[]	[]	[190213663]	[]
507_10060	chr2	219575567	219575967	+	1000	80.0	[8.015333, 7.4965763]	[122, 157]	[9.739339]	[141]	[219575775, 219575810]	[219575794]
507_10063	chr20	5122871	5123271	+	1000	80.0	[12.953519]	[163]	[]	[]	[5123101]	[]
507_10072	chr22	20904619	20905019	+	1000	80.0	[]	[]	[9.739339]	[126]	[]	[20904843]
507_10074	chr22	21685891	21686291	+	1000	80.0	[8.614196]	[115]	[]	[]	[21686071]	[]
507_10078	chr3	6608818	6609218	+	1000	80.0	[8.015333]	[76]	[]	[]	[6608984]	[]
507_10085	chr3	155863379	155863779	+	1000	80.0	[9.964856]	[112]	[]	[]	[155863571]	[]
507_10090	chr4	6673642	6674042	+	1000	80.0	[]	[]	[9.5729685, 8.614196]	[106, 135]	[]	[6673823, 6673852]
507_10094	chr4	122691934	122692334	+	1000	80.0	[]	[]	[12.953519]	[139]	[]	[122692144]
507_10096	chr4	165325858	165326258	+	1000	80.0	[9.5729685]	[89]	[]	[]	[165326045]	[]
507_1010	chr8	124476190	124476590	+	1000	262.0	[8.614196]	[118]	[]	[]	[124476400]	[]
507_10100	chr5	68320077	68320477	+	1000	80.0	[9.964856, 7.58023]	[125, 146]	[]	[]	[68320279, 68320300]	[]
507_10101	chr5	132539676	132540076	+	1000	80.0	[]	[]	[7.9180784, 8.015333]	[90, 100]	[]	[132539859, 132539869]
507_10102	chr6	4125897	4126297	+	1000	80.0	[12.953519]	[135]	[]	[]	[4126117]	[]
507_10104	chr6	10643109	10643509	+	1000	80.0	[]	[]	[12.953519]	[146]	[]	[10643345]
507_10120	chr6	113018619	113019019	+	795	80.0	[12.953519]	[90]	[]	[]	[113018808]	[]
507_10124	chr7	6057677	6058077	+	1000	80.0	[]	[]	[9.739339]	[123]	[]	[6057857]
507_1013	chr11	57531155	57531555	+	1000	261.0	[9.964856]	[85]	[]	[]	[57531337]	[]
507_10140	chr8	30052511	30052911	+	1000	80.0	[7.663098]	[108]	[]	[]	[30052718]	[]
507_10144	chr9	306946	307346	+	1000	80.0	[]	[]	[9.739339, 9.964856]	[100, 189]	[]	[307103, 307192]
507_10145	chr9	79583816	79584216	+	1000	80.0	[8.015333]	[143]	[]	[]	[79584057]	[]
507_10146	chr9	93456515	93456915	+	1000	80.0	[7.7804747, 7.4965763]	[108, 115]	[]	[]	[93456708, 93456715]	[]
507_10148	chr9	137202536	137202936	+	1000	80.0	[9.739339]	[141]	[]	[]	[137202746]	[]
507_1015	chr19	38270011	38270411	+	1000	261.0	[]	[]	[8.614196]	[78]	[]	[38270187]
507_10154	chr1	6437962	6438362	+	1000	79.0	[7.5738697]	[65]	[]	[]	[6438123]	[]
507_10160	chr1	35788094	35788494	+	1000	79.0	[]	[]	[12.953519]	[110]	[]	[35788253]
507_10173	chr1	223628203	223628603	+	1000	79.0	[]	[]	[8.614196]	[115]	[]	[223628408]
507_10174	chr1	227379247	227379647	+	1000	79.0	[7.7032084]	[139]	[]	[]	[227379456]	[]
507_10178	chr10	46020303	46020703	+	1000	79.0	[]	[]	[12.953519, 7.58023]	[132, 147]	[]	[46020530, 46020545]
507_1018	chr20	49765102	49765502	+	1000	261.0	[]	[]	[8.015333]	[147]	[]	[49765340]
507_10180	chr10	70233641	70234041	+	1000	79.0	[7.5738697]	[116]	[]	[]	[70233827]	[]
507_10183	chr10	89332020	89332420	+	1000	79.0	[8.015333]	[108]	[]	[]	[89332215]	[]
507_10184	chr10	94405415	94405815	+	1000	79.0	[9.739339]	[112]	[]	[]	[94405608]	[]
507_10189	chr11	44528054	44528454	+	1000	79.0	[]	[]	[12.953519]	[149]	[]	[44528281]
507_10190	chr11	61267439	61267839	+	1000	79.0	[12.953519]	[79]	[]	[]	[61267612]	[]
507_1020	chr5	88378030	88378430	+	1000	261.0	[]	[]	[7.5738697]	[72]	[]	[88378196]
507_10202	chr12	47194519	47194919	+	1000	79.0	[12.953519]	[102]	[8.015333, 7.7032084]	[86, 143]	[47194708]	[47194692, 47194749]
507_10205	chr12	52660547	52660947	+	844	79.0	[]	[]	[12.953519]	[183]	[]	[52660792]
507_10213	chr13	50335039	50335439	+	1000	79.0	[]	[]	[7.7032084, 9.739339]	[111, 118]	[]	[50335230, 50335237]
507_10216	chr15	45200396	45200796	+	1000	79.0	[7.9201093]	[61]	[]	[]	[45200555]	[]
507_10219	chr16	2497301	2497701	+	1000	79.0	[8.614196]	[142]	[]	[]	[2497511]	[]
507_10227	chr17	2398695	2399095	+	1000	79.0	[]	[]	[12.953519]	[155]	[]	[2398929]
507_10228	chr17	27365317	27365717	+	1000	79.0	[9.5729685]	[155]	[]	[]	[27365554]	[]
507_10231	chr17	38752362	38752762	+	1000	79.0	[]	[]	[7.7804747]	[162]	[]	[38752603]
507_10232	chr17	45197867	45198267	+	1000	79.0	[9.739339]	[104]	[]	[]	[45198070]	[]
507_10236	chr17	64392887	64393287	+	1000	79.0	[8.015333]	[110]	[]	[]	[64393048]	[]
507_10244	chr18	59957987	59958387	+	1000	79.0	[]	[]	[7.7032084]	[95]	[]	[59958149]
507_10246	chr19	34980251	34980651	+	1000	79.0	[]	[]	[12.953519]	[105]	[]	[34980443]
507_10248	chr19	41934883	41935283	+	1000	79.0	[8.015333]	[103]	[]	[]	[41935086]	[]
507_10249	chr19	44886122	44886522	+	1000	79.0	[9.739339, 12.953519, 12.953519]	[103, 117, 130]	[]	[]	[44886292, 44886306, 44886319]	[]
507_10250	chr19	45245320	45245720	+	1000	79.0	[]	[]	[7.58023]	[104]	[]	[45245515]
507_10254	chr2	17642514	17642914	+	1000	79.0	[]	[]	[12.953519]	[112]	[]	[17642711]
507_10256	chr2	30234610	30235010	+	937	79.0	[]	[]	[8.614196, 7.4965763]	[125, 142]	[]	[30234796, 30234813]
507_10257	chr2	32274805	32275205	+	1000	79.0	[9.739339]	[101]	[]	[]	[32274994]	[]
507_10258	chr2	65437646	65438046	+	1000	79.0	[8.015333, 9.739339]	[145, 154]	[]	[]	[65437886, 65437895]	[]
507_10271	chr21	33215604	33216004	+	1000	79.0	[8.015333]	[83]	[]	[]	[33215775]	[]
507_10278	chr3	32848198	32848598	+	1000	79.0	[7.7032084]	[76]	[]	[]	[32848362]	[]
507_10291	chr4	56466355	56466755	+	1000	79.0	[12.953519]	[99]	[]	[]	[56466550]	[]
