#PeakID(python identify_motif.py ./ENCODE_processed_files/TEAD4_idr.fa TEAD4 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
171_10000	chr11	448208	448608	+	1000	143.0	[]	[]	[14.352782]	[113]	[]	[448414]
171_10010	chr12	92416281	92416681	+	1000	143.0	[11.970033]	[98]	[]	[]	[92416478]	[]
171_10017	chr16	24217456	24217856	+	1000	143.0	[6.938982]	[123]	[]	[]	[24217675]	[]
171_10018	chr16	29790560	29790960	+	1000	143.0	[]	[]	[10.0733185]	[118]	[]	[29790756]
171_10021	chr17	28719805	28720205	+	1000	143.0	[]	[]	[6.729318]	[139]	[]	[28720025]
171_10026	chr17	48871685	48872085	+	1000	143.0	[]	[]	[9.133122]	[130]	[]	[48871907]
171_10030	chr17	81683552	81683952	+	1000	143.0	[9.364644]	[99]	[]	[]	[81683750]	[]
171_10034	chr19	2783333	2783733	+	1000	143.0	[]	[]	[6.621249]	[71]	[]	[2783493]
171_10044	chr2	189210165	189210565	+	1000	143.0	[]	[]	[10.370207]	[74]	[]	[189210337]
171_10065	chr4	143856120	143856520	+	1000	143.0	[8.9615]	[174]	[]	[]	[143856351]	[]
171_10066	chr4	154205542	154205942	+	1000	143.0	[]	[]	[10.603825]	[148]	[]	[154205789]
171_1007	chr2	177693950	177694350	+	1000	489.0	[7.3263307]	[147]	[]	[]	[177694197]	[]
171_10077	chr6	116511339	116511739	+	1000	143.0	[7.9874573]	[112]	[7.9874573]	[121]	[116511542]	[116511551]
171_10098	chr1	33036114	33036514	+	1000	142.0	[]	[]	[14.352782]	[121]	[]	[33036325]
171_10119	chr12	122888358	122888758	+	1000	142.0	[9.605281]	[153]	[]	[]	[122888590]	[]
171_1012	chr1	153059302	153059702	+	1000	488.0	[11.988031]	[96]	[]	[]	[153059497]	[]
171_10132	chr19	12527381	12527781	+	1000	142.0	[9.364644]	[115]	[]	[]	[12527586]	[]
171_10145	chr2	158143037	158143437	+	1000	142.0	[]	[]	[9.605281]	[136]	[]	[158143272]
171_10154	chr3	8963269	8963669	+	1000	142.0	[7.5952926]	[82]	[]	[]	[8963449]	[]
171_10156	chr3	40314033	40314433	+	1000	142.0	[]	[]	[9.112068]	[149]	[]	[40314279]
171_10162	chr4	151745898	151746298	+	1000	142.0	[9.605281]	[103]	[]	[]	[151746087]	[]
171_10190	chrX	48574689	48575089	+	1000	142.0	[]	[]	[6.7503724, 6.7918687]	[118, 168]	[]	[48574888, 48574938]
171_10197	chr1	40257726	40258126	+	1000	141.0	[]	[]	[6.910793]	[131]	[]	[40257956]
171_10198	chr1	40709518	40709918	+	1000	141.0	[14.352782]	[101]	[]	[]	[40709711]	[]
171_10203	chr1	161749496	161749896	+	1000	141.0	[7.931352]	[94]	[]	[]	[161749668]	[]
171_1022	chr6	105896174	105896574	+	1000	487.0	[]	[]	[10.370207]	[131]	[]	[105896405]
171_10220	chr15	29821307	29821707	+	1000	141.0	[]	[]	[9.043116]	[71]	[]	[29821474]
171_10227	chr17	28336213	28336613	+	1000	141.0	[]	[]	[7.3616753, 9.364644]	[62, 120]	[]	[28336371, 28336429]
171_10236	chr2	68889480	68889880	+	1000	141.0	[8.962336, 8.9615]	[78, 117]	[]	[]	[68889646, 68889685]	[]
171_10240	chr2	168802434	168802834	+	1000	141.0	[9.9073105]	[131]	[]	[]	[168802637]	[]
171_1025	chr1	214419655	214420055	+	1000	486.0	[10.0733185]	[66]	[]	[]	[214419810]	[]
171_10252	chr3	110526730	110527130	+	1000	141.0	[10.603825]	[99]	[]	[]	[110526926]	[]
171_10256	chr3	186105476	186105876	+	1000	141.0	[9.605281]	[122]	[]	[]	[186105692]	[]
171_10278	chr8	47659730	47660130	+	1000	141.0	[9.133122]	[135]	[]	[]	[47659939]	[]
171_10285	chr9	128554515	128554915	+	1000	141.0	[]	[]	[9.605281]	[126]	[]	[128554735]
171_10289	chr1	39410849	39411249	+	1000	140.0	[]	[]	[6.8938127]	[67]	[]	[39411006]
171_10297	chr10	14436236	14436636	+	1000	140.0	[]	[]	[9.605281]	[80]	[]	[14436414]
171_10308	chr12	53421531	53421931	+	1000	140.0	[]	[]	[7.5952926]	[110]	[]	[53421734]
171_1031	chr4	76301469	76301869	+	1000	486.0	[8.239074]	[129]	[]	[]	[76301697]	[]
171_10313	chr13	36345428	36345828	+	1000	140.0	[11.988031]	[105]	[]	[]	[36345628]	[]
