#PeakID(python identify_motif.py ./ENCODE_processed_files/E2F7_idr.fa E2F7 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
103_10002	chr1	147085014	147085414	+	703	27.5	[7.2898073]	[193]	[]	[]	[147085255]	[]
103_10010	chr1	193070065	193070465	+	611	27.5	[8.3977785]	[150]	[]	[]	[193070243]	[]
103_10013	chr1	204176998	204177398	+	738	27.5	[]	[]	[8.3977785]	[106]	[]	[204177179]
103_10036	chr10	45594720	45595120	+	762	27.5	[]	[]	[7.2898073]	[131]	[]	[45594890]
103_10042	chr10	63630563	63630963	+	769	27.5	[]	[]	[11.009154]	[65]	[]	[63630714]
103_10055	chr10	124461401	124461801	+	737	27.5	[]	[]	[8.468314]	[73]	[]	[124461552]
103_10078	chr12	54360856	54361256	+	624	27.5	[]	[]	[8.3977785]	[233]	[]	[54361100]
103_10079	chr12	54987558	54987958	+	735	27.5	[8.3977785]	[208]	[]	[]	[54987776]	[]
103_10093	chr12	122266847	122267247	+	699	27.5	[8.3977785, 4.3509426]	[163, 200]	[]	[]	[122267034, 122267071]	[]
103_10095	chr12	123719134	123719534	+	770	27.5	[]	[]	[8.3977785]	[153]	[]	[123719349]
103_10096	chr12	124939258	124939658	+	784	27.5	[7.2898073]	[156]	[]	[]	[124939473]	[]
103_10098	chr13	50909659	50910059	+	590	27.5	[]	[]	[4.3509426]	[170]	[]	[50909871]
103_10104	chr13	113296771	113297171	+	742	27.5	[8.3977785, 7.2898073]	[106, 132]	[]	[]	[113296950, 113296976]	[]
103_10107	chr14	93066292	93066692	+	683	27.5	[7.2898073, 11.009154]	[142, 150]	[4.3509426]	[112]	[93066493, 93066501]	[93066463]
103_10116	chr15	74889289	74889689	+	699	27.5	[8.3977785]	[178]	[]	[]	[74889514]	[]
103_1015	chr22	21607284	21607684	+	1000	59.0	[4.3509426]	[170]	[]	[]	[21607467]	[]
103_10151	chr17	63600607	63601007	+	758	27.5	[]	[]	[4.3509426]	[233]	[]	[63600849]
103_10165	chr19	1904958	1905358	+	777	27.5	[8.3977785]	[235]	[]	[]	[1905196]	[]
103_10167	chr19	3953306	3953706	+	753	27.5	[8.3977785]	[83]	[]	[]	[3953475]	[]
103_10171	chr19	8051018	8051418	+	568	27.5	[]	[]	[8.3977785]	[126]	[]	[8051231]
103_10180	chr19	17249266	17249666	+	705	27.5	[8.3977785]	[113]	[]	[]	[17249436]	[]
103_10185	chr19	36170572	36170972	+	717	27.5	[]	[]	[8.3977785]	[177]	[]	[36170819]
103_10189	chr19	41835872	41836272	+	564	27.5	[8.3977785]	[146]	[]	[]	[41836061]	[]
103_10197	chr19	51904789	51905189	+	730	27.5	[]	[]	[4.3509426]	[172]	[]	[51905002]
103_10199	chr2	3423876	3424276	+	752	27.5	[15.05599, 7.2898073]	[104, 116]	[]	[]	[3424054, 3424066]	[]
103_10218	chr2	111973722	111974122	+	782	27.5	[]	[]	[8.3977785]	[110]	[]	[111973901]
103_1022	chr12	70242733	70243133	+	1000	58.5	[4.3509426]	[105]	[8.3977785]	[117]	[70242923]	[70242935]
103_10235	chr20	34703532	34703932	+	641	27.5	[]	[]	[7.2898073]	[179]	[]	[34703765]
103_10236	chr20	34955749	34956149	+	717	27.5	[]	[]	[8.3977785]	[188]	[]	[34955993]
103_10245	chr21	29335501	29335901	+	731	27.5	[8.3977785]	[119]	[]	[]	[29335681]	[]
103_10253	chr21	43789056	43789456	+	680	27.5	[4.3509426]	[164]	[]	[]	[43789224]	[]
103_10259	chr22	19113887	19114287	+	702	27.5	[8.3977785]	[201]	[]	[]	[19114117]	[]
103_10260	chr22	19349796	19350196	+	776	27.5	[]	[]	[4.3509426]	[162]	[]	[19350046]
103_10261	chr22	19367193	19367593	+	756	27.5	[]	[]	[8.3977785]	[138]	[]	[19367411]
103_10262	chr22	19380214	19380614	+	777	27.5	[4.3509426]	[165]	[]	[]	[19380427]	[]
103_10268	chr22	20897651	20898051	+	759	27.5	[]	[]	[8.3977785]	[189]	[]	[20897867]
103_1028	chr21	44939436	44939836	+	1000	58.5	[11.009154]	[155]	[8.3977785]	[106]	[44939658]	[44939609]
103_10297	chr3	12720075	12720475	+	738	27.5	[4.3509426]	[61]	[]	[]	[12720228]	[]
103_10302	chr3	44198633	44199033	+	774	27.5	[8.3977785]	[133]	[]	[]	[44198860]	[]
103_10303	chr3	45167413	45167813	+	558	27.5	[]	[]	[8.3977785]	[197]	[]	[45167647]
103_10305	chr3	46971849	46972249	+	678	27.5	[]	[]	[8.3977785]	[67]	[]	[46972000]
103_10321	chr4	10183509	10183909	+	760	27.5	[]	[]	[7.2898073]	[66]	[]	[10183672]
103_10336	chr4	139665834	139666234	+	748	27.5	[7.2898073]	[55]	[8.3977785]	[93]	[139665985]	[139666023]
103_10369	chr6	24389152	24389552	+	550	27.5	[4.3509426]	[133]	[]	[]	[24389318]	[]
103_1038	chr7	151520076	151520476	+	1000	58.5	[11.009154]	[70]	[4.3509426]	[94]	[151520245]	[151520269]
103_1040	chr1	16951702	16952102	+	1000	58.0	[]	[]	[8.3977785]	[105]	[]	[16951870]
103_10400	chr6	99515566	99515966	+	610	27.5	[8.3977785]	[108]	[]	[]	[99515744]	[]
103_10420	chr7	42706604	42707004	+	702	27.5	[8.3977785]	[111]	[8.933427]	[183]	[42706763]	[42706835]
103_1043	chr1	226111106	226111506	+	1000	58.0	[8.3977785]	[80]	[]	[]	[226111263]	[]
103_10463	chr8	18130119	18130519	+	777	27.5	[]	[]	[8.3977785]	[123]	[]	[18130323]
103_10468	chr8	73346562	73346962	+	716	27.5	[]	[]	[8.3977785]	[80]	[]	[73346732]
103_10471	chr8	94474911	94475311	+	730	27.5	[8.3977785]	[161]	[]	[]	[94475087]	[]
103_10473	chr8	94949403	94949803	+	676	27.5	[]	[]	[8.3977785]	[179]	[]	[94949625]
103_1048	chr15	50765050	50765450	+	1000	58.0	[]	[]	[15.05599, 15.05599]	[91, 109]	[]	[50765235, 50765253]
103_10480	chr8	128065499	128065899	+	630	27.5	[]	[]	[8.3977785]	[214]	[]	[128065717]
103_10495	chr9	130970160	130970560	+	681	27.5	[]	[]	[8.3977785]	[209]	[]	[130970380]
103_10496	chr9	131035506	131035906	+	723	27.5	[8.3977785]	[161]	[]	[]	[131035693]	[]
103_1052	chr17	77325007	77325407	+	1000	58.0	[4.3509426]	[99]	[]	[]	[77325188]	[]
103_10530	chr1	27607356	27607756	+	638	27.0	[8.3977785]	[98]	[]	[]	[27607528]	[]
103_10554	chr1	61071521	61071921	+	719	27.0	[8.3977785]	[65]	[]	[]	[61071673]	[]
103_10570	chr1	121016729	121017129	+	711	27.0	[]	[]	[8.468314]	[72]	[]	[121016885]
103_10571	chr1	146376893	146377293	+	669	27.0	[8.3977785]	[142]	[]	[]	[146377097]	[]
103_10574	chr1	156892341	156892741	+	745	27.0	[7.2898073]	[200]	[8.3977785]	[162]	[156892554]	[156892516]
103_10586	chr1	193104016	193104416	+	740	27.0	[]	[]	[4.3509426]	[139]	[]	[193104243]
103_1060	chr4	39458837	39459237	+	1000	58.0	[7.2898073]	[141]	[]	[]	[39459063]	[]
103_10605	chr10	11141514	11141914	+	724	27.0	[8.3977785]	[151]	[]	[]	[11141763]	[]
103_10611	chr10	50414623	50415023	+	695	27.0	[8.3977785]	[168]	[]	[]	[50414800]	[]
103_10615	chr10	69408356	69408756	+	714	27.0	[8.3977785]	[100]	[]	[]	[69408549]	[]
103_10624	chr11	665658	666058	+	730	27.0	[]	[]	[8.3977785]	[134]	[]	[665857]
103_10627	chr11	6481369	6481769	+	726	27.0	[]	[]	[13.948019]	[171]	[]	[6481614]
103_1063	chr9	128159716	128160116	+	1000	58.0	[8.3977785]	[146]	[]	[]	[128159885]	[]
103_1065	chr9	137127535	137127935	+	1000	58.0	[8.3977785]	[152]	[13.948019]	[97]	[137127759]	[137127704]
103_10654	chr12	62256751	62257151	+	705	27.0	[]	[]	[15.05599]	[134]	[]	[62256984]
103_10659	chr12	123711901	123712301	+	677	27.0	[4.3509426]	[143]	[]	[]	[123712122]	[]
103_1067	chr10	35391161	35391561	+	1000	57.5	[]	[]	[15.05599]	[110]	[]	[35391341]
103_10693	chr16	4307894	4308294	+	731	27.0	[4.3509426]	[131]	[4.3509426]	[200]	[4308075]	[4308144]
103_10699	chr16	30445971	30446371	+	682	27.0	[]	[]	[7.2898073]	[120]	[]	[30446137]
103_1070	chr11	3797610	3798010	+	1000	57.5	[8.3977785]	[84]	[8.3977785]	[108]	[3797769]	[3797793]
103_10749	chr19	17677115	17677515	+	682	27.0	[8.3977785]	[133]	[]	[]	[17677331]	[]
103_10752	chr19	35140806	35141206	+	598	27.0	[8.3977785, 8.3977785]	[144, 178]	[]	[]	[35141017, 35141051]	[]
103_10762	chr19	46395539	46395939	+	556	27.0	[]	[]	[8.3977785]	[159]	[]	[46395761]
