#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2C1_idr.fa NR2C1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
768_10	chr6	31665774	31666174	+	1000	1259.0	[7.9514318, 10.338945]	[82, 93]	[]	[]	[31665934, 31665945]	[]
768_10003	chr10	16817485	16817885	+	638	52.0	[7.9191227]	[166]	[]	[]	[16817702]	[]
768_10004	chr10	21726929	21727329	+	972	52.0	[10.338945]	[154]	[]	[]	[21727131]	[]
768_10006	chr10	48289466	48289866	+	982	52.0	[]	[]	[10.371254]	[221]	[]	[48289617]
768_10014	chr13	24512094	24512494	+	816	52.0	[10.371254]	[88]	[]	[]	[24512276]	[]
768_10017	chr14	57390307	57390707	+	926	52.0	[10.371254]	[149]	[]	[]	[57390475]	[]
768_10021	chr15	65994715	65995115	+	692	52.0	[10.371254]	[237]	[]	[]	[65994965]	[]
768_10024	chr16	2210761	2211161	+	938	52.0	[10.371254]	[119]	[10.338945]	[80]	[2210964]	[2210925]
768_10038	chr17	42411975	42412375	+	861	52.0	[10.371254, 10.371254, 10.371254]	[124, 148, 178]	[]	[]	[42412165, 42412189, 42412219]	[]
768_1004	chr15	64566655	64567055	+	1000	315.0	[10.371254]	[138]	[]	[]	[64566875]	[]
768_10042	chr17	57084704	57085104	+	951	52.0	[]	[]	[10.338945]	[166]	[]	[57084896]
768_10048	chr17	82205728	82206128	+	826	52.0	[]	[]	[10.371254]	[162]	[]	[82205896]
768_1006	chr4	20700136	20700536	+	1000	314.5	[]	[]	[7.9514318]	[147]	[]	[20700367]
768_10061	chr19	46784648	46785048	+	547	52.0	[7.9514318]	[143]	[]	[]	[46784848]	[]
768_10064	chr2	85500041	85500441	+	611	52.0	[]	[]	[10.371254]	[121]	[]	[85500240]
768_10082	chr3	150602950	150603350	+	910	52.0	[7.9514318]	[193]	[]	[]	[150603189]	[]
768_10083	chr3	155303495	155303895	+	921	52.0	[]	[]	[10.371254]	[89]	[]	[155303683]
768_10085	chr4	32002025	32002425	+	912	52.0	[10.371254]	[140]	[]	[]	[32002242]	[]
768_10086	chr4	38230418	38230818	+	989	52.0	[10.338945]	[165]	[10.371254]	[158]	[38230637]	[38230630]
768_101	chr4	47914595	47914995	+	1000	1152.0	[7.9191227, 10.371254]	[118, 125]	[]	[]	[47914807, 47914814]	[]
768_10111	chr7	50359747	50360147	+	966	52.0	[10.338945, 10.371254]	[157, 162]	[10.371254]	[139]	[50359920, 50359925]	[50359902]
768_10125	chr9	124945789	124946189	+	974	52.0	[10.338945, 10.371254]	[177, 184]	[]	[]	[124946029, 124946036]	[]
768_10126	chr9	128127924	128128324	+	967	52.0	[]	[]	[7.9191227, 7.9191227]	[156, 161]	[]	[128128153, 128128158]
768_10136	chr1	23484441	23484841	+	907	51.5	[]	[]	[10.371254]	[131]	[]	[23484662]
768_10143	chr1	52906000	52906400	+	917	51.5	[]	[]	[10.371254]	[185]	[]	[52906237]
768_1015	chr9	35814184	35814584	+	1000	312.5	[]	[]	[10.371254]	[116]	[]	[35814389]
768_10155	chr1	234734849	234735249	+	972	51.5	[]	[]	[10.371254]	[144]	[]	[234735082]
768_1016	chr6	163572575	163572975	+	1000	311.5	[10.371254]	[62]	[10.371254]	[96]	[163572735]	[163572769]
768_10163	chr11	116813902	116814302	+	983	51.5	[]	[]	[10.338945, 10.371254]	[153, 180]	[]	[116814119, 116814146]
768_10167	chr14	24095469	24095869	+	892	51.5	[10.338945]	[80]	[]	[]	[24095624]	[]
768_10168	chr14	55026949	55027349	+	979	51.5	[7.9514318]	[97]	[7.9191227]	[64]	[55027143]	[55027110]
768_1017	chr6	163181073	163181473	+	1000	311.0	[]	[]	[10.338945]	[141]	[]	[163181305]
768_1018	chr15	60585734	60586134	+	1000	310.5	[]	[]	[10.371254]	[82]	[]	[60585902]
768_10182	chr17	42312826	42313226	+	945	51.5	[]	[]	[10.338945]	[109]	[]	[42313031]
768_10185	chr17	64025723	64026123	+	650	51.5	[7.9191227]	[115]	[]	[]	[64025936]	[]
768_1019	chr17	42315588	42315988	+	1000	310.5	[10.371254]	[95]	[]	[]	[42315771]	[]
768_10191	chr19	7871271	7871671	+	821	51.5	[10.371254]	[142]	[]	[]	[7871458]	[]
768_102	chr20	37289438	37289838	+	1000	1151.0	[7.9191227]	[102]	[]	[]	[37289640]	[]
