#PeakID(python identify_motif.py ./ENCODE_processed_files/TCF12_idr.fa TCF12 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
368_1000	chr12	32031054	32031454	+	1000	462.0	[8.891774]	[151]	[8.182954]	[59]	[32031300]	[32031208]
368_10001	chr6	109102719	109103119	+	1000	79.5	[]	[]	[8.090539]	[149]	[]	[109102935]
368_10003	chr7	100894112	100894512	+	721	79.5	[8.891774]	[151]	[8.182954]	[161]	[100894344]	[100894354]
368_10004	chr7	136115139	136115539	+	994	79.5	[]	[]	[7.549868]	[128]	[]	[136115347]
368_10007	chr8	1741884	1742284	+	1000	79.5	[]	[]	[12.567606]	[91]	[]	[1742070]
368_10008	chr8	23400742	23401142	+	1000	79.5	[]	[]	[12.567606]	[134]	[]	[23400967]
368_10019	chr10	96022688	96023088	+	1000	79.0	[]	[]	[8.069409, 8.069409]	[70, 147]	[]	[96022850, 96022927]
368_10020	chr11	5591649	5592049	+	1000	79.0	[8.779576]	[88]	[]	[]	[5591836]	[]
368_10023	chr11	17002497	17002897	+	1000	79.0	[8.779576]	[103]	[8.320784]	[163]	[17002682]	[17002742]
368_10024	chr11	70335535	70335935	+	1000	79.0	[8.001244]	[130]	[9.473919]	[143]	[70335752]	[70335765]
368_10029	chr12	30508393	30508793	+	1000	79.0	[12.567606]	[169]	[]	[]	[30508642]	[]
368_1003	chr9	70398222	70398622	+	1000	462.0	[8.090539]	[126]	[]	[]	[70398442]	[]
368_10031	chr12	113794777	113795177	+	781	79.0	[]	[]	[7.7957826]	[156]	[]	[113795024]
368_10034	chr14	32010499	32010899	+	1000	79.0	[8.891774, 8.182954]	[88, 183]	[8.891774]	[87]	[32010651, 32010746]	[32010650]
368_10037	chr15	64143305	64143705	+	1000	79.0	[8.320784]	[132]	[]	[]	[64143493]	[]
368_10042	chr17	58387790	58388190	+	1000	79.0	[]	[]	[8.779576]	[89]	[]	[58387954]
368_10049	chr22	21869850	21870250	+	1000	79.0	[8.527855]	[183]	[]	[]	[21870083]	[]
368_10050	chr3	132654236	132654636	+	938	79.0	[8.001244]	[176]	[]	[]	[132654461]	[]
368_10052	chr4	83486544	83486944	+	1000	79.0	[]	[]	[8.069409]	[122]	[]	[83486744]
368_10055	chr6	13863790	13864190	+	1000	79.0	[]	[]	[8.779576, 8.182954, 7.7957826]	[71, 110, 117]	[]	[13863961, 13864000, 13864007]
368_10059	chr6	116631434	116631834	+	1000	79.0	[8.320784]	[125]	[]	[]	[116631639]	[]
368_10061	chr7	86929610	86930010	+	1000	79.0	[8.182954]	[161]	[8.182954]	[74]	[86929859]	[86929772]
368_10062	chr7	93053229	93053629	+	1000	79.0	[8.320784]	[104]	[]	[]	[93053424]	[]
368_10063	chr7	135384412	135384812	+	945	79.0	[8.090539]	[119]	[]	[]	[135384607]	[]
368_1007	chr11	62877577	62877977	+	1000	461.0	[]	[]	[12.567606, 12.567606]	[85, 130]	[]	[62877758, 62877803]
368_10074	chr1	116471253	116471653	+	867	78.5	[8.891774, 8.182954]	[124, 163]	[8.069409]	[92]	[116471464, 116471503]	[116471432]
368_10076	chr1	149093171	149093571	+	1000	78.5	[]	[]	[8.069409]	[82]	[]	[149093345]
368_10080	chr1	206563055	206563455	+	1000	78.5	[8.090539, 8.069409]	[149, 156]	[]	[]	[206563291, 206563298]	[]
368_10084	chr11	66892188	66892588	+	1000	78.5	[]	[]	[7.549868]	[230]	[]	[66892435]
368_10088	chr12	110687798	110688198	+	1000	78.5	[]	[]	[7.7957826]	[112]	[]	[110688003]
368_1009	chr19	2263584	2263984	+	1000	460.5	[]	[]	[8.001244]	[125]	[]	[2263796]
368_10090	chr14	60225263	60225663	+	1000	78.5	[8.891774]	[169]	[]	[]	[60225506]	[]
368_10092	chr15	44297249	44297649	+	1000	78.5	[12.567606]	[154]	[]	[]	[44297452]	[]
368_10096	chr18	59546180	59546580	+	1000	78.5	[8.182954]	[96]	[]	[]	[59546352]	[]
368_10112	chr5	43268232	43268632	+	1000	78.5	[]	[]	[8.320784]	[94]	[]	[43268410]
368_10113	chr5	89343714	89344114	+	939	78.5	[8.320784]	[136]	[8.779576]	[155]	[89343916]	[89343935]
368_10115	chr8	38873451	38873851	+	1000	78.5	[8.228404]	[181]	[]	[]	[38873682]	[]
368_10116	chr8	47873072	47873472	+	1000	78.5	[]	[]	[8.968127]	[143]	[]	[47873306]
368_10122	chrX	119745429	119745829	+	1000	78.5	[]	[]	[8.779576]	[152]	[]	[119745663]
368_10126	chr1	78084654	78085054	+	1000	78.0	[8.001244]	[129]	[]	[]	[78084874]	[]
368_1013	chr2	161173081	161173481	+	1000	459.5	[8.090539]	[99]	[]	[]	[161173270]	[]
368_10131	chr10	71582405	71582805	+	1000	78.0	[8.891774]	[86]	[]	[]	[71582583]	[]
368_10133	chr11	102390575	102390975	+	774	78.0	[]	[]	[8.182954]	[121]	[]	[102390778]
368_10134	chr12	716501	716901	+	791	78.0	[8.891774]	[137]	[8.891774, 8.228404]	[136, 164]	[716711]	[716710, 716738]
368_10135	chr12	24947085	24947485	+	787	78.0	[8.090539]	[291]	[]	[]	[24947308]	[]
368_10149	chr18	49524287	49524687	+	1000	78.0	[]	[]	[8.182954]	[221]	[]	[49524530]
368_10151	chr2	11993714	11994114	+	1000	78.0	[8.001244]	[121]	[8.779576]	[140]	[11993914]	[11993933]
368_10154	chr20	25350639	25351039	+	1000	78.0	[8.891774, 8.069409]	[101, 115]	[]	[]	[25350834, 25350848]	[]
368_10160	chr3	158118197	158118597	+	918	78.0	[]	[]	[8.090539]	[142]	[]	[158118377]
368_10161	chr4	78717610	78718010	+	1000	78.0	[]	[]	[8.069409, 8.320784]	[133, 177]	[]	[78717776, 78717820]
368_10163	chr5	140343806	140344206	+	1000	78.0	[]	[]	[8.069409]	[144]	[]	[140344042]
368_10172	chr7	106415414	106415814	+	1000	78.0	[]	[]	[7.7957826]	[70]	[]	[106415571]
368_10174	chr7	140789809	140790209	+	1000	78.0	[9.473919]	[72]	[8.779576]	[104]	[140789972]	[140790004]
368_10175	chr8	41818642	41819042	+	602	78.0	[8.891774]	[154]	[]	[]	[41818891]	[]
368_1019	chr19	12544356	12544756	+	1000	457.5	[8.182954]	[122]	[]	[]	[12544570]	[]
368_10192	chr11	73143162	73143562	+	870	77.5	[]	[]	[8.069409]	[196]	[]	[73143347]
368_10194	chr12	3683607	3684007	+	1000	77.5	[]	[]	[8.069409]	[137]	[]	[3683832]
368_10197	chr12	95204465	95204865	+	1000	77.5	[8.805163]	[170]	[8.320784]	[112]	[95204695]	[95204637]
368_10199	chr12	124636248	124636648	+	1000	77.5	[8.805163]	[143]	[]	[]	[124636482]	[]
368_102	chr2	157221387	157221787	+	1000	739.5	[8.001244]	[135]	[]	[]	[157221622]	[]
368_1020	chr20	59020974	59021374	+	1000	457.5	[]	[]	[8.069409]	[104]	[]	[59021162]
368_10200	chr13	25014391	25014791	+	1000	77.5	[8.779576]	[126]	[]	[]	[25014601]	[]
368_10201	chr14	100678036	100678436	+	1000	77.5	[8.001244]	[92]	[8.069409]	[75]	[100678220]	[100678203]
368_10202	chr15	68704431	68704831	+	964	77.5	[8.891774]	[141]	[]	[]	[68704611]	[]
368_10203	chr16	4833972	4834372	+	1000	77.5	[]	[]	[8.001244]	[126]	[]	[4834176]
368_10207	chr18	3448256	3448656	+	1000	77.5	[8.001244]	[164]	[8.891774, 8.968127]	[154, 223]	[3448435]	[3448425, 3448494]
368_1021	chr4	2867753	2868153	+	1000	457.5	[8.891774]	[139]	[8.891774]	[138]	[2867984]	[2867983]
368_10214	chr2	58039041	58039441	+	885	77.5	[8.069409]	[100]	[]	[]	[58039233]	[]
368_10215	chr2	88711350	88711750	+	1000	77.5	[]	[]	[8.001244, 12.567606]	[134, 154]	[]	[88711530, 88711550]
368_10237	chr9	129758355	129758755	+	1000	77.5	[8.069409]	[190]	[]	[]	[129758546]	[]
368_1024	chr1	51631771	51632171	+	1000	456.5	[8.779576]	[110]	[]	[]	[51631959]	[]
368_10240	chrX	134406596	134406996	+	921	77.5	[]	[]	[8.891774]	[182]	[]	[134406775]
368_10249	chr11	72134550	72134950	+	1000	77.0	[]	[]	[8.090539]	[127]	[]	[72134729]
368_10254	chr13	46323846	46324246	+	988	77.0	[8.001244]	[112]	[]	[]	[46324024]	[]
368_10256	chr14	105981835	105982235	+	920	77.0	[8.891774]	[78]	[8.891774, 8.001244]	[77, 130]	[105981996]	[105981995, 105982048]
368_10262	chr16	79836191	79836591	+	1000	77.0	[8.001244]	[87]	[]	[]	[79836367]	[]
368_10266	chr18	30568373	30568773	+	1000	77.0	[8.891774]	[89]	[8.891774, 9.473919]	[88, 174]	[30568538]	[30568537, 30568623]
368_10277	chr3	177201148	177201548	+	1000	77.0	[]	[]	[8.968127]	[199]	[]	[177201388]
368_10284	chr5	69091254	69091654	+	1000	77.0	[8.001244]	[131]	[]	[]	[69091430]	[]
368_10286	chr6	68673238	68673638	+	1000	77.0	[8.02331]	[154]	[]	[]	[68673482]	[]
368_1029	chr14	22897367	22897767	+	1000	456.0	[8.090539]	[84]	[]	[]	[22897550]	[]
368_10299	chr9	100076240	100076640	+	1000	77.0	[8.891774]	[177]	[]	[]	[100076481]	[]
