#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF16_idr.fa KLF16 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
805_10001	chr2	96174500	96174900	+	1000	56.0	[8.502228]	[114]	[]	[]	[96174704]	[]
805_10013	chr20	23361978	23362378	+	1000	56.0	[8.544636]	[92]	[]	[]	[23362162]	[]
805_10014	chr20	31951967	31952367	+	1000	56.0	[]	[]	[8.061128, 13.953096]	[56, 75]	[]	[31952120, 31952139]
805_10015	chr20	34127765	34128165	+	1000	56.0	[6.6167054]	[70]	[]	[]	[34127934]	[]
805_10016	chr20	41023550	41023950	+	1000	56.0	[7.313411]	[116]	[]	[]	[41023752]	[]
805_1002	chr2	111642880	111643280	+	1000	190.0	[8.557642]	[169]	[]	[]	[111643125]	[]
805_10021	chr21	33510852	33511252	+	659	56.0	[]	[]	[8.557642, 7.2721825]	[104, 171]	[]	[33511029, 33511096]
805_10028	chr22	21876507	21876907	+	1000	56.0	[]	[]	[6.719461]	[141]	[]	[21876698]
805_10032	chr3	5057782	5058182	+	1000	56.0	[8.00492, 7.1509056]	[110, 146]	[]	[]	[5057968, 5058004]	[]
805_10033	chr3	9362790	9363190	+	1000	56.0	[7.693098]	[138]	[]	[]	[9362998]	[]
805_10034	chr3	9982917	9983317	+	1000	56.0	[]	[]	[8.687048, 9.232781, 10.551159]	[113, 115, 135]	[]	[9983103, 9983105, 9983125]
805_10038	chr3	23945935	23946335	+	1000	56.0	[8.178812, 7.313411]	[103, 106]	[6.8069506]	[80]	[23946121, 23946124]	[23946098]
805_10041	chr3	39126549	39126949	+	1000	56.0	[6.5923476]	[53]	[]	[]	[39126702]	[]
805_10045	chr3	52240512	52240912	+	754	56.0	[12.186728]	[145]	[]	[]	[52240743]	[]
805_10050	chr3	141441336	141441736	+	1000	56.0	[]	[]	[8.061128, 7.1464634]	[123, 127]	[]	[141441550, 141441554]
805_10078	chr5	141960678	141961078	+	1000	56.0	[]	[]	[7.644837]	[64]	[]	[141960834]
805_10081	chr5	148806374	148806774	+	1000	56.0	[]	[]	[8.930296]	[130]	[]	[148806544]
805_10085	chr5	159515829	159516229	+	1000	56.0	[7.693098]	[93]	[]	[]	[159516012]	[]
805_10086	chr5	172959172	172959572	+	1000	56.0	[7.2721825]	[67]	[]	[]	[172959333]	[]
805_10095	chr6	31087503	31087903	+	1000	56.0	[]	[]	[10.610686]	[77]	[]	[31087675]
805_1010	chr1	12038649	12039049	+	1000	189.0	[]	[]	[6.69701]	[136]	[]	[12038881]
805_10103	chr6	43129787	43130187	+	1000	56.0	[12.000808]	[81]	[]	[]	[43129966]	[]
805_10112	chr7	6640239	6640639	+	1000	56.0	[]	[]	[8.59887]	[89]	[]	[6640393]
805_10117	chr7	37590857	37591257	+	1000	56.0	[]	[]	[8.2890625]	[152]	[]	[37591075]
805_10126	chr7	128738603	128739003	+	1000	56.0	[]	[]	[13.286267]	[141]	[]	[128738825]
805_1013	chr12	28192142	28192542	+	1000	189.0	[]	[]	[11.896146]	[118]	[]	[28192346]
805_10144	chr8	89650177	89650577	+	1000	56.0	[12.000808, 8.59887]	[67, 83]	[]	[]	[89650344, 89650360]	[]
805_10145	chr8	95226472	95226872	+	1000	56.0	[]	[]	[7.578269]	[114]	[]	[95226648]
805_10159	chr8	143401145	143401545	+	1000	56.0	[8.557642]	[66]	[9.708119]	[148]	[143401308]	[143401390]
805_1016	chr17	43403829	43404229	+	1000	189.0	[11.216295]	[112]	[8.267059]	[124]	[43404030]	[43404042]
805_10162	chr8	144901915	144902315	+	1000	56.0	[]	[]	[9.168893]	[111]	[]	[144902125]
805_10164	chr9	34675042	34675442	+	1000	56.0	[]	[]	[9.168893]	[98]	[]	[34675222]
805_10165	chr9	76667501	76667901	+	1000	56.0	[]	[]	[8.540713]	[141]	[]	[76667723]
805_10167	chr9	101449024	101449424	+	1000	56.0	[]	[]	[10.131101]	[133]	[]	[101449253]
805_10169	chr9	120878131	120878531	+	1000	56.0	[]	[]	[6.5499396]	[193]	[]	[120878367]
805_10173	chr9	133144429	133144829	+	1000	56.0	[15.238556, 13.576849]	[134, 142]	[9.679184]	[156]	[133144654, 133144662]	[133144676]
805_10180	chrX	100743251	100743651	+	1000	56.0	[]	[]	[8.2890625]	[113]	[]	[100743458]
805_10185	chr1	3869905	3870305	+	1000	55.0	[13.286267]	[146]	[]	[]	[3870144]	[]
805_1019	chr6	13395327	13395727	+	1000	189.0	[7.609212]	[139]	[]	[]	[13395533]	[]
805_10196	chr1	19630992	19631392	+	1000	55.0	[]	[]	[6.9816003]	[99]	[]	[19631170]
805_10201	chr1	27112039	27112439	+	1000	55.0	[]	[]	[11.416559]	[129]	[]	[27112249]
805_10204	chr1	31564049	31564449	+	1000	55.0	[]	[]	[6.8069506]	[91]	[]	[31564240]
805_10206	chr1	38037462	38037862	+	1000	55.0	[]	[]	[7.3308363, 7.644837]	[144, 153]	[]	[38037703, 38037712]
805_10221	chr1	143724169	143724569	+	1000	55.0	[8.540713]	[157]	[]	[]	[143724394]	[]
805_10232	chr1	179017059	179017459	+	1000	55.0	[6.5923476]	[152]	[7.1509056]	[103]	[179017292]	[179017243]
805_10233	chr1	179794588	179794988	+	1000	55.0	[]	[]	[9.826173]	[100]	[]	[179794786]
805_10234	chr1	185317361	185317761	+	1000	55.0	[7.644837, 7.6236315]	[124, 143]	[]	[]	[185317543, 185317562]	[]
805_10240	chr1	205344421	205344821	+	1000	55.0	[]	[]	[7.6567397]	[136]	[]	[205344646]
805_10241	chr1	211537219	211537619	+	1000	55.0	[9.754853, 12.186728, 10.610686, 9.220879]	[63, 83, 97, 113]	[]	[]	[211537371, 211537391, 211537405, 211537421]	[]
805_10245	chr1	228463532	228463932	+	1000	55.0	[]	[]	[11.883123]	[152]	[]	[228463742]
805_10251	chr1	248906261	248906661	+	1000	55.0	[]	[]	[8.2890625]	[106]	[]	[248906467]
805_10252	chr10	5629822	5630222	+	1000	55.0	[7.6214185]	[73]	[]	[]	[5629992]	[]
805_10255	chr10	28991718	28992118	+	1000	55.0	[7.2721825, 6.5752125, 10.901268]	[77, 79, 82]	[]	[]	[28991889, 28991891, 28991894]	[]
805_10256	chr10	30349207	30349607	+	976	55.0	[]	[]	[10.861683]	[55]	[]	[30349358]
805_10265	chr10	103504334	103504734	+	1000	55.0	[]	[]	[8.930296]	[155]	[]	[103504567]
805_10266	chr10	104253122	104253522	+	981	55.0	[]	[]	[7.1279345, 7.578269]	[109, 111]	[]	[104253318, 104253320]
805_10269	chr11	9748484	9748884	+	1000	55.0	[7.644837]	[77]	[]	[]	[9748641]	[]
805_10272	chr11	18105922	18106322	+	1000	55.0	[7.216604]	[134]	[]	[]	[18106135]	[]
805_10273	chr11	20610069	20610469	+	1000	55.0	[]	[]	[6.719461, 10.610686]	[155, 159]	[]	[20610302, 20610306]
805_10282	chr11	64449502	64449902	+	1000	55.0	[7.778771]	[76]	[]	[]	[64449665]	[]
805_10285	chr11	65888396	65888796	+	1000	55.0	[]	[]	[6.69701, 7.473779, 8.649299, 7.216604]	[156, 162, 167, 236]	[]	[65888564, 65888570, 65888575, 65888644]
805_10288	chr11	74702370	74702770	+	1000	55.0	[6.5499396]	[93]	[]	[]	[74702552]	[]
805_10296	chr12	6875560	6875960	+	962	55.0	[]	[]	[7.9128156]	[107]	[]	[6875759]
805_10299	chr12	49707507	49707907	+	1000	55.0	[7.5271525]	[85]	[]	[]	[49707685]	[]
805_10300	chr12	49945535	49945935	+	1000	55.0	[]	[]	[9.168893]	[108]	[]	[49945732]
805_10303	chr12	104253410	104253810	+	1000	55.0	[12.000808]	[107]	[]	[]	[104253616]	[]
805_10309	chr12	132687294	132687694	+	1000	55.0	[]	[]	[7.6567397, 6.483108]	[119, 177]	[]	[132687467, 132687525]
805_10319	chr15	67882412	67882812	+	1000	55.0	[]	[]	[11.883123, 7.287687, 8.381167]	[108, 114, 134]	[]	[67882605, 67882611, 67882631]
805_1032	chr17	74715061	74715461	+	1000	188.0	[]	[]	[6.860324, 12.186728]	[68, 123]	[]	[74715229, 74715284]
805_10323	chr15	91472180	91472580	+	1000	55.0	[8.267059, 7.313411]	[68, 106]	[]	[]	[91472346, 91472384]	[]
805_10329	chr16	27179476	27179876	+	1000	55.0	[]	[]	[10.700085, 7.5520773, 7.2591763]	[103, 142, 153]	[]	[27179667, 27179706, 27179717]
805_10333	chr16	30585549	30585949	+	1000	55.0	[7.1628084]	[109]	[]	[]	[30585741]	[]
