#PeakID(python identify_motif.py ./ENCODE_processed_files/ELF1_idr.fa ELF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
686_100	chr17	78840897	78841297	+	1000	361.5	[7.0098963]	[144]	[10.263223]	[102]	[78841140]	[78841098]
686_10007	chr7	36315525	36315925	+	819	31.0	[]	[]	[12.800334, 13.502466]	[164, 174]	[]	[36315761, 36315771]
686_10009	chr7	50262914	50263314	+	736	31.0	[12.800334]	[145]	[]	[]	[50263127]	[]
686_10015	chr7	134209550	134209950	+	596	31.0	[7.552349, 12.453062]	[129, 138]	[9.854824]	[58]	[134209777, 134209786]	[134209706]
686_1002	chr1	248826061	248826461	+	1000	136.5	[]	[]	[12.777884]	[135]	[]	[248826281]
686_10024	chr9	38047788	38048188	+	654	31.0	[]	[]	[16.017126]	[138]	[]	[38047974]
686_10027	chr9	128733193	128733593	+	634	31.0	[]	[]	[9.373884]	[213]	[]	[128733431]
686_1003	chr10	12043001	12043401	+	1000	136.5	[16.017126, 8.7474785]	[140, 159]	[]	[]	[12043222, 12043241]	[]
686_10039	chrX	11375658	11376058	+	652	31.0	[9.148726]	[208]	[]	[]	[11375902]	[]
686_1004	chr12	31659104	31659504	+	1000	136.5	[9.56109]	[97]	[]	[]	[31659270]	[]
686_10041	chrX	23782835	23783235	+	673	31.0	[9.213819]	[130]	[]	[]	[23783037]	[]
686_10048	chr1	12143529	12143929	+	757	30.5	[]	[]	[9.875818]	[65]	[]	[12143684]
686_10050	chr1	20696719	20697119	+	723	30.5	[11.964272, 7.40341]	[124, 170]	[]	[]	[20696899, 20696945]	[]
686_10058	chr1	39892629	39893029	+	571	30.5	[]	[]	[7.9740243]	[143]	[]	[39892801]
686_1006	chr18	3247563	3247963	+	1000	136.5	[8.716876]	[148]	[]	[]	[3247810]	[]
686_10066	chr1	153627243	153627643	+	597	30.5	[9.938401]	[175]	[]	[]	[153627430]	[]
686_10068	chr1	159015453	159015853	+	787	30.5	[9.441459]	[70]	[]	[]	[159015613]	[]
686_1007	chr2	27582860	27583260	+	1000	136.5	[9.919916, 7.8291354]	[111, 165]	[7.867843]	[93]	[27583050, 27583104]	[27583032]
686_10076	chr1	207053170	207053570	+	767	30.5	[6.6342473]	[151]	[]	[]	[207053338]	[]
686_10078	chr1	226122529	226122929	+	788	30.5	[]	[]	[6.5906878]	[205]	[]	[226122696]
686_10085	chr10	11894726	11895126	+	659	30.5	[6.5906878]	[147]	[]	[]	[11894968]	[]
686_10086	chr10	22316444	22316844	+	728	30.5	[7.534257, 10.257094]	[111, 117]	[]	[]	[22316648, 22316654]	[]
686_1009	chr7	23597127	23597527	+	1000	136.5	[7.0454664]	[142]	[9.098152]	[76]	[23597365]	[23597299]
686_10094	chr11	12090014	12090414	+	745	30.5	[9.854824]	[147]	[6.863509, 16.017126]	[112, 131]	[12090256]	[12090221, 12090240]
686_10096	chr11	14657076	14657476	+	765	30.5	[6.3747187]	[146]	[]	[]	[14657275]	[]
686_10100	chr11	64271411	64271811	+	701	30.5	[]	[]	[6.3787317]	[154]	[]	[64271581]
686_10110	chr13	107907007	107907407	+	792	30.5	[]	[]	[9.136763]	[149]	[]	[107907214]
686_10113	chr14	23129112	23129512	+	639	30.5	[10.257094, 13.15916]	[84, 146]	[]	[]	[23129266, 23129328]	[]
686_10118	chr16	75087390	75087790	+	643	30.5	[6.765284]	[184]	[]	[]	[75087575]	[]
686_1013	chr17	49788426	49788826	+	1000	136.0	[12.777884]	[134]	[]	[]	[49788640]	[]
686_10132	chr17	81859563	81859963	+	780	30.5	[7.2748194]	[108]	[]	[]	[81859741]	[]
686_10134	chr18	23437372	23437772	+	773	30.5	[7.881529, 8.7393265]	[87, 145]	[]	[]	[23437525, 23437583]	[]
686_10136	chr19	3479446	3479846	+	703	30.5	[6.6342473, 9.595095]	[103, 150]	[]	[]	[3479632, 3479679]	[]
686_10138	chr19	6674884	6675284	+	678	30.5	[]	[]	[6.6342473, 6.7770047]	[95, 125]	[]	[6675065, 6675095]
686_10139	chr19	11887801	11888201	+	788	30.5	[12.800334]	[138]	[]	[]	[11887978]	[]
686_1014	chr3	53130225	53130625	+	1000	136.0	[12.800334]	[105]	[10.831991]	[63]	[53130425]	[53130383]
686_10144	chr19	17469514	17469914	+	760	30.5	[10.831991]	[199]	[]	[]	[17469749]	[]
686_10146	chr19	19865856	19866256	+	649	30.5	[7.1053114]	[135]	[6.5834923]	[159]	[19866051]	[19866075]
686_10147	chr19	38417670	38418070	+	746	30.5	[9.106304]	[94]	[]	[]	[38417839]	[]
686_1016	chr17	57849856	57850256	+	1000	135.5	[8.716876]	[110]	[]	[]	[57850052]	[]
686_10163	chr20	973718	974118	+	699	30.5	[]	[]	[9.875818]	[138]	[]	[973940]
686_10164	chr20	2524376	2524776	+	745	30.5	[]	[]	[8.793456]	[140]	[]	[2524610]
686_10168	chr20	58268978	58269378	+	759	30.5	[9.062206, 7.900327]	[166, 218]	[]	[]	[58269156, 58269208]	[]
686_10169	chr20	63949131	63949531	+	740	30.5	[]	[]	[8.240355]	[186]	[]	[63949345]
686_10173	chr22	17443481	17443881	+	702	30.5	[]	[]	[9.875818, 9.441459]	[149, 181]	[]	[17443700, 17443732]
