#PeakID(python scan_motif.py ./ENCODE_processed_files/TCF3_idr.fa TCF3 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
203_0	chrM	15920	16320	+	1000	1144.0	[8.52607]	[128]	[]	[]	[16148]	[]
203_1	chr22	23223844	23224244	+	1000	994.0	[9.166563]	[62]	[]	[]	[23224006]	[]
203_10002	chr22	19478398	19478798	+	1000	133.0	[]	[]	[7.8880606]	[73]	[]	[19478566]
203_10008	chr3	108125573	108125973	+	1000	133.0	[12.754859]	[98]	[]	[]	[108125763]	[]
203_10009	chr3	170076953	170077353	+	1000	133.0	[8.643063]	[102]	[]	[]	[170077153]	[]
203_10010	chr3	171960931	171961331	+	1000	133.0	[12.754859]	[140]	[8.679044]	[102]	[171961169]	[171961131]
203_10015	chr4	184413171	184413571	+	1000	133.0	[7.5073967]	[125]	[]	[]	[184413387]	[]
203_1002	chr16	88688123	88688523	+	1000	518.0	[8.386223, 9.166563]	[60, 79]	[]	[]	[88688275, 88688294]	[]
203_10021	chr6	30781801	30782201	+	1000	133.0	[]	[]	[8.272243]	[151]	[]	[30782030]
203_10023	chr7	2844551	2844951	+	1000	133.0	[8.643063]	[154]	[]	[]	[2844792]	[]
203_10024	chr7	75780715	75781115	+	1000	133.0	[8.332749, 12.754859]	[73, 127]	[]	[]	[75780871, 75780925]	[]
203_10026	chr8	22667661	22668061	+	1000	133.0	[8.643063]	[125]	[8.52607]	[57]	[22667881]	[22667813]
203_1003	chr8	23508710	23509110	+	1000	518.0	[]	[]	[8.235647]	[100]	[]	[23508909]
203_10030	chr9	93064333	93064733	+	1000	133.0	[]	[]	[8.235647]	[137]	[]	[93064557]
203_10035	chr1	33055224	33055624	+	1000	132.0	[8.643063]	[118]	[]	[]	[33055436]	[]
203_1004	chr10	6920316	6920716	+	1000	517.0	[]	[]	[8.235647]	[94]	[]	[6920501]
203_10042	chr10	107028251	107028651	+	1000	132.0	[8.498569]	[115]	[]	[]	[107028466]	[]
203_10044	chr11	20471915	20472315	+	1000	132.0	[8.235647]	[124]	[]	[]	[20472136]	[]
203_10047	chr12	51926037	51926437	+	1000	132.0	[7.8923073]	[83]	[8.801346]	[103]	[51926208]	[51926228]
203_10054	chr16	21643790	21644190	+	1000	132.0	[12.754859]	[98]	[]	[]	[21643980]	[]
203_10056	chr16	85420715	85421115	+	1000	132.0	[9.166563]	[93]	[]	[]	[85420907]	[]
203_10062	chr2	9313399	9313799	+	1000	132.0	[8.643063, 9.540733]	[71, 122]	[9.540733]	[121]	[9313565, 9313616]	[9313615]
203_10065	chr2	11993734	11994134	+	1000	132.0	[8.235647]	[97]	[8.52607]	[116]	[11993914]	[11993933]
203_10067	chr2	55116060	55116460	+	1000	132.0	[]	[]	[8.643063]	[107]	[]	[55116264]
203_10069	chr2	80312289	80312689	+	1000	132.0	[]	[]	[12.754859, 8.235647]	[56, 84]	[]	[80312444, 80312472]
203_10070	chr2	95550980	95551380	+	1000	132.0	[]	[]	[8.679044]	[92]	[]	[95551169]
203_10089	chr4	109815241	109815641	+	1000	132.0	[7.5073967]	[74]	[]	[]	[109815409]	[]
203_10091	chr5	122421688	122422088	+	1000	132.0	[8.332749]	[127]	[8.272243]	[132]	[122421903]	[122421908]
203_10093	chr6	341276	341676	+	1000	132.0	[8.801346]	[151]	[]	[]	[341513]	[]
203_10094	chr6	15735693	15736093	+	1000	132.0	[]	[]	[7.5073967]	[125]	[]	[15735894]
203_10099	chr6	141956861	141957261	+	1000	132.0	[8.272243]	[108]	[]	[]	[141957062]	[]
203_10101	chr7	130234081	130234481	+	1000	132.0	[]	[]	[7.5855]	[94]	[]	[130234275]
203_10102	chr8	38090454	38090854	+	1000	132.0	[8.332749]	[162]	[]	[]	[38090698]	[]
203_10106	chr9	131278086	131278486	+	1000	132.0	[9.166563]	[175]	[8.272243]	[112]	[131278335]	[131278272]
203_10111	chr1	43344198	43344598	+	1000	131.0	[8.235647]	[58]	[]	[]	[43344352]	[]
203_10114	chr1	207963488	207963888	+	1000	131.0	[]	[]	[8.801346]	[101]	[]	[207963658]
203_10116	chr1	220046390	220046790	+	1000	131.0	[]	[]	[7.5073967]	[106]	[]	[220046588]
203_10117	chr1	221958232	221958632	+	1000	131.0	[7.5855]	[136]	[]	[]	[221958461]	[]
203_1012	chr1	203650315	203650715	+	1000	515.0	[8.643063]	[125]	[]	[]	[203650538]	[]
203_10128	chr12	103960527	103960927	+	1000	131.0	[]	[]	[8.52607]	[91]	[]	[103960713]
203_10129	chr13	98480894	98481294	+	1000	131.0	[7.8923073]	[105]	[]	[]	[98481089]	[]
203_1013	chr10	123135032	123135432	+	1000	515.0	[8.643063]	[98]	[8.643063]	[97]	[123135229]	[123135228]
203_10133	chr15	68972223	68972623	+	1000	131.0	[]	[]	[7.5855]	[152]	[]	[68972473]
