#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF16_idr.fa KLF16 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
805_10008	chr2	218270300	218270700	+	1000	56.0	[]	[]	[7.1464634, 12.29139]	[134, 136]	[]	[218270517, 218270519]
805_10009	chr2	219229613	219230013	+	1000	56.0	[]	[]	[8.933888]	[72]	[]	[219229770]
805_1001	chr17	64974719	64975119	+	1000	190.0	[8.074149]	[60]	[]	[]	[64974870]	[]
805_10018	chr20	63980783	63981183	+	1000	56.0	[6.6075435, 7.2131524, 8.502228]	[139, 145, 162]	[]	[]	[63980985, 63980991, 63981008]	[]
805_10037	chr3	14791276	14791676	+	1000	56.0	[]	[]	[9.168893]	[133]	[]	[14791504]
805_1005	chr4	173334418	173334818	+	1000	190.0	[]	[]	[7.693098]	[125]	[]	[173334643]
805_10052	chr3	150733426	150733826	+	1000	56.0	[]	[]	[12.186728, 7.2473845]	[138, 140]	[]	[150733658, 150733660]
805_10053	chr3	152259009	152259409	+	1000	56.0	[]	[]	[10.901268, 7.5520773]	[138, 142]	[]	[152259244, 152259248]
805_1006	chr5	76849902	76850302	+	1000	190.0	[8.544636]	[117]	[]	[]	[76850093]	[]
805_10070	chr5	31532180	31532580	+	1000	56.0	[]	[]	[7.0001297]	[160]	[]	[31532405]
805_10073	chr5	75336688	75337088	+	1000	56.0	[7.714338]	[164]	[]	[]	[75336909]	[]
805_10075	chr5	77030121	77030521	+	1000	56.0	[10.882585, 8.824514]	[126, 139]	[]	[]	[77030294, 77030307]	[]
805_10088	chr5	179623954	179624354	+	1000	56.0	[7.9824696]	[102]	[8.630112]	[78]	[179624148]	[179624124]
805_10093	chr6	26031782	26032182	+	1000	56.0	[8.978558]	[133]	[]	[]	[26031953]	[]
805_10098	chr6	34154722	34155122	+	1000	56.0	[6.538516]	[119]	[8.933888]	[149]	[34154940]	[34154970]
805_101	chr16	88992386	88992786	+	1000	409.0	[]	[]	[9.679184]	[126]	[]	[88992589]
805_10101	chr6	37169531	37169931	+	1000	56.0	[8.481186, 6.9816003, 10.131101]	[182, 187, 227]	[]	[]	[37169728, 37169733, 37169773]	[]
805_1011	chr1	203306230	203306630	+	1000	189.0	[7.6482563]	[157]	[]	[]	[203306473]	[]
805_10118	chr7	66557545	66557945	+	1000	56.0	[]	[]	[8.42266, 7.473779]	[126, 127]	[]	[66557751, 66557752]
805_10119	chr7	76359276	76359676	+	1000	56.0	[8.933888]	[128]	[]	[]	[76359499]	[]
805_1012	chr10	79027384	79027784	+	1000	189.0	[9.930836]	[74]	[]	[]	[79027554]	[]
805_10128	chr7	131692025	131692425	+	1000	56.0	[6.689266]	[157]	[]	[]	[131692275]	[]
