#PeakID(python identify_motif.py ./ENCODE_processed_files/ETV1_idr.fa ETV1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
5_1000	chr2	86562908	86563308	+	1000	171.0	[]	[]	[7.221666, 7.239314]	[129, 191]	[]	[86563088, 86563150]
5_10000	chrX	55160805	55161205	+	1000	49.0	[7.064883]	[105]	[]	[]	[55161006]	[]
5_10001	chr1	8197713	8198113	+	1000	48.5	[6.987383]	[63]	[]	[]	[8197876]	[]
5_10002	chr1	11741470	11741870	+	1000	48.5	[]	[]	[9.803603]	[136]	[]	[11741675]
5_10003	chr1	12449417	12449817	+	997	48.5	[8.3701725]	[119]	[]	[]	[12449626]	[]
5_10006	chr1	46179443	46179843	+	1000	48.5	[10.994075]	[126]	[]	[]	[46179627]	[]
5_10008	chr1	111507530	111507930	+	1000	48.5	[]	[]	[11.977064]	[148]	[]	[111507744]
5_10009	chr1	111733308	111733708	+	1000	48.5	[13.675058, 7.239314]	[91, 125]	[]	[]	[111733482, 111733516]	[]
5_1001	chr22	21755785	21756185	+	1000	171.0	[]	[]	[12.576745]	[119]	[]	[21756004]
5_10010	chr1	116895058	116895458	+	1000	48.5	[]	[]	[15.534065]	[108]	[]	[116895266]
5_10011	chr1	159889917	159890317	+	1000	48.5	[11.66261]	[152]	[]	[]	[159890116]	[]
5_10013	chr1	180609840	180610240	+	1000	48.5	[8.3701725]	[137]	[]	[]	[180610030]	[]
5_10014	chr1	200226209	200226609	+	1000	48.5	[]	[]	[10.994075]	[126]	[]	[200226410]
5_10016	chr1	241998393	241998793	+	1000	48.5	[9.001667]	[104]	[]	[]	[241998557]	[]
5_10017	chr10	13586705	13587105	+	1000	48.5	[7.7016377]	[146]	[]	[]	[13586946]	[]
5_10018	chr10	43407689	43408089	+	1000	48.5	[9.36461]	[151]	[]	[]	[43407851]	[]
5_1002	chr6	21987402	21987802	+	1000	171.0	[9.895375]	[121]	[]	[]	[21987617]	[]
5_10020	chr10	48406100	48406500	+	1000	48.5	[]	[]	[9.561721]	[107]	[]	[48406299]
5_10021	chr10	49177370	49177770	+	1000	48.5	[13.236065, 6.8003206]	[90, 145]	[]	[]	[49177560, 49177615]	[]
5_10022	chr10	49184803	49185203	+	1000	48.5	[10.278745, 7.12262]	[126, 130]	[]	[]	[49185022, 49185026]	[]
5_10023	chr10	61665872	61666272	+	1000	48.5	[9.561721]	[123]	[]	[]	[61666085]	[]
5_10024	chr10	69392350	69392750	+	1000	48.5	[]	[]	[7.419105, 9.2843075, 6.7531486]	[105, 142, 153]	[]	[69392537, 69392574, 69392585]
5_10025	chr10	70174129	70174529	+	1000	48.5	[]	[]	[10.38262, 15.534065, 7.1607375]	[103, 128, 157]	[]	[70174317, 70174342, 70174371]
5_10026	chr10	73808968	73809368	+	1000	48.5	[6.673493, 9.943626]	[72, 91]	[]	[]	[73809126, 73809145]	[]
5_10027	chr10	74439183	74439583	+	1000	48.5	[13.187814, 7.419105, 7.182085]	[75, 95, 111]	[12.755134]	[138]	[74439356, 74439376, 74439392]	[74439419]
5_10029	chr10	95297384	95297784	+	1000	48.5	[]	[]	[9.198133]	[81]	[]	[95297550]
5_10030	chr10	97292078	97292478	+	1000	48.5	[]	[]	[8.3701725]	[100]	[]	[97292258]
5_10031	chr11	448186	448586	+	1000	48.5	[10.896127]	[143]	[]	[]	[448379]	[]
5_10033	chr11	13339235	13339635	+	1000	48.5	[]	[]	[10.994075]	[99]	[]	[13339413]
5_10034	chr11	45355228	45355628	+	1000	48.5	[]	[]	[10.555081, 7.2626443]	[92, 118]	[]	[45355416, 45355442]
5_10036	chr11	64742913	64743313	+	1000	48.5	[]	[]	[7.7016377]	[119]	[]	[64743131]
5_1004	chr12	108838371	108838771	+	1000	170.5	[10.383697]	[89]	[9.561721]	[104]	[108838554]	[108838569]
5_10040	chr11	86955580	86955980	+	1000	48.5	[]	[]	[12.576745]	[89]	[]	[86955747]
5_10042	chr11	118565850	118566250	+	856	48.5	[10.796314]	[76]	[]	[]	[118566012]	[]
5_10045	chr12	56928220	56928620	+	1000	48.5	[]	[]	[13.675058]	[109]	[]	[56928402]
5_10046	chr12	57520492	57520892	+	1000	48.5	[9.943626]	[113]	[]	[]	[57520705]	[]
5_10051	chr12	120437856	120438256	+	1000	48.5	[]	[]	[11.66261, 8.684627, 7.7016377]	[95, 139, 145]	[]	[120438046, 120438090, 120438096]
5_10056	chr14	21383888	21384288	+	1000	48.5	[]	[]	[7.2626443]	[80]	[]	[21384058]
5_10057	chr14	30558984	30559384	+	1000	48.5	[8.684627]	[82]	[]	[]	[30559145]	[]
5_10059	chr14	103519124	103519524	+	1000	48.5	[7.4370747, 7.4263763]	[90, 175]	[]	[]	[103519284, 103519369]	[]
5_10061	chr15	44724322	44724722	+	1000	48.5	[]	[]	[11.977064]	[129]	[]	[44724498]
5_10062	chr15	89820673	89821073	+	1000	48.5	[7.7278996]	[86]	[]	[]	[89820841]	[]
5_10065	chr16	52853	53253	+	1000	48.5	[12.576745]	[123]	[]	[]	[53058]	[]
5_10067	chr16	23823756	23824156	+	1000	48.5	[7.214393]	[153]	[]	[]	[23823987]	[]
5_10069	chr16	84953163	84953563	+	1000	48.5	[8.371248, 9.895375]	[101, 121]	[7.412468]	[69]	[84953346, 84953366]	[84953314]
5_10070	chr16	90081964	90082364	+	1000	48.5	[]	[]	[7.4370747]	[142]	[]	[90082186]
5_10071	chr17	14019621	14020021	+	1000	48.5	[13.675058]	[96]	[]	[]	[14019812]	[]
5_10072	chr17	19554418	19554818	+	1000	48.5	[]	[]	[9.36461]	[177]	[]	[19554657]
5_10074	chr17	45395042	45395442	+	1000	48.5	[10.239002, 7.4235005]	[83, 93]	[]	[]	[45395222, 45395232]	[]
5_10075	chr17	47706548	47706948	+	1000	48.5	[]	[]	[8.017384, 6.8238196]	[129, 160]	[]	[47706765, 47706796]
5_10079	chr17	76264693	76265093	+	1000	48.5	[9.198133]	[73]	[]	[]	[76264855]	[]
5_1008	chr1	1724213	1724613	+	1000	170.0	[]	[]	[15.534065]	[122]	[]	[1724412]
5_10080	chr17	79736452	79736852	+	1000	48.5	[7.7016377]	[157]	[]	[]	[79736689]	[]
5_10083	chr19	12293771	12294171	+	1000	48.5	[12.853083]	[146]	[]	[]	[12293995]	[]
5_10086	chr19	40541185	40541585	+	1000	48.5	[13.675058]	[110]	[]	[]	[40541394]	[]
5_10087	chr19	44367023	44367423	+	1000	48.5	[8.684627]	[111]	[13.187814, 8.123753]	[76, 136]	[44367222]	[44367187, 44367247]
5_10088	chr19	48424756	48425156	+	1000	48.5	[10.278745]	[139]	[]	[]	[48424989]	[]
5_10089	chr2	27527299	27527699	+	1000	48.5	[10.506831]	[86]	[]	[]	[27527482]	[]
5_1009	chr10	102599695	102600095	+	1000	170.0	[]	[]	[6.846283, 6.846283, 10.278745]	[118, 122, 126]	[]	[102599903, 102599907, 102599911]
5_10090	chr2	27756805	27757205	+	1000	48.5	[6.8087263]	[68]	[]	[]	[27756962]	[]
5_10091	chr2	47179294	47179694	+	1000	48.5	[]	[]	[11.977064, 6.7520695, 9.803603]	[90, 106, 154]	[]	[47179474, 47179490, 47179538]
