#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF1_idr.fa KLF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
293_1001	chr10	78256255	78256655	+	1000	67.5	[9.2401705]	[80]	[]	[]	[78256419]	[]
293_1012	chr21	39183348	39183748	+	1000	67.5	[14.252311, 7.0663056, 10.823473]	[122, 149, 177]	[]	[]	[39183528, 39183555, 39183583]	[]
293_1013	chr22	19122201	19122601	+	1000	67.5	[10.534392, 6.0706253]	[216, 221]	[]	[]	[19122446, 19122451]	[]
293_1015	chr22	22297675	22298075	+	1000	67.5	[7.5088573, 7.1055546, 7.1055546]	[103, 125, 129]	[]	[]	[22297841, 22297863, 22297867]	[]
293_1021	chr6	169701867	169702267	+	1000	67.5	[12.265705]	[98]	[]	[]	[169702052]	[]
293_1028	chr9	131080867	131081267	+	1000	67.5	[7.846622]	[53]	[]	[]	[131081019]	[]
293_1032	chr10	13146377	13146777	+	1000	67.0	[8.786449, 14.252311]	[139, 162]	[10.7842245]	[148]	[13146560, 13146583]	[13146569]
293_1038	chr17	38677087	38677487	+	1000	67.0	[9.577935]	[82]	[]	[]	[38677269]	[]
293_1040	chr2	20650941	20651341	+	1000	67.0	[10.534392]	[102]	[]	[]	[20651130]	[]
293_1041	chr2	166375993	166376393	+	1000	67.0	[]	[]	[12.520998, 9.792437]	[123, 128]	[]	[166376212, 166376217]
293_1042	chr21	43728436	43728836	+	1000	67.0	[10.68806]	[176]	[]	[]	[43728682]	[]
293_1045	chr5	126514132	126514532	+	1000	67.0	[]	[]	[8.214792]	[88]	[]	[126514309]
293_1051	chr9	130842997	130843397	+	1000	67.0	[]	[]	[6.149097]	[98]	[]	[130843153]
293_1055	chr1	44775304	44775704	+	1000	66.5	[]	[]	[10.534392]	[147]	[]	[44775528]
293_1058	chr19	555955	556355	+	1000	66.5	[12.520998]	[173]	[]	[]	[556180]	[]
293_1061	chr3	6490517	6490917	+	1000	66.5	[6.7998433]	[152]	[]	[]	[6490747]	[]
293_1066	chr6	34560528	34560928	+	1000	66.5	[]	[]	[9.495462]	[115]	[]	[34560720]
293_1073	chr8	124474548	124474948	+	1000	66.5	[]	[]	[6.7998433]	[175]	[]	[124474791]
293_1074	chr8	143899445	143899845	+	1000	66.5	[8.956747]	[144]	[]	[]	[143899687]	[]
293_1077	chr1	36321276	36321676	+	1000	66.0	[]	[]	[6.0706253, 7.1055546]	[154, 220]	[]	[36321457, 36321523]
293_1083	chr12	108485407	108485807	+	1000	66.0	[8.956747]	[92]	[]	[]	[108485570]	[]
293_1086	chr16	22195642	22196042	+	1000	66.0	[10.534392]	[174]	[]	[]	[22195844]	[]
293_1088	chr16	68772065	68772465	+	1000	66.0	[]	[]	[10.534392]	[158]	[]	[68772293]
293_1104	chr9	130888527	130888927	+	1000	66.0	[10.534392]	[108]	[]	[]	[130888724]	[]
293_1109	chr1	2412419	2412819	+	1000	65.5	[]	[]	[10.534392, 6.0706253]	[182, 205]	[]	[2412624, 2412647]
293_1110	chr1	37554176	37554576	+	1000	65.5	[7.662525]	[100]	[14.252311]	[112]	[37554370]	[37554382]
293_1116	chr16	9078952	9079352	+	1000	65.5	[12.520998]	[136]	[]	[]	[9079170]	[]
293_1123	chr3	44518069	44518469	+	1000	65.5	[7.9705]	[82]	[]	[]	[44518220]	[]
293_1126	chr8	90580180	90580580	+	1000	65.5	[]	[]	[12.265705]	[119]	[]	[90580379]
