#PeakID(python identify_motif.py ./ENCODE_processed_files/STAT2_idr.fa STAT2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
877_1	chr14	24160997	24161397	+	1000	679.0	[8.405317]	[138]	[]	[]	[24161234]	[]
877_10	chr1	1013174	1013574	+	1000	528.0	[8.405317]	[130]	[7.9749885, 8.313011]	[66, 85]	[1013396]	[1013332, 1013351]
877_100	chr2	26493508	26493908	+	1000	135.0	[8.067295, 8.405317]	[130, 153]	[]	[]	[26493703, 26493726]	[]
877_10000	chr13	76029020	76029420	+	772	18.0	[]	[]	[8.405317]	[106]	[]	[76029182]
877_10002	chr13	94596118	94596518	+	822	18.0	[]	[]	[8.405317]	[98]	[]	[94596283]
877_10009	chr14	23034676	23035076	+	734	18.0	[7.9749885]	[132]	[]	[]	[23034896]	[]
877_10012	chr14	65081396	65081796	+	667	18.0	[]	[]	[8.067295, 8.405317]	[73, 79]	[]	[65081558, 65081564]
877_10019	chr14	93103611	93104011	+	717	18.0	[8.313011, 8.067295, 8.405317]	[122, 145, 151]	[8.313011]	[81]	[93103814, 93103837, 93103843]	[93103773]
877_1002	chr19	1132113	1132513	+	1000	46.0	[]	[]	[8.067295]	[115]	[]	[1132322]
877_1003	chr19	51547694	51548094	+	1000	46.0	[7.9749885, 8.313011]	[121, 136]	[]	[]	[51547914, 51547929]	[]
877_10031	chr15	65551135	65551535	+	786	18.0	[8.067295]	[77]	[]	[]	[65551290]	[]
877_10035	chr15	69059063	69059463	+	769	18.0	[]	[]	[8.313011]	[143]	[]	[69059295]
877_1004	chr2	26757813	26758213	+	1000	46.0	[]	[]	[8.067295]	[105]	[]	[26758017]
877_10040	chr15	83178836	83179236	+	804	18.0	[]	[]	[8.405317]	[162]	[]	[83179068]
877_10045	chr16	690213	690613	+	762	18.0	[]	[]	[7.9749885]	[94]	[]	[690403]
877_1005	chr2	68121036	68121436	+	1000	46.0	[]	[]	[8.313011]	[114]	[]	[68121247]
877_10050	chr16	9598057	9598457	+	855	18.0	[]	[]	[8.313011]	[172]	[]	[9598270]
877_1006	chr2	86584041	86584441	+	1000	46.0	[8.405317]	[58]	[8.405317]	[106]	[86584196]	[86584244]
877_10068	chr16	58792234	58792634	+	604	18.0	[]	[]	[8.313011, 7.9749885, 7.9749885]	[139, 143, 151]	[]	[58792449, 58792453, 58792461]
877_1007	chr2	197929232	197929632	+	1000	46.0	[]	[]	[7.9749885, 8.313011]	[82, 89]	[]	[197929394, 197929401]
877_10071	chr16	66947146	66947546	+	634	18.0	[7.9749885]	[111]	[]	[]	[66947319]	[]
877_10076	chr16	68289603	68290003	+	830	18.0	[7.9749885]	[87]	[]	[]	[68289778]	[]
877_10081	chr16	84622097	84622497	+	744	18.0	[8.067295]	[148]	[7.9749885]	[110]	[84622331]	[84622293]
877_10083	chr16	87871523	87871923	+	699	18.0	[7.9749885]	[154]	[]	[]	[87871762]	[]
877_10089	chr17	7329478	7329878	+	751	18.0	[]	[]	[8.067295]	[77]	[]	[7329642]
877_10090	chr17	7435064	7435464	+	809	18.0	[8.405317]	[181]	[]	[]	[7435302]	[]
877_10092	chr17	7857590	7857990	+	752	18.0	[]	[]	[7.9749885]	[150]	[]	[7857745]
877_10094	chr17	28727887	28728287	+	748	18.0	[]	[]	[7.9749885]	[148]	[]	[28728070]
877_10096	chr17	29124093	29124493	+	805	18.0	[8.313011]	[154]	[]	[]	[29124338]	[]
877_101	chr4	169626889	169627289	+	1000	135.0	[]	[]	[8.405317]	[143]	[]	[169627122]
877_10100	chr17	33475562	33475962	+	772	18.0	[8.313011]	[123]	[]	[]	[33475770]	[]
877_10102	chr17	36533945	36534345	+	760	18.0	[]	[]	[8.313011]	[155]	[]	[36534193]
877_10103	chr17	37047644	37048044	+	837	18.0	[]	[]	[8.405317]	[192]	[]	[37047886]
877_10106	chr17	41549228	41549628	+	684	18.0	[8.313011]	[179]	[]	[]	[41549449]	[]
877_10108	chr17	41688347	41688747	+	644	18.0	[8.405317]	[117]	[]	[]	[41688511]	[]
877_10112	chr17	42276898	42277298	+	807	18.0	[7.9749885]	[107]	[]	[]	[42277091]	[]
877_10115	chr17	43791575	43791975	+	677	18.0	[7.9749885]	[85]	[]	[]	[43791729]	[]
877_10127	chr17	57459176	57459576	+	703	18.0	[]	[]	[8.067295]	[96]	[]	[57459361]
877_10130	chr17	59784268	59784668	+	812	18.0	[]	[]	[7.9749885]	[123]	[]	[59784478]
877_1014	chr5	82422734	82423134	+	1000	46.0	[8.405317]	[112]	[]	[]	[82422922]	[]
877_10146	chr17	78082380	78082780	+	769	18.0	[8.405317]	[99]	[]	[]	[78082536]	[]
877_10148	chr17	80833084	80833484	+	708	18.0	[8.067295]	[107]	[]	[]	[80833288]	[]
877_1015	chr5	95712430	95712830	+	1000	46.0	[8.067295]	[94]	[]	[]	[95712616]	[]
877_10151	chr18	650320	650720	+	803	18.0	[8.405317]	[89]	[8.067295]	[158]	[650496]	[650565]
877_10158	chr18	11851171	11851571	+	730	18.0	[8.313011]	[167]	[]	[]	[11851396]	[]
877_10161	chr18	49492267	49492667	+	848	18.0	[8.313011, 7.9749885]	[138, 164]	[]	[]	[49492447, 49492473]	[]
877_10163	chr18	55981715	55982115	+	829	18.0	[8.313011]	[136]	[7.9749885]	[127]	[55981950]	[55981941]
877_10166	chr19	791689	792089	+	814	18.0	[7.9749885]	[172]	[]	[]	[791875]	[]
877_10169	chr19	1479234	1479634	+	808	18.0	[]	[]	[7.9749885]	[168]	[]	[1479436]
877_10174	chr19	4471716	4472116	+	789	18.0	[]	[]	[7.9749885]	[207]	[]	[4471928]
877_10175	chr19	4724538	4724938	+	802	18.0	[8.313011]	[167]	[]	[]	[4724781]	[]
877_10182	chr19	10388843	10389243	+	793	18.0	[8.067295]	[118]	[]	[]	[10389025]	[]
