#PeakID(python identify_motif.py ./ENCODE_processed_files/E2F3_idr.fa E2F3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
227_100	chr6	27139027	27139427	+	1000	228.5	[]	[]	[8.259437]	[81]	[]	[27139206]
227_1000	chr9	94166371	94166771	+	1000	83.0	[6.5268717]	[143]	[7.071043]	[179]	[94166574]	[94166610]
227_10000	chr16	66880225	66880625	+	1000	38.0	[]	[]	[8.259437]	[104]	[]	[66880405]
227_10001	chr16	66900089	66900489	+	1000	38.0	[6.425717]	[110]	[6.425717]	[108]	[66900296]	[66900294]
227_10002	chr16	67245937	67246337	+	1000	38.0	[7.6141095]	[200]	[8.259437]	[167]	[67246151]	[67246118]
227_10004	chr16	69754535	69754935	+	1000	38.0	[7.6141095]	[146]	[]	[]	[69754777]	[]
227_10005	chr16	71895075	71895475	+	712	38.0	[]	[]	[6.425717]	[192]	[]	[71895317]
227_10012	chr17	7242998	7243398	+	1000	38.0	[6.425717]	[98]	[]	[]	[7243176]	[]
227_10013	chr17	17236968	17237368	+	1000	38.0	[]	[]	[8.259437]	[175]	[]	[17237154]
227_10020	chr17	48107348	48107748	+	1000	38.0	[6.5268717]	[134]	[]	[]	[48107521]	[]
227_10028	chr18	22169481	22169881	+	1000	38.0	[7.6141095]	[177]	[7.6141095]	[175]	[22169702]	[22169700]
227_10030	chr18	75209567	75209967	+	1000	38.0	[]	[]	[7.071043, 8.259437]	[51, 101]	[]	[75209718, 75209768]
227_10033	chr19	12881220	12881620	+	1000	38.0	[]	[]	[6.425717]	[209]	[]	[12881456]
227_10039	chr19	35153730	35154130	+	1000	38.0	[8.259437]	[181]	[]	[]	[35153957]	[]
227_1004	chr14	55026879	55027279	+	1000	82.5	[]	[]	[8.259437]	[98]	[]	[55027072]
227_10051	chr2	26503380	26503780	+	1000	38.0	[8.259437]	[89]	[]	[]	[26503546]	[]
227_10052	chr2	28356140	28356540	+	1000	38.0	[]	[]	[7.071043]	[129]	[]	[28356331]
227_10053	chr2	30447480	30447880	+	1000	38.0	[7.6141095]	[91]	[]	[]	[30447650]	[]
227_10054	chr2	39120144	39120544	+	1000	38.0	[]	[]	[8.259437]	[140]	[]	[39120319]
227_10055	chr2	55112474	55112874	+	1000	38.0	[]	[]	[7.071043]	[111]	[]	[55112658]
227_10058	chr2	71130444	71130844	+	938	38.0	[]	[]	[7.071043, 6.425717]	[115, 183]	[]	[71130599, 71130667]
227_10061	chr2	96266172	96266572	+	1000	38.0	[]	[]	[8.259437]	[174]	[]	[96266399]
227_10067	chr2	207769968	207770368	+	1000	38.0	[8.259437]	[99]	[7.071043]	[80]	[207770166]	[207770147]
227_10069	chr2	241149982	241150382	+	1000	38.0	[]	[]	[8.259437]	[164]	[]	[241150226]
227_10071	chr20	32474976	32475376	+	704	38.0	[7.071043]	[53]	[6.425717]	[125]	[32475127]	[32475199]
227_10077	chr21	8759061	8759461	+	1000	38.0	[8.259437]	[104]	[]	[]	[8759236]	[]
227_10078	chr21	42496500	42496900	+	1000	38.0	[8.259437]	[157]	[]	[]	[42496691]	[]
227_1011	chr1	3900586	3900986	+	1000	82.0	[6.425717]	[162]	[6.425717]	[160]	[3900831]	[3900829]
227_1012	chr1	26431946	26432346	+	1000	82.0	[8.259437]	[152]	[8.259437]	[95]	[26432195]	[26432138]
227_10131	chr3	49029205	49029605	+	1000	38.0	[6.425717, 7.6141095]	[140, 178]	[]	[]	[49029417, 49029455]	[]
227_10132	chr3	52154311	52154711	+	1000	38.0	[6.425717]	[242]	[]	[]	[52154556]	[]
227_1014	chr1	31705112	31705512	+	1000	82.0	[6.5268717]	[144]	[8.259437]	[113]	[31705338]	[31705307]
227_10144	chr4	57164011	57164411	+	1000	38.0	[8.259437]	[114]	[]	[]	[57164223]	[]
227_10145	chr4	83536119	83536519	+	1000	38.0	[]	[]	[7.6141095, 7.6141095]	[105, 164]	[]	[83536284, 83536343]
227_10159	chr6	4647489	4647889	+	1000	38.0	[8.259437]	[168]	[]	[]	[4647687]	[]
227_10170	chr6	47309650	47310050	+	1000	38.0	[7.6141095]	[106]	[]	[]	[47309813]	[]
227_10172	chr6	73521464	73521864	+	850	38.0	[]	[]	[6.5268717]	[102]	[]	[73521631]
227_1018	chr11	65083818	65084218	+	1000	82.0	[6.425717]	[129]	[]	[]	[65084026]	[]
227_10186	chr7	101173309	101173709	+	1000	38.0	[7.6141095]	[118]	[]	[]	[101173514]	[]
227_10187	chr7	102286240	102286640	+	1000	38.0	[]	[]	[8.259437]	[70]	[]	[102286400]
227_1020	chr13	112587972	112588372	+	1000	82.0	[6.425717]	[103]	[]	[]	[112588123]	[]
227_10203	chr8	80486344	80486744	+	1000	38.0	[8.259437]	[120]	[]	[]	[80486535]	[]
227_10210	chr9	97013439	97013839	+	1000	38.0	[]	[]	[8.259437, 8.259437]	[123, 141]	[]	[97013658, 97013676]
227_10217	chr9	133120808	133121208	+	1000	38.0	[7.071043]	[104]	[]	[]	[133120980]	[]
227_1022	chr15	35545983	35546383	+	1000	82.0	[8.259437]	[124]	[7.6141095]	[139]	[35546177]	[35546192]
227_10227	chrX	101348659	101349059	+	1000	38.0	[]	[]	[6.425717]	[69]	[]	[101348826]
227_10231	chr1	3796142	3796542	+	1000	37.5	[7.071043, 7.071043]	[105, 126]	[8.259437]	[72]	[3796326, 3796347]	[3796293]
227_10232	chr1	6612730	6613130	+	924	37.5	[7.071043]	[137]	[]	[]	[6612966]	[]
227_1024	chr20	33732147	33732547	+	1000	82.0	[6.425717, 8.259437, 8.259437]	[112, 140, 168]	[]	[]	[33732298, 33732326, 33732354]	[]
227_10244	chr1	42456656	42457056	+	1000	37.5	[]	[]	[7.6141095]	[74]	[]	[42456817]
227_10250	chr1	99645849	99646249	+	1000	37.5	[]	[]	[7.071043]	[101]	[]	[99646041]
227_10255	chr1	148151990	148152390	+	1000	37.5	[8.259437]	[206]	[]	[]	[148152230]	[]
227_10256	chr1	149927561	149927961	+	1000	37.5	[]	[]	[6.5268717, 8.259437, 6.5268717]	[140, 180, 202]	[]	[149927731, 149927771, 149927793]
227_10260	chr1	161159210	161159610	+	1000	37.5	[6.425717]	[173]	[]	[]	[161159427]	[]
227_10264	chr1	201153891	201154291	+	1000	37.5	[]	[]	[8.259437]	[149]	[]	[201154115]
227_1027	chr22	20299636	20300036	+	1000	82.0	[]	[]	[7.6141095]	[105]	[]	[20299809]
227_10276	chr1	245153350	245153750	+	1000	37.5	[]	[]	[8.259437]	[160]	[]	[245153578]
227_10278	chr10	7818294	7818694	+	1000	37.5	[8.259437]	[114]	[6.425717]	[153]	[7818506]	[7818545]
227_10279	chr10	11823181	11823581	+	1000	37.5	[6.425717]	[169]	[]	[]	[11823389]	[]
227_10283	chr10	68231175	68231575	+	1000	37.5	[]	[]	[8.259437]	[144]	[]	[68231358]
227_10296	chr11	130069837	130070237	+	1000	37.5	[]	[]	[6.425717]	[214]	[]	[130070060]
227_10298	chr12	31324014	31324414	+	1000	37.5	[6.425717]	[99]	[8.259437, 8.259437]	[120, 136]	[31324170]	[31324191, 31324207]
227_103	chr22	19854883	19855283	+	1000	225.0	[7.071043, 6.425717, 7.6141095]	[71, 121, 161]	[7.071043]	[78]	[19855036, 19855086, 19855126]	[19855043]
227_1030	chr5	14664278	14664678	+	1000	82.0	[]	[]	[8.259437]	[91]	[]	[14664466]
227_10304	chr12	62466661	62467061	+	1000	37.5	[]	[]	[6.425717]	[140]	[]	[62466869]
227_10326	chr15	44711387	44711787	+	1000	37.5	[]	[]	[7.6141095, 8.259437]	[142, 198]	[]	[44711575, 44711631]
227_10328	chr15	64095950	64096350	+	1000	37.5	[8.259437]	[238]	[]	[]	[64096200]	[]
227_1033	chr7	129054673	129055073	+	1000	82.0	[6.425717]	[129]	[7.6141095, 6.425717]	[87, 127]	[129054882]	[129054840, 129054880]
227_10338	chr15	90903763	90904163	+	1000	37.5	[7.071043]	[178]	[]	[]	[90904010]	[]
227_1034	chrX	53422458	53422858	+	1000	82.0	[7.071043, 8.259437]	[69, 119]	[]	[]	[53422617, 53422667]	[]
227_10341	chr16	1770312	1770712	+	1000	37.5	[6.425717]	[171]	[]	[]	[1770496]	[]
227_10345	chr16	13920030	13920430	+	1000	37.5	[]	[]	[6.425717]	[72]	[]	[13920200]
227_1035	chr1	154183098	154183498	+	1000	81.5	[8.259437, 7.071043]	[102, 132]	[7.071043]	[76]	[154183283, 154183313]	[154183257]
227_10352	chr16	70065645	70066045	+	910	37.5	[]	[]	[8.259437]	[135]	[]	[70065826]
227_10357	chr16	89490411	89490811	+	1000	37.5	[8.259437]	[126]	[8.259437]	[150]	[89490588]	[89490612]
227_10365	chr17	34961135	34961535	+	1000	37.5	[6.425717]	[132]	[]	[]	[34961351]	[]
227_10374	chr17	82236106	82236506	+	1000	37.5	[]	[]	[6.5268717]	[124]	[]	[82236320]
227_1039	chr19	45405891	45406291	+	1000	81.5	[]	[]	[8.259437]	[132]	[]	[45406110]
227_10394	chr19	14432914	14433314	+	1000	37.5	[]	[]	[8.259437]	[90]	[]	[14433104]
227_10396	chr19	18156917	18157317	+	1000	37.5	[6.5268717]	[224]	[]	[]	[18157165]	[]
227_10398	chr19	32671935	32672335	+	1000	37.5	[]	[]	[8.259437]	[117]	[]	[32672140]
227_10399	chr19	35903615	35904015	+	1000	37.5	[]	[]	[7.071043]	[132]	[]	[35903802]
227_104	chr22	19479720	19480120	+	1000	224.5	[8.259437, 7.6141095, 6.425717]	[79, 117, 123]	[]	[]	[19479899, 19479937, 19479943]	[]
227_1040	chr21	33541951	33542351	+	1000	81.5	[8.259437, 7.071043]	[102, 113]	[]	[]	[33542130, 33542141]	[]
227_10402	chr19	48445794	48446194	+	1000	37.5	[6.5268717]	[117]	[]	[]	[48445945]	[]
227_10403	chr19	49487555	49487955	+	1000	37.5	[]	[]	[7.071043]	[178]	[]	[49487799]
227_10405	chr19	54191114	54191514	+	1000	37.5	[]	[]	[8.259437]	[226]	[]	[54191353]
227_10406	chr2	8681909	8682309	+	1000	37.5	[7.071043]	[127]	[]	[]	[8682098]	[]
227_10409	chr2	32039663	32040063	+	1000	37.5	[]	[]	[7.071043]	[74]	[]	[32039827]
227_10416	chr20	5112803	5113203	+	1000	37.5	[6.425717]	[135]	[]	[]	[5112970]	[]
227_10419	chr20	35284135	35284535	+	1000	37.5	[]	[]	[8.259437]	[193]	[]	[35284370]
227_1042	chr5	69189402	69189802	+	1000	81.5	[8.259437]	[89]	[]	[]	[69189569]	[]
227_10422	chr20	44475732	44476132	+	1000	37.5	[7.6141095]	[151]	[8.259437]	[217]	[44475884]	[44475950]
227_10429	chr22	17159144	17159544	+	1000	37.5	[7.071043]	[160]	[]	[]	[17159340]	[]
227_1043	chr6	37499606	37500006	+	1000	81.5	[]	[]	[8.259437, 8.259437]	[118, 198]	[]	[37499764, 37499844]
227_10433	chr22	19687752	19688152	+	1000	37.5	[8.259437]	[109]	[]	[]	[19687935]	[]
227_1044	chr9	83980604	83981004	+	1000	81.5	[7.6141095, 7.071043, 8.259437]	[70, 80, 92]	[]	[]	[83980763, 83980773, 83980785]	[]
227_1045	chr1	19210277	19210677	+	1000	81.0	[8.259437]	[104]	[]	[]	[19210475]	[]
227_10468	chr22	39319408	39319808	+	1000	37.5	[]	[]	[8.259437]	[152]	[]	[39319610]
227_10472	chr3	42880976	42881376	+	1000	37.5	[7.071043]	[177]	[]	[]	[42881172]	[]
227_10473	chr3	51670800	51671200	+	1000	37.5	[8.259437]	[169]	[]	[]	[51671046]	[]
227_1048	chr1	35718746	35719146	+	1000	81.0	[6.425717]	[102]	[6.5268717]	[88]	[35718942]	[35718928]
227_10481	chr3	197599007	197599407	+	1000	37.5	[]	[]	[7.071043]	[165]	[]	[197599181]
227_10488	chr4	89111587	89111987	+	1000	37.5	[6.5268717, 8.259437]	[96, 116]	[8.259437]	[131]	[89111772, 89111792]	[89111807]
227_10495	chr5	138213321	138213721	+	1000	37.5	[8.259437]	[115]	[]	[]	[138213503]	[]
227_10496	chr5	138492156	138492556	+	1000	37.5	[8.259437, 8.259437, 8.259437]	[126, 160, 169]	[8.259437]	[191]	[138492310, 138492344, 138492353]	[138492375]
227_1050	chr1	154982900	154983300	+	1000	81.0	[]	[]	[8.259437, 8.259437]	[96, 117]	[]	[154983096, 154983117]
227_10500	chr5	154755606	154756006	+	1000	37.5	[6.425717]	[88]	[]	[]	[154755792]	[]
227_10508	chr6	30690849	30691249	+	1000	37.5	[]	[]	[8.259437]	[153]	[]	[30691016]
227_10512	chr6	36667102	36667502	+	1000	37.5	[8.259437]	[98]	[]	[]	[36667279]	[]
227_1052	chr11	47565204	47565604	+	1000	81.0	[]	[]	[8.259437]	[138]	[]	[47565404]
