#PeakID(python scan_motif.py ./ENCODE_processed_files/E2F1_idr.fa E2F1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
562_100	chr11	95789749	95790149	+	1000	335.0	[10.589524]	[93]	[]	[]	[95789934]	[]
562_1002	chr6	4018563	4018963	+	1000	90.5	[]	[]	[10.378438]	[87]	[]	[4018739]
562_1003	chr1	778536	778936	+	1000	90.0	[]	[]	[5.667835]	[144]	[]	[778734]
562_1004	chr1	3900625	3901025	+	1000	90.0	[]	[]	[9.187896]	[125]	[]	[3900828]
562_1005	chr1	153967309	153967709	+	1000	90.0	[11.7800665]	[163]	[6.051324, 10.704447]	[104, 127]	[153967555]	[153967496, 153967519]
562_1006	chr1	248837961	248838361	+	1000	90.0	[11.7800665, 11.7800665, 11.7800665]	[105, 157, 164]	[]	[]	[248838130, 248838182, 248838189]	[]
562_1008	chr15	22837952	22838352	+	1000	90.0	[6.051324]	[79]	[10.589524]	[116]	[22838118]	[22838155]
562_1009	chr19	13905836	13906236	+	1000	90.0	[]	[]	[11.665144]	[175]	[]	[13906078]
562_101	chr6	159789564	159789964	+	1000	334.5	[10.589524]	[126]	[]	[]	[159789776]	[]
562_1013	chr5	177351752	177352152	+	1000	90.0	[11.7800665, 10.704447]	[139, 145]	[]	[]	[177351969, 177351975]	[]
562_1014	chr6	44387596	44387996	+	1000	90.0	[]	[]	[10.378438]	[137]	[]	[44387813]
562_1018	chr19	41859425	41859825	+	1000	89.5	[]	[]	[6.051324, 10.378438, 6.051324]	[88, 97, 107]	[]	[41859605, 41859614, 41859624]
562_1019	chr2	97664156	97664556	+	1000	89.5	[]	[]	[11.665144, 11.665144]	[85, 120]	[]	[97664330, 97664365]
562_102	chr1	241847992	241848392	+	1000	332.5	[]	[]	[10.589524]	[119]	[]	[241848209]
562_1021	chr15	75758407	75758807	+	1000	89.0	[11.665144]	[171]	[9.302818]	[81]	[75758653]	[75758563]
562_1022	chr17	7583576	7583976	+	1000	89.0	[11.665144]	[101]	[]	[]	[7583768]	[]
562_1023	chr19	38336131	38336531	+	1000	89.0	[6.051324, 11.665144]	[123, 146]	[]	[]	[38336353, 38336376]	[]
562_1024	chr19	45779288	45779688	+	1000	89.0	[]	[]	[5.570742]	[137]	[]	[45779513]
562_1025	chr20	35454837	35455237	+	1000	89.0	[11.7800665]	[96]	[]	[]	[35455032]	[]
562_1026	chr6	152982119	152982519	+	1000	89.0	[6.051324, 11.7800665]	[58, 76]	[11.7800665]	[100]	[152982275, 152982293]	[152982317]
562_1027	chr7	87152104	87152504	+	1000	89.0	[]	[]	[10.589524]	[136]	[]	[87152307]
562_1028	chrX	2502840	2503240	+	1000	89.0	[10.589524]	[114]	[]	[]	[2503049]	[]
562_1029	chr11	78139493	78139893	+	1000	88.5	[]	[]	[11.7800665]	[149]	[]	[78139736]
562_1030	chr11	108498369	108498769	+	1000	88.5	[11.665144]	[71]	[]	[]	[108498533]	[]
562_1031	chr12	31326131	31326531	+	1000	88.5	[11.665144]	[125]	[]	[]	[31326351]	[]
562_1033	chr17	42998128	42998528	+	1000	88.5	[6.051324]	[156]	[10.378438, 5.570742]	[68, 99]	[42998376]	[42998288, 42998319]
562_1037	chr6	27865049	27865449	+	1000	88.5	[]	[]	[10.589524]	[144]	[]	[27865268]
562_1039	chr9	5675036	5675436	+	1000	88.5	[11.665144]	[94]	[]	[]	[5675219]	[]
562_104	chr1	23531063	23531463	+	1000	331.0	[9.187896]	[116]	[11.7800665]	[146]	[23531268]	[23531298]
562_1040	chr1	225428181	225428581	+	1000	88.0	[]	[]	[11.7800665]	[93]	[]	[225428368]
562_1041	chr17	29069444	29069844	+	1000	88.0	[11.665144]	[132]	[]	[]	[29069662]	[]
562_1043	chr6	136250155	136250555	+	1000	88.0	[]	[]	[5.570742]	[65]	[]	[136250313]
562_1044	chr8	143547272	143547672	+	1000	88.0	[5.570742, 11.665144]	[82, 120]	[]	[]	[143547443, 143547481]	[]
562_1046	chr1	52056064	52056464	+	1000	87.5	[]	[]	[11.7800665]	[154]	[]	[52056278]
562_1047	chr1	61079960	61080360	+	1000	87.5	[9.187896]	[131]	[]	[]	[61080162]	[]
562_1048	chr1	111755641	111756041	+	1000	87.5	[11.665144]	[104]	[5.552912]	[134]	[111755834]	[111755864]
562_1049	chr11	7079727	7080127	+	1000	87.5	[11.665144]	[92]	[]	[]	[7079903]	[]
562_105	chr12	50025280	50025680	+	1000	329.5	[]	[]	[11.7800665]	[151]	[]	[50025526]
562_1050	chr14	21384206	21384606	+	1000	87.5	[6.051324]	[135]	[10.378438]	[76]	[21384439]	[21384380]
562_1051	chr16	68084352	68084752	+	1000	87.5	[]	[]	[11.7800665]	[135]	[]	[68084534]
562_1056	chr4	158671753	158672153	+	1000	87.5	[]	[]	[6.051324]	[84]	[]	[158671910]
562_1063	chr19	3036143	3036543	+	1000	87.0	[]	[]	[11.7800665, 11.7800665, 11.7800665]	[111, 129, 139]	[]	[3036342, 3036360, 3036370]
562_1064	chr6	28895409	28895809	+	1000	87.0	[11.665144]	[79]	[6.051324]	[151]	[28895573]	[28895645]
562_1066	chr7	139340362	139340762	+	1000	87.0	[]	[]	[9.187896]	[92]	[]	[139340527]
562_1067	chr8	38385841	38386241	+	1000	87.0	[]	[]	[11.665144]	[122]	[]	[38386041]
562_1068	chr1	1658855	1659255	+	1000	86.5	[6.051324]	[178]	[9.187896]	[86]	[1659104]	[1659012]
562_1069	chr1	9428877	9429277	+	1000	86.5	[9.302818, 6.051324]	[90, 110]	[]	[]	[9429061, 9429081]	[]
562_107	chr20	49278363	49278763	+	1000	324.0	[11.665144]	[97]	[]	[]	[49278557]	[]
562_1071	chr10	22615916	22616316	+	1000	86.5	[9.187896]	[168]	[]	[]	[22616143]	[]
562_1072	chr10	125719369	125719769	+	1000	86.5	[5.552912, 11.7800665]	[90, 172]	[11.665144]	[140]	[125719538, 125719620]	[125719588]
562_1073	chr11	75399293	75399693	+	1000	86.5	[10.2635145]	[166]	[10.704447, 5.570742]	[105, 124]	[75399540]	[75399479, 75399498]
562_1077	chr3	121545787	121546187	+	1000	86.5	[]	[]	[11.665144]	[109]	[]	[121545968]
562_1078	chr5	179732478	179732878	+	1000	86.5	[]	[]	[9.302818]	[135]	[]	[179732687]
562_1079	chr7	48084806	48085206	+	1000	86.5	[11.665144]	[138]	[]	[]	[48085029]	[]
562_1080	chr7	118183976	118184376	+	1000	86.5	[]	[]	[9.302818]	[83]	[]	[118184154]
562_1082	chr1	31705119	31705519	+	1000	86.0	[]	[]	[11.665144]	[89]	[]	[31705306]
562_1083	chr1	154936367	154936767	+	1000	86.0	[]	[]	[11.665144]	[107]	[]	[154936573]
562_1084	chr12	103930096	103930496	+	1000	86.0	[]	[]	[5.570742]	[89]	[]	[103930279]
562_1085	chr12	108561001	108561401	+	1000	86.0	[]	[]	[11.665144]	[86]	[]	[108561181]
562_1086	chr14	23006894	23007294	+	1000	86.0	[11.7800665]	[124]	[5.570742, 9.302818, 5.570742]	[60, 73, 79]	[23007109]	[23007045, 23007058, 23007064]
562_1087	chr17	77140363	77140763	+	1000	86.0	[]	[]	[11.7800665, 11.665144]	[128, 146]	[]	[77140563, 77140581]
562_1088	chr21	33541895	33542295	+	1000	86.0	[6.051324]	[140]	[11.665144]	[96]	[33542130]	[33542086]
562_1089	chr3	100401231	100401631	+	1000	86.0	[11.7800665]	[114]	[]	[]	[100401442]	[]
562_109	chr21	42923882	42924282	+	1000	320.5	[11.665144]	[100]	[]	[]	[42924076]	[]
562_1093	chr12	48716835	48717235	+	1000	85.5	[5.552912]	[132]	[11.665144, 9.187896]	[127, 151]	[48716999]	[48716994, 48717018]
562_1095	chr19	32971977	32972377	+	1000	85.5	[11.7800665]	[138]	[]	[]	[32972192]	[]
562_1096	chr19	49641767	49642167	+	1000	85.5	[]	[]	[5.570742]	[102]	[]	[49641943]
562_1097	chr6	32178116	32178516	+	1000	85.5	[]	[]	[11.665144]	[109]	[]	[32178318]
562_1098	chr9	70420780	70421180	+	1000	85.5	[]	[]	[11.665144]	[110]	[]	[70420980]
562_1099	chr1	180533504	180533904	+	1000	85.0	[]	[]	[11.665144]	[136]	[]	[180533724]
562_110	chr12	54279995	54280395	+	1000	319.5	[]	[]	[11.7800665]	[120]	[]	[54280207]
562_1100	chr1	236794966	236795366	+	1000	85.0	[11.665144, 6.051324]	[79, 94]	[11.7800665]	[74]	[236795131, 236795146]	[236795126]
562_1102	chr11	47767371	47767771	+	1000	85.0	[5.570742]	[178]	[]	[]	[47767602]	[]
562_1103	chr12	9448008	9448408	+	1000	85.0	[10.589524]	[140]	[]	[]	[9448246]	[]
562_1105	chr2	224585544	224585944	+	1000	85.0	[9.302818]	[76]	[]	[]	[224585713]	[]
562_1107	chr8	54022224	54022624	+	1000	85.0	[]	[]	[11.665144]	[109]	[]	[54022401]
