#PeakID(python scan_motif.py ./ENCODE_processed_files/NR2F6_idr.fa NR2F6 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
681_1000	chr11	118573230	118573630	+	1000	91.0	[]	[]	[8.589731]	[87]	[]	[118573413]
681_10001	chr9	109459031	109459431	+	981	37.0	[]	[]	[10.466044]	[100]	[]	[109459214]
681_10002	chr9	112751608	112752008	+	1000	37.0	[6.917256, 8.423179]	[134, 141]	[]	[]	[112751820, 112751827]	[]
681_10008	chr9	128206314	128206714	+	1000	37.0	[]	[]	[6.9793944, 8.710301]	[151, 158]	[]	[128206556, 128206563]
681_1001	chr12	123721149	123721549	+	1000	91.0	[8.767773]	[83]	[]	[]	[123721305]	[]
681_10014	chr9	133122737	133123137	+	1000	37.0	[7.699957]	[94]	[]	[]	[133122931]	[]
681_10015	chr9	136610429	136610829	+	1000	37.0	[13.574681]	[162]	[]	[]	[136610652]	[]
681_10017	chrUn_GL000224v1	33398	33798	+	766	37.0	[]	[]	[9.110114]	[149]	[]	[33556]
681_10019	chrUn_KI270742v1	23872	24272	+	1000	37.0	[8.514302]	[101]	[]	[]	[24068]	[]
681_1002	chr13	50161158	50161558	+	1000	91.0	[]	[]	[11.258537, 10.400684]	[123, 129]	[]	[50161376, 50161382]
681_10020	chrUn_KI270754v1	35953	36353	+	939	37.0	[7.355865]	[207]	[]	[]	[36187]	[]
681_10022	chr1	827260	827660	+	1000	36.0	[8.245195]	[163]	[]	[]	[827490]	[]
681_10025	chr1	1305165	1305565	+	899	36.0	[11.258537]	[105]	[]	[]	[1305344]	[]
681_10027	chr1	1440952	1441352	+	1000	36.0	[7.608377]	[87]	[]	[]	[1441131]	[]
681_10030	chr1	1989073	1989473	+	614	36.0	[7.051181]	[105]	[]	[]	[1989263]	[]
681_10032	chr1	6161594	6161994	+	1000	36.0	[6.7778077]	[133]	[9.676358]	[106]	[6161809]	[6161782]
681_10036	chr1	9725002	9725402	+	994	36.0	[10.822892]	[70]	[]	[]	[9725165]	[]
681_10038	chr1	11727186	11727586	+	1000	36.0	[10.225179]	[93]	[11.341519]	[105]	[11727365]	[11727377]
681_1004	chr16	70635307	70635707	+	1000	91.0	[]	[]	[11.724585, 7.415039, 13.574681, 8.66444]	[117, 131, 138, 145]	[]	[70635509, 70635523, 70635530, 70635537]
681_10041	chr1	15464244	15464644	+	767	36.0	[8.7080965]	[141]	[]	[]	[15464484]	[]
681_10045	chr1	23799442	23799842	+	866	36.0	[]	[]	[12.02581, 6.9654317]	[97, 140]	[]	[23799607, 23799650]
681_10046	chr1	26268246	26268646	+	1000	36.0	[7.37782]	[214]	[8.565256, 10.465072]	[227, 234]	[26268465]	[26268478, 26268485]
681_10049	chr1	26698198	26698598	+	1000	36.0	[10.400684]	[165]	[]	[]	[26698447]	[]
681_1005	chr16	87145503	87145903	+	1000	91.0	[]	[]	[8.232883]	[146]	[]	[87145731]
681_10051	chr1	26993025	26993425	+	1000	36.0	[]	[]	[9.169012]	[232]	[]	[26993270]
681_10052	chr1	27067322	27067722	+	1000	36.0	[]	[]	[7.807559, 8.028181]	[147, 155]	[]	[27067484, 27067492]
681_10056	chr1	30913591	30913991	+	1000	36.0	[7.702022]	[66]	[]	[]	[30913757]	[]
681_10058	chr1	32104609	32105009	+	1000	36.0	[]	[]	[7.578237]	[105]	[]	[32104766]
681_1006	chr19	1493221	1493621	+	1000	91.0	[12.716828, 11.8274975]	[141, 205]	[]	[]	[1493392, 1493456]	[]
681_10062	chr1	36966264	36966664	+	1000	36.0	[12.716828]	[162]	[6.9793944]	[106]	[36966507]	[36966451]
681_10063	chr1	39883050	39883450	+	1000	36.0	[10.510934]	[128]	[]	[]	[39883247]	[]
681_10066	chr1	47549513	47549913	+	860	36.0	[10.314935, 8.477994]	[94, 101]	[]	[]	[47549688, 47549695]	[]
681_10068	chr1	52094267	52094667	+	961	36.0	[]	[]	[6.9793944]	[150]	[]	[52094434]
681_1007	chr19	38196188	38196588	+	1000	91.0	[]	[]	[7.415039, 7.415039, 6.8528676, 6.8528676, 7.415039, 6.8528676]	[147, 187, 193, 213, 227, 233]	[]	[38196342, 38196382, 38196388, 38196408, 38196422, 38196428]
681_10070	chr1	53367281	53367681	+	1000	36.0	[]	[]	[8.565256]	[133]	[]	[53367485]
681_10072	chr1	91732454	91732854	+	989	36.0	[7.264312]	[108]	[]	[]	[91732630]	[]
681_10073	chr1	92785260	92785660	+	913	36.0	[8.288293]	[146]	[]	[]	[92785503]	[]
681_10075	chr1	100130556	100130956	+	982	36.0	[]	[]	[8.9075985, 8.076756]	[114, 121]	[]	[100130742, 100130749]
681_10076	chr1	101283484	101283884	+	1000	36.0	[10.046241]	[139]	[11.724585]	[119]	[101283716]	[101283696]
681_10077	chr1	109277411	109277811	+	992	36.0	[7.2750764]	[176]	[]	[]	[109277604]	[]
681_10079	chr1	114511208	114511608	+	1000	36.0	[7.8130794, 7.293319]	[224, 247]	[]	[]	[114511433, 114511456]	[]
