#PeakID(python identify_motif.py ./ENCODE_processed_files/IRF9_idr.fa IRF9 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
432_1	chrM	15951	16351	+	1000	922.0	[1.2238834, -0.73448247]	[141, 152]	[]	[]	[16160, 16171]	[]
432_10004	chr1	19557682	19558082	+	784	30.0	[]	[]	[6.237839, -0.36716846]	[97, 103]	[]	[19557874, 19557880]
432_10005	chr1	21027754	21028154	+	811	30.0	[2.108579]	[154]	[]	[]	[21027932]	[]
432_10009	chr1	24966615	24967015	+	772	30.0	[]	[]	[1.0249739]	[144]	[]	[24966854]
432_10022	chr1	44213223	44213623	+	784	30.0	[]	[]	[-1.7922385]	[76]	[]	[44213390]
432_10033	chr1	114088324	114088724	+	724	30.0	[-1.4712154]	[132]	[]	[]	[114088539]	[]
432_10043	chr1	148264901	148265301	+	755	30.0	[0.66334236, 3.2982228]	[173, 192]	[]	[]	[148265096, 148265115]	[]
432_10051	chr1	167764448	167764848	+	607	30.0	[]	[]	[1.559562]	[69]	[]	[167764599]
432_10068	chr1	223667533	223667933	+	804	30.0	[3.8650498]	[169]	[]	[]	[223667757]	[]
432_10071	chr1	226307020	226307420	+	819	30.0	[2.4868462, 0.3745205]	[132, 138]	[]	[]	[226307190, 226307196]	[]
432_10097	chr10	74026498	74026898	+	657	30.0	[-0.17479385]	[136]	[-1.7694219]	[112]	[74026721]	[74026697]
432_10106	chr11	47642904	47643304	+	799	30.0	[]	[]	[-1.8343383]	[90]	[]	[47643089]
432_10108	chr11	62271315	62271715	+	809	30.0	[-1.4293337]	[101]	[]	[]	[62271493]	[]
432_10111	chr11	67276699	67277099	+	785	30.0	[]	[]	[-1.621847]	[153]	[]	[67276941]
432_10112	chr11	68459763	68460163	+	736	30.0	[-0.74997354, 2.350189, 7.670927]	[134, 156, 157]	[]	[]	[68459940, 68459962, 68459963]	[]
432_10118	chr11	117095722	117096122	+	801	30.0	[]	[]	[1.8702788]	[77]	[]	[117095880]
432_10135	chr13	93319517	93319917	+	814	30.0	[-1.5527995]	[158]	[]	[]	[93319757]	[]
432_10142	chr14	22829462	22829862	+	790	30.0	[]	[]	[0.90433335]	[79]	[]	[22829617]
432_10147	chr15	45546802	45547202	+	759	30.0	[8.773761]	[80]	[]	[]	[45546959]	[]
432_10154	chr16	9076497	9076897	+	818	30.0	[-1.0634975, 3.360481]	[141, 164]	[]	[]	[9076684, 9076707]	[]
432_10156	chr16	15576557	15576957	+	755	30.0	[]	[]	[-0.0735524]	[165]	[]	[15576785]
432_1016	chr2	69799024	69799424	+	1000	73.0	[]	[]	[2.6635122, 7.0668607]	[59, 96]	[]	[69799181, 69799218]
432_10161	chr16	30876448	30876848	+	805	30.0	[4.998148, 0.03442806]	[129, 130]	[]	[]	[30876672, 30876673]	[]
432_10166	chr16	50253028	50253428	+	761	30.0	[]	[]	[-1.9075216]	[121]	[]	[50253240]
432_10167	chr16	57188356	57188756	+	757	30.0	[]	[]	[-0.91388, 9.74499]	[87, 93]	[]	[57188535, 57188541]
432_1017	chr2	237964470	237964870	+	1000	73.0	[-1.868193]	[139]	[]	[]	[237964689]	[]
432_10177	chr17	57069142	57069542	+	659	30.0	[]	[]	[-0.6779089, -0.6779089]	[70, 75]	[]	[57069296, 57069301]
432_10179	chr17	58285078	58285478	+	591	30.0	[]	[]	[-0.13573144]	[96]	[]	[58285266]
432_1018	chr22	23177129	23177529	+	1000	73.0	[]	[]	[1.0343745]	[162]	[]	[23177342]
432_10190	chr19	2954031	2954431	+	728	30.0	[-0.048248388]	[189]	[]	[]	[2954267]	[]
432_10194	chr19	35379483	35379883	+	565	30.0	[]	[]	[-1.2410228, 0.7804892]	[113, 119]	[]	[35379653, 35379659]
432_10196	chr19	39430912	39431312	+	821	30.0	[1.4053648]	[173]	[]	[]	[39431131]	[]
432_10200	chr19	48445354	48445754	+	650	30.0	[-0.5360044]	[139]	[]	[]	[48445593]	[]
432_10201	chr19	48979074	48979474	+	770	30.0	[]	[]	[-0.34395346]	[162]	[]	[48979313]
432_10204	chr19	49422585	49422985	+	711	30.0	[0.9226202]	[176]	[-1.6995095]	[134]	[49422828]	[49422786]
432_10218	chr2	69625089	69625489	+	663	30.0	[7.399721]	[179]	[]	[]	[69625317]	[]
432_10219	chr2	70033057	70033457	+	612	30.0	[-1.8251108]	[189]	[]	[]	[70033264]	[]
432_10239	chr20	51221901	51222301	+	810	30.0	[-0.6040539]	[124]	[]	[]	[51222117]	[]
432_10242	chr21	13973652	13974052	+	756	30.0	[-0.26577213]	[104]	[]	[]	[13973853]	[]
432_10245	chr21	42467096	42467496	+	767	30.0	[-1.6225903]	[86]	[]	[]	[42467274]	[]
432_10250	chr22	16555510	16555910	+	640	30.0	[1.9091355]	[139]	[]	[]	[16555730]	[]
432_10257	chr22	19542920	19543320	+	565	30.0	[]	[]	[-0.5485004, -0.19367513, 2.57435, -1.8343383, -0.19367513]	[72, 101, 111, 127, 133]	[]	[19543074, 19543103, 19543113, 19543129, 19543135]
432_10261	chr22	20408708	20409108	+	760	30.0	[]	[]	[-1.2350645]	[156]	[]	[20408941]
432_10264	chr22	20675055	20675455	+	792	30.0	[]	[]	[-1.8350941]	[117]	[]	[20675249]
432_10265	chr22	20848524	20848924	+	810	30.0	[-1.8956296]	[67]	[]	[]	[20848676]	[]
432_10268	chr22	21614248	21614648	+	742	30.0	[0.83629394]	[176]	[]	[]	[21614446]	[]
432_10277	chr22	22382728	22383128	+	763	30.0	[]	[]	[-1.613369]	[231]	[]	[22382973]
432_1028	chr1	124450668	124451068	+	1000	72.5	[]	[]	[3.668324, 0.52496225]	[109, 115]	[]	[124450874, 124450880]
432_10280	chr22	22482757	22483157	+	754	30.0	[3.7184699, -1.1186203, 6.590831, -1.2797333, 2.551792]	[118, 142, 157, 162, 163]	[]	[]	[22482934, 22482958, 22482973, 22482978, 22482979]	[]
432_10282	chr22	22570127	22570527	+	770	30.0	[3.7939286]	[122]	[]	[]	[22570304]	[]
432_10283	chr22	22599421	22599821	+	790	30.0	[]	[]	[-1.7513307]	[201]	[]	[22599669]
432_10284	chr22	22635458	22635858	+	826	30.0	[-1.2139075]	[83]	[]	[]	[22635626]	[]
432_10301	chr3	45050040	45050440	+	788	30.0	[-0.38204607]	[124]	[]	[]	[45050249]	[]
432_10306	chr3	119468495	119468895	+	735	30.0	[]	[]	[-1.4400512]	[148]	[]	[119468743]
432_10308	chr3	177339264	177339664	+	802	30.0	[]	[]	[2.57435, 4.1295204]	[84, 94]	[]	[177339444, 177339454]
432_10310	chr3	185537438	185537838	+	766	30.0	[]	[]	[2.0332592]	[100]	[]	[185537629]
432_10316	chr3	195712104	195712504	+	719	30.0	[]	[]	[-0.09984408, 1.8280424]	[148, 229]	[]	[195712268, 195712349]
432_10320	chr4	49109814	49110214	+	744	30.0	[]	[]	[0.45661774]	[126]	[]	[49110029]
432_1033	chr14	24027527	24027927	+	1000	72.5	[-1.4490825]	[135]	[]	[]	[24027729]	[]
432_10335	chr5	132114556	132114956	+	735	30.0	[-1.9193475]	[139]	[]	[]	[132114759]	[]
432_10349	chr6	28553313	28553713	+	793	30.0	[-0.83009213]	[116]	[]	[]	[28553518]	[]
432_10360	chr6	44265660	44266060	+	705	30.0	[]	[]	[-0.82746094]	[129]	[]	[44265875]
432_10363	chr6	111276323	111276723	+	753	30.0	[]	[]	[0.11769324]	[109]	[]	[111276528]
432_1037	chr18	49274368	49274768	+	1000	72.5	[]	[]	[3.1474953]	[87]	[]	[49274532]
432_10382	chr7	106977776	106978176	+	796	30.0	[-0.15265132]	[136]	[]	[]	[106977947]	[]
432_10384	chr7	107578869	107579269	+	706	30.0	[-1.6748906]	[135]	[]	[]	[107579070]	[]
432_10386	chr7	114048283	114048683	+	595	30.0	[0.71716946, 13.1636715]	[85, 91]	[]	[]	[114048434, 114048440]	[]
432_10388	chr7	131255165	131255565	+	579	30.0	[-1.9286517]	[156]	[]	[]	[131255409]	[]
432_10414	chr9	128677886	128678286	+	794	30.0	[]	[]	[1.0267438, 3.3398488, 23.350294]	[111, 117, 155]	[]	[128678050, 128678056, 128678094]
432_10423	chrUn_GL000224v1	30907	31307	+	734	30.0	[]	[]	[-1.480827]	[234]	[]	[31147]
432_10424	chrUn_GL000224v1	43542	43942	+	814	30.0	[]	[]	[0.798049]	[117]	[]	[43753]
432_10426	chrX	38869080	38869480	+	744	30.0	[]	[]	[3.2921555]	[78]	[]	[38869236]
432_10428	chr1	3796649	3797049	+	666	29.5	[]	[]	[-1.8264449]	[160]	[]	[3796814]
432_10434	chr1	16725389	16725789	+	762	29.5	[]	[]	[-1.8321974]	[92]	[]	[16725559]
432_10441	chr1	37515568	37515968	+	777	29.5	[]	[]	[7.7930264, 0.11687719]	[142, 208]	[]	[37515720, 37515786]
432_10457	chr1	150962013	150962413	+	775	29.5	[]	[]	[-0.6779089]	[59]	[]	[150962171]
432_10463	chr1	173603023	173603423	+	761	29.5	[]	[]	[-1.4418979]	[148]	[]	[173603205]
432_10488	chr10	13354449	13354849	+	667	29.5	[]	[]	[-0.048248388]	[64]	[]	[13354607]
432_10490	chr10	27199836	27200236	+	725	29.5	[-0.56782657]	[86]	[]	[]	[27199996]	[]
432_10491	chr10	28497354	28497754	+	638	29.5	[4.1295204]	[126]	[]	[]	[28497530]	[]
432_10495	chr10	49231413	49231813	+	730	29.5	[7.601304, 14.153044]	[191, 197]	[]	[]	[49231651, 49231657]	[]
432_10500	chr10	95303494	95303894	+	699	29.5	[]	[]	[-0.61162984]	[66]	[]	[95303652]
432_10509	chr11	57911439	57911839	+	627	29.5	[]	[]	[1.0761943]	[141]	[]	[57911660]
432_10518	chr12	48176105	48176505	+	682	29.5	[]	[]	[-0.7580372]	[156]	[]	[48176320]
432_10523	chr12	91679355	91679755	+	770	29.5	[]	[]	[-0.26685846]	[149]	[]	[91679532]
432_10525	chr12	93043842	93044242	+	731	29.5	[-1.9620923]	[145]	[]	[]	[93044060]	[]
432_10526	chr12	96377512	96377912	+	707	29.5	[]	[]	[-1.3460748, 0.40556645]	[135, 141]	[]	[96377683, 96377689]
432_10527	chr12	110186136	110186536	+	687	29.5	[]	[]	[0.2611586, -0.6705142]	[141, 147]	[]	[110186357, 110186363]
432_10529	chr12	130464049	130464449	+	769	29.5	[]	[]	[0.9475036]	[111]	[]	[130464212]
432_10530	chr13	35745823	35746223	+	767	29.5	[]	[]	[-0.048248388, 3.8338933]	[71, 151]	[]	[35745989, 35746069]
432_10531	chr13	80691756	80692156	+	783	29.5	[5.9249306]	[186]	[]	[]	[80691958]	[]
432_10545	chr15	55592501	55592901	+	744	29.5	[2.3521957]	[163]	[]	[]	[55592743]	[]
432_1055	chr2	12083745	12084145	+	1000	72.0	[]	[]	[-1.8764694]	[116]	[]	[12083957]
432_10554	chr16	11428544	11428944	+	765	29.5	[]	[]	[-0.048248388]	[117]	[]	[11428737]
432_10560	chr16	69865723	69866123	+	680	29.5	[]	[]	[0.1170442]	[208]	[]	[69865968]
432_10568	chr17	15184806	15185206	+	768	29.5	[-1.5977956]	[125]	[]	[]	[15185015]	[]
432_10569	chr17	26299293	26299693	+	595	29.5	[-1.6737951]	[75]	[]	[]	[26299462]	[]
432_10585	chr18	3027939	3028339	+	752	29.5	[]	[]	[8.88954]	[114]	[]	[3028091]
432_10589	chr18	31810265	31810665	+	742	29.5	[-0.6779089, -0.79205954]	[64, 89]	[]	[]	[31810418, 31810443]	[]
432_10596	chr19	8582232	8582632	+	790	29.5	[-0.63737637, 0.8772613, 1.7546289]	[144, 167, 173]	[]	[]	[8582444, 8582467, 8582473]	[]
432_10611	chr19	56370276	56370676	+	727	29.5	[-1.1847333, -1.7958962]	[103, 110]	[-1.0268556]	[66]	[56370468, 56370475]	[56370431]
432_10613	chr2	26069663	26070063	+	774	29.5	[]	[]	[-1.072739, 2.7900152]	[200, 206]	[]	[26069891, 26069897]
432_10614	chr2	27007892	27008292	+	773	29.5	[]	[]	[-1.315183]	[109]	[]	[27008077]
432_10625	chr2	101306715	101307115	+	745	29.5	[-0.9363804, 5.5341945, 1.13357, 2.2812648, 7.7431974, -1.9454361]	[104, 166, 172, 178, 179, 184]	[]	[]	[101306866, 101306928, 101306934, 101306940, 101306941, 101306946]	[]
432_10631	chr2	170143827	170144227	+	635	29.5	[]	[]	[1.9328642]	[82]	[]	[170144000]
432_10635	chr2	181393623	181394023	+	793	29.5	[13.1636715, 0.31184682]	[142, 211]	[]	[]	[181393779, 181393848]	[]
432_10641	chr20	35192352	35192752	+	746	29.5	[]	[]	[-1.542417]	[101]	[]	[35192551]
432_10642	chr20	41232457	41232857	+	762	29.5	[]	[]	[1.3765658]	[81]	[]	[41232617]
432_1066	chr1	201626856	201627256	+	1000	71.5	[4.355857]	[123]	[]	[]	[201627060]	[]
432_10662	chr22	19606400	19606800	+	779	29.5	[2.5278146]	[83]	[]	[]	[19606556]	[]
432_10672	chr22	20937655	20938055	+	573	29.5	[-0.11042699]	[143]	[]	[]	[20937889]	[]
432_10678	chr22	22125716	22126116	+	750	29.5	[-1.068683]	[75]	[]	[]	[22125876]	[]
432_10685	chr22	22544160	22544560	+	607	29.5	[]	[]	[8.269311]	[99]	[]	[22544355]
432_10687	chr22	22620317	22620717	+	756	29.5	[]	[]	[0.015421486]	[153]	[]	[22620506]
432_10698	chr3	34036679	34037079	+	631	29.5	[4.789967, -1.6503714, -1.9502338]	[135, 161, 173]	[]	[]	[34036878, 34036904, 34036916]	[]
432_107	chr1_KI270709v1_random	5375	5775	+	1000	205.5	[]	[]	[-0.7122958, 0.29135433]	[61, 87]	[]	[5533, 5559]
432_10701	chr3	129160976	129161376	+	692	29.5	[4.6779957, -0.29580772]	[128, 174]	[]	[]	[129161169, 129161215]	[]
432_10702	chr3	141603488	141603888	+	793	29.5	[6.049244]	[124]	[]	[]	[141603706]	[]
432_10704	chr3	166832678	166833078	+	746	29.5	[]	[]	[-0.009185978]	[157]	[]	[166832911]
432_10714	chr4	139167754	139168154	+	769	29.5	[1.0536993]	[94]	[]	[]	[139167940]	[]
432_10720	chr5	10734835	10735235	+	540	29.5	[]	[]	[3.2952418]	[83]	[]	[10735009]
432_10723	chr5	39199805	39200205	+	683	29.5	[]	[]	[4.5677347]	[78]	[]	[39199976]
432_10724	chr5	39716483	39716883	+	706	29.5	[1.2904623]	[70]	[]	[]	[39716647]	[]
432_10728	chr5	79800917	79801317	+	778	29.5	[]	[]	[8.061817]	[169]	[]	[79801132]
432_10754	chr6	119171111	119171511	+	672	29.5	[-1.2771505, -1.4592974]	[88, 125]	[]	[]	[119171282, 119171319]	[]
432_10758	chr6	146894854	146895254	+	637	29.5	[]	[]	[-1.4531385]	[138]	[]	[146895039]
432_1076	chr4	139208510	139208910	+	1000	71.5	[1.8254274]	[128]	[-0.71887624, 2.7332826]	[64, 70]	[139208732]	[139208668, 139208674]
432_10774	chr7	99471425	99471825	+	561	29.5	[-1.9374734]	[93]	[]	[]	[99471596]	[]
432_10776	chr7	105522352	105522752	+	780	29.5	[-0.10010108]	[153]	[]	[]	[105522582]	[]
432_10781	chr7	107014485	107014885	+	642	29.5	[-0.1740999]	[84]	[]	[]	[107014662]	[]
432_10782	chr7	107076181	107076581	+	681	29.5	[]	[]	[-1.2807077]	[117]	[]	[107076396]
432_10785	chr7	121050332	121050732	+	763	29.5	[]	[]	[9.286218]	[75]	[]	[121050488]
