#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2C1_idr.fa NR2C1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
768_100	chr13	45464669	45465069	+	1000	1153.0	[10.338945]	[149]	[]	[]	[45464905]	[]
768_1000	chr1	109895787	109896187	+	1000	316.0	[10.338945, 10.338945]	[107, 147]	[]	[]	[109895983, 109896023]	[]
768_10008	chr11	62840063	62840463	+	992	52.0	[10.371254]	[106]	[]	[]	[62840263]	[]
768_10010	chr11	69155275	69155675	+	905	52.0	[]	[]	[10.338945]	[109]	[]	[69155466]
768_10015	chr13	27125708	27126108	+	958	52.0	[]	[]	[10.371254]	[101]	[]	[27125873]
768_10018	chr15	41334476	41334876	+	993	52.0	[]	[]	[10.338945]	[85]	[]	[41334658]
768_10022	chr15	81086899	81087299	+	884	52.0	[]	[]	[10.338945, 10.371254]	[118, 125]	[]	[81087051, 81087058]
768_10030	chr16	70164940	70165340	+	759	52.0	[]	[]	[10.371254]	[156]	[]	[70165117]
768_10031	chr16	85385917	85386317	+	571	52.0	[10.371254, 10.338945]	[77, 91]	[]	[]	[85386088, 85386102]	[]
768_10033	chr17	18163467	18163867	+	787	52.0	[10.371254]	[169]	[]	[]	[18163694]	[]
768_1005	chr22	39999244	39999644	+	1000	315.0	[]	[]	[10.338945, 10.338945, 10.338945]	[102, 109, 147]	[]	[39999429, 39999436, 39999474]
768_10058	chr19	35166600	35167000	+	941	52.0	[10.371254]	[80]	[]	[]	[35166761]	[]
768_10065	chr2	96929154	96929554	+	964	52.0	[]	[]	[10.338945]	[191]	[]	[96929401]
768_10069	chr20	38143654	38144054	+	953	52.0	[]	[]	[7.9514318]	[94]	[]	[38143838]
768_10070	chr22	19567143	19567543	+	967	52.0	[10.338945]	[210]	[]	[]	[19567384]	[]
768_10074	chr22	20955862	20956262	+	982	52.0	[]	[]	[10.371254]	[109]	[]	[20956028]
768_10077	chr22	42531658	42532058	+	965	52.0	[]	[]	[7.9514318]	[150]	[]	[42531871]
768_10084	chr3	194332799	194333199	+	786	52.0	[]	[]	[10.371254]	[243]	[]	[194333027]
768_10091	chr5	36241884	36242284	+	908	52.0	[]	[]	[7.9514318]	[173]	[]	[36242128]
768_10092	chr5	39102729	39103129	+	632	52.0	[]	[]	[10.371254]	[117]	[]	[39102903]
768_10097	chr6	5892047	5892447	+	949	52.0	[]	[]	[10.338945, 10.371254]	[63, 134]	[]	[5892201, 5892272]
768_10098	chr6	10806007	10806407	+	932	52.0	[10.338945]	[213]	[]	[]	[10806244]	[]
768_10101	chr6	27618083	27618483	+	889	52.0	[7.9191227]	[202]	[]	[]	[27618303]	[]
768_1011	chr8	141340240	141340640	+	1000	313.0	[10.371254]	[137]	[]	[]	[141340447]	[]
768_10110	chr7	26148568	26148968	+	754	52.0	[]	[]	[10.371254]	[201]	[]	[26148750]
768_10120	chr7	150404222	150404622	+	914	52.0	[10.338945]	[94]	[]	[]	[150404390]	[]
768_10122	chr8	54022034	54022434	+	985	52.0	[]	[]	[7.9191227]	[177]	[]	[54022205]
768_10128	chr9	130907503	130907903	+	979	52.0	[10.371254]	[81]	[]	[]	[130907683]	[]
768_10140	chr1	32345477	32345877	+	966	51.5	[10.371254]	[154]	[]	[]	[32345697]	[]
768_10144	chr1	67409253	67409653	+	968	51.5	[10.371254]	[92]	[10.338945]	[113]	[67409434]	[67409455]
768_10159	chr10	46020360	46020760	+	962	51.5	[]	[]	[10.371254]	[160]	[]	[46020530]
