#PeakID(python identify_motif.py ./ENCODE_processed_files/ETV1_idr.fa ETV1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
5_1000	chr2	86562908	86563308	+	1000	171.0	[]	[]	[7.221666, 7.239314]	[129, 191]	[]	[86563088, 86563150]
5_10000	chrX	55160805	55161205	+	1000	49.0	[7.064883]	[105]	[]	[]	[55161006]	[]
5_10008	chr1	111507530	111507930	+	1000	48.5	[]	[]	[11.977064]	[148]	[]	[111507744]
5_10009	chr1	111733308	111733708	+	1000	48.5	[13.675058, 7.239314]	[91, 125]	[]	[]	[111733482, 111733516]	[]
5_1001	chr22	21755785	21756185	+	1000	171.0	[]	[]	[12.576745]	[119]	[]	[21756004]
5_10011	chr1	159889917	159890317	+	1000	48.5	[11.66261]	[152]	[]	[]	[159890116]	[]
5_10014	chr1	200226209	200226609	+	1000	48.5	[]	[]	[10.994075]	[126]	[]	[200226410]
5_10016	chr1	241998393	241998793	+	1000	48.5	[9.001667]	[104]	[]	[]	[241998557]	[]
5_10017	chr10	13586705	13587105	+	1000	48.5	[7.7016377]	[146]	[]	[]	[13586946]	[]
5_1002	chr6	21987402	21987802	+	1000	171.0	[9.895375]	[121]	[]	[]	[21987617]	[]
5_10021	chr10	49177370	49177770	+	1000	48.5	[13.236065, 6.8003206]	[90, 145]	[]	[]	[49177560, 49177615]	[]
5_10024	chr10	69392350	69392750	+	1000	48.5	[]	[]	[7.419105, 9.2843075, 6.7531486]	[105, 142, 153]	[]	[69392537, 69392574, 69392585]
5_10026	chr10	73808968	73809368	+	1000	48.5	[6.673493, 9.943626]	[72, 91]	[]	[]	[73809126, 73809145]	[]
5_10027	chr10	74439183	74439583	+	1000	48.5	[13.187814, 7.419105, 7.182085]	[75, 95, 111]	[12.755134]	[138]	[74439356, 74439376, 74439392]	[74439419]
5_10029	chr10	95297384	95297784	+	1000	48.5	[]	[]	[9.198133]	[81]	[]	[95297550]
5_10031	chr11	448186	448586	+	1000	48.5	[10.896127]	[143]	[]	[]	[448379]	[]
5_10042	chr11	118565850	118566250	+	856	48.5	[10.796314]	[76]	[]	[]	[118566012]	[]
5_10051	chr12	120437856	120438256	+	1000	48.5	[]	[]	[11.66261, 8.684627, 7.7016377]	[95, 139, 145]	[]	[120438046, 120438090, 120438096]
5_10057	chr14	30558984	30559384	+	1000	48.5	[8.684627]	[82]	[]	[]	[30559145]	[]
5_10059	chr14	103519124	103519524	+	1000	48.5	[7.4370747, 7.4263763]	[90, 175]	[]	[]	[103519284, 103519369]	[]
5_10070	chr16	90081964	90082364	+	1000	48.5	[]	[]	[7.4370747]	[142]	[]	[90082186]
5_10074	chr17	45395042	45395442	+	1000	48.5	[10.239002, 7.4235005]	[83, 93]	[]	[]	[45395222, 45395232]	[]
5_1008	chr1	1724213	1724613	+	1000	170.0	[]	[]	[15.534065]	[122]	[]	[1724412]
5_10087	chr19	44367023	44367423	+	1000	48.5	[8.684627]	[111]	[13.187814, 8.123753]	[76, 136]	[44367222]	[44367187, 44367247]
5_1009	chr10	102599695	102600095	+	1000	170.0	[]	[]	[6.846283, 6.846283, 10.278745]	[118, 122, 126]	[]	[102599903, 102599907, 102599911]
5_10090	chr2	27756805	27757205	+	1000	48.5	[6.8087263]	[68]	[]	[]	[27756962]	[]
5_10097	chr20	37384627	37385027	+	1000	48.5	[7.2637205]	[126]	[]	[]	[37384838]	[]
5_1010	chr12	56118026	56118426	+	1000	170.0	[10.994075]	[127]	[]	[]	[56118229]	[]
5_10101	chr20	51984882	51985282	+	1000	48.5	[12.755134]	[153]	[9.44066]	[109]	[51985116]	[51985072]
5_10108	chr3	4495224	4495624	+	1000	48.5	[]	[]	[10.074151]	[126]	[]	[4495430]
5_10111	chr3	20890020	20890420	+	1000	48.5	[12.853083]	[85]	[]	[]	[20890182]	[]
5_10112	chr3	28241417	28241817	+	1000	48.5	[6.8256197, 6.9248595]	[105, 124]	[]	[]	[28241607, 28241626]	[]
5_10114	chr3	48635243	48635643	+	990	48.5	[6.938056]	[130]	[]	[]	[48635452]	[]
5_10116	chr3	52694576	52694976	+	1000	48.5	[]	[]	[13.187814]	[148]	[]	[52694806]
5_10121	chr3	141487753	141488153	+	1000	48.5	[10.383697]	[77]	[12.853083, 6.846283]	[90, 150]	[141487928]	[141487941, 141488001]
5_10125	chr3	193794192	193794592	+	1000	48.5	[7.142768, 10.30907]	[162, 231]	[8.685703]	[201]	[193794371, 193794440]	[193794410]
5_10129	chr4	23001462	23001862	+	1000	48.5	[6.94983]	[129]	[]	[]	[23001686]	[]
5_10134	chr4	120066249	120066649	+	1000	48.5	[8.783867, 7.016632]	[145, 159]	[]	[]	[120066452, 120066466]	[]
5_10137	chr5	65624783	65625183	+	1000	48.5	[]	[]	[6.986307]	[140]	[]	[65624998]
5_1014	chr4	189940531	189940931	+	1000	170.0	[]	[]	[6.986307]	[108]	[]	[189940715]
5_10140	chr5	132386540	132386940	+	1000	48.5	[]	[]	[7.214393]	[66]	[]	[132386699]
5_10144	chr6	32393571	32393971	+	1000	48.5	[]	[]	[9.797814]	[199]	[]	[32393820]
5_10150	chr7	44019009	44019409	+	1000	48.5	[]	[]	[7.016632]	[98]	[]	[44019184]
5_10151	chr7	55366015	55366415	+	1000	48.5	[7.4235005]	[129]	[]	[]	[55366222]	[]
5_10155	chr7	113118510	113118910	+	1000	48.5	[]	[]	[11.66261]	[114]	[]	[113118701]
5_10160	chr7	150632199	150632599	+	1000	48.5	[15.534065]	[97]	[10.230494]	[121]	[150632377]	[150632401]
5_10161	chr7	159030464	159030864	+	1000	48.5	[10.717738]	[87]	[]	[]	[159030639]	[]
5_10165	chr8	29263172	29263572	+	1000	48.5	[]	[]	[10.796314]	[157]	[]	[29263418]
5_10167	chr8	55773180	55773580	+	1000	48.5	[]	[]	[7.4235005]	[207]	[]	[55773423]
5_10176	chr9	136206763	136207163	+	1000	48.5	[7.205231]	[107]	[]	[]	[136206952]	[]
5_10183	chr1	6603817	6604217	+	1000	48.0	[6.673493]	[183]	[]	[]	[6604034]	[]
5_10184	chr1	23980437	23980837	+	1000	48.0	[10.506831]	[118]	[]	[]	[23980625]	[]
5_10189	chr1	35269676	35270076	+	1000	48.0	[]	[]	[10.118057]	[162]	[]	[35269902]
5_1019	chr12	55715885	55716285	+	1000	169.5	[]	[]	[7.214393]	[105]	[]	[55716083]
5_10190	chr1	44799635	44800035	+	1000	48.0	[]	[]	[6.846283]	[92]	[]	[44799827]
5_10194	chr1	109298683	109299083	+	1000	48.0	[]	[]	[7.205231]	[77]	[]	[109298860]
5_10199	chr1	183993084	183993484	+	1000	48.0	[11.977064]	[123]	[]	[]	[183993297]	[]
5_102	chr7	13923069	13923469	+	1000	482.0	[7.419105]	[167]	[]	[]	[13923298]	[]
5_1020	chr21	46286124	46286524	+	1000	169.5	[]	[]	[12.241628, 9.560645]	[54, 137]	[]	[46286277, 46286360]
5_10205	chr10	43348400	43348800	+	1000	48.0	[]	[]	[15.534065]	[66]	[]	[43348562]
5_10207	chr10	71638711	71639111	+	1000	48.0	[]	[]	[7.785974]	[86]	[]	[71638866]
