#PeakID(python identify_motif.py ./ENCODE_processed_files/TCF12_idr.fa TCF12 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
368_100	chr5	154834877	154835277	+	1000	740.5	[8.001244]	[81]	[]	[]	[154835052]	[]
368_10006	chr7	148914217	148914617	+	1000	79.5	[12.567606]	[108]	[]	[]	[148914412]	[]
368_10014	chr1	91731309	91731709	+	1000	79.0	[8.001244, 8.891774]	[109, 158]	[8.891774]	[157]	[91731510, 91731559]	[91731558]
368_10030	chr12	89593243	89593643	+	566	79.0	[]	[]	[7.7957826]	[83]	[]	[89593425]
368_10032	chr14	21269440	21269840	+	1000	79.0	[8.090539]	[89]	[]	[]	[21269600]	[]
368_10039	chr16	57064991	57065391	+	1000	79.0	[]	[]	[8.069409]	[138]	[]	[57065215]
368_10040	chr16	87806751	87807151	+	1000	79.0	[7.7957826]	[166]	[8.891774]	[199]	[87806962]	[87806995]
368_10048	chr20	38870707	38871107	+	1000	79.0	[]	[]	[8.891774]	[96]	[]	[38870877]
368_10058	chr6	42404493	42404893	+	952	79.0	[8.069409]	[93]	[]	[]	[42404678]	[]
368_1006	chr11	61800546	61800946	+	1000	461.0	[8.320784]	[212]	[]	[]	[61800774]	[]
368_10071	chr9	136587102	136587502	+	961	79.0	[8.891774]	[117]	[8.069409, 8.891774]	[101, 116]	[136587311]	[136587295, 136587310]
368_10073	chr1	37931683	37932083	+	1000	78.5	[8.02331]	[220]	[]	[]	[37931906]	[]
368_10077	chr1	153545458	153545858	+	1000	78.5	[7.7957826]	[133]	[]	[]	[153545677]	[]
368_10078	chr1	154157699	154158099	+	1000	78.5	[]	[]	[8.527855]	[152]	[]	[154157905]
368_10082	chr11	27414618	27415018	+	1000	78.5	[8.001244]	[106]	[]	[]	[27414818]	[]
368_1010	chr3	173007138	173007538	+	1000	460.5	[]	[]	[8.779576, 8.891774]	[105, 134]	[]	[173007337, 173007366]
368_10106	chr3	45084821	45085221	+	583	78.5	[8.320784]	[151]	[]	[]	[45085047]	[]
368_1012	chr12	6765241	6765641	+	1000	459.5	[]	[]	[8.320784]	[79]	[]	[6765419]
368_10127	chr1	154348504	154348904	+	1000	78.0	[]	[]	[8.891774, 8.320784]	[91, 127]	[]	[154348682, 154348718]
368_10136	chr12	54352045	54352445	+	1000	78.0	[8.182954, 8.069409]	[145, 154]	[]	[]	[54352208, 54352217]	[]
368_10159	chr3	123636470	123636870	+	1000	78.0	[8.891774]	[150]	[]	[]	[123636693]	[]
