#PeakID(python identify_motif.py ./ENCODE_processed_files/E2F3_idr.fa E2F3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
227_100	chr6	27139027	27139427	+	1000	228.5	[]	[]	[8.259437]	[81]	[]	[27139206]
227_1000	chr9	94166371	94166771	+	1000	83.0	[6.5268717]	[143]	[7.071043]	[179]	[94166574]	[94166610]
227_10000	chr16	66880225	66880625	+	1000	38.0	[]	[]	[8.259437]	[104]	[]	[66880405]
227_10001	chr16	66900089	66900489	+	1000	38.0	[6.425717]	[110]	[6.425717]	[108]	[66900296]	[66900294]
227_10002	chr16	67245937	67246337	+	1000	38.0	[7.6141095]	[200]	[8.259437]	[167]	[67246151]	[67246118]
227_10003	chr16	67563035	67563435	+	1000	38.0	[]	[]	[7.071043]	[83]	[]	[67563190]
227_10004	chr16	69754535	69754935	+	1000	38.0	[7.6141095]	[146]	[]	[]	[69754777]	[]
227_10005	chr16	71895075	71895475	+	712	38.0	[]	[]	[6.425717]	[192]	[]	[71895317]
227_1001	chr9	128192793	128193193	+	1000	83.0	[]	[]	[7.6141095]	[170]	[]	[128193022]
227_10012	chr17	7242998	7243398	+	1000	38.0	[6.425717]	[98]	[]	[]	[7243176]	[]
227_10013	chr17	17236968	17237368	+	1000	38.0	[]	[]	[8.259437]	[175]	[]	[17237154]
227_10017	chr17	41930311	41930711	+	1000	38.0	[7.071043]	[151]	[6.425717]	[161]	[41930535]	[41930545]
227_10018	chr17	45317395	45317795	+	1000	38.0	[8.259437]	[163]	[]	[]	[45317570]	[]
227_10020	chr17	48107348	48107748	+	1000	38.0	[6.5268717]	[134]	[]	[]	[48107521]	[]
227_10028	chr18	22169481	22169881	+	1000	38.0	[7.6141095]	[177]	[7.6141095]	[175]	[22169702]	[22169700]
227_1003	chr11	576170	576570	+	1000	82.5	[]	[]	[8.259437]	[164]	[]	[576406]
227_10030	chr18	75209567	75209967	+	1000	38.0	[]	[]	[7.071043, 8.259437]	[51, 101]	[]	[75209718, 75209768]
227_10032	chr19	5340887	5341287	+	1000	38.0	[8.259437, 8.259437, 8.259437]	[59, 111, 141]	[]	[]	[5341041, 5341093, 5341123]	[]
227_10033	chr19	12881220	12881620	+	1000	38.0	[]	[]	[6.425717]	[209]	[]	[12881456]
227_10034	chr19	13794824	13795224	+	1000	38.0	[]	[]	[8.259437]	[96]	[]	[13794994]
227_10035	chr19	18919243	18919643	+	1000	38.0	[6.5268717]	[202]	[]	[]	[18919491]	[]
227_10036	chr19	19203114	19203514	+	1000	38.0	[]	[]	[8.259437]	[154]	[]	[19203326]
227_10039	chr19	35153730	35154130	+	1000	38.0	[8.259437]	[181]	[]	[]	[35153957]	[]
227_1004	chr14	55026879	55027279	+	1000	82.5	[]	[]	[8.259437]	[98]	[]	[55027072]
227_10047	chr19	51904834	51905234	+	1000	38.0	[7.6141095]	[96]	[7.071043]	[110]	[51905003]	[51905017]
227_1005	chr16	89972628	89973028	+	1000	82.5	[8.259437]	[221]	[]	[]	[89972858]	[]
227_10051	chr2	26503380	26503780	+	1000	38.0	[8.259437]	[89]	[]	[]	[26503546]	[]
227_10052	chr2	28356140	28356540	+	1000	38.0	[]	[]	[7.071043]	[129]	[]	[28356331]
227_10053	chr2	30447480	30447880	+	1000	38.0	[7.6141095]	[91]	[]	[]	[30447650]	[]
227_10054	chr2	39120144	39120544	+	1000	38.0	[]	[]	[8.259437]	[140]	[]	[39120319]
227_10055	chr2	55112474	55112874	+	1000	38.0	[]	[]	[7.071043]	[111]	[]	[55112658]
227_10058	chr2	71130444	71130844	+	938	38.0	[]	[]	[7.071043, 6.425717]	[115, 183]	[]	[71130599, 71130667]
227_10060	chr2	95402522	95402922	+	1000	38.0	[]	[]	[7.6141095]	[165]	[]	[95402700]
227_10061	chr2	96266172	96266572	+	1000	38.0	[]	[]	[8.259437]	[174]	[]	[96266399]
227_10067	chr2	207769968	207770368	+	1000	38.0	[8.259437]	[99]	[7.071043]	[80]	[207770166]	[207770147]
227_10068	chr2	219229224	219229624	+	1000	38.0	[6.425717]	[71]	[]	[]	[219229378]	[]
227_10069	chr2	241149982	241150382	+	1000	38.0	[]	[]	[8.259437]	[164]	[]	[241150226]
227_1007	chr19	17555680	17556080	+	1000	82.5	[7.6141095]	[122]	[7.6141095, 6.425717]	[111, 120]	[17555891]	[17555880, 17555889]
227_10071	chr20	32474976	32475376	+	704	38.0	[7.071043]	[53]	[6.425717]	[125]	[32475127]	[32475199]
227_10077	chr21	8759061	8759461	+	1000	38.0	[8.259437]	[104]	[]	[]	[8759236]	[]
227_10078	chr21	42496500	42496900	+	1000	38.0	[8.259437]	[157]	[]	[]	[42496691]	[]
227_10099	chr22	20388960	20389360	+	1000	38.0	[]	[]	[7.071043]	[149]	[]	[20389198]
227_1011	chr1	3900586	3900986	+	1000	82.0	[6.425717]	[162]	[6.425717]	[160]	[3900831]	[3900829]
227_10116	chr22	22584878	22585278	+	1000	38.0	[6.5268717]	[167]	[]	[]	[22585125]	[]
227_1012	chr1	26431946	26432346	+	1000	82.0	[8.259437]	[152]	[8.259437]	[95]	[26432195]	[26432138]
227_10122	chr22	37658509	37658909	+	1000	38.0	[6.425717, 8.259437]	[112, 178]	[]	[]	[37658690, 37658756]	[]
227_10126	chr3	9952041	9952441	+	1000	38.0	[]	[]	[8.259437, 8.259437]	[84, 174]	[]	[9952196, 9952286]
227_10127	chr3	13895127	13895527	+	1000	38.0	[]	[]	[8.259437]	[182]	[]	[13895333]
227_1013	chr1	27234182	27234582	+	1000	82.0	[]	[]	[8.259437, 8.259437]	[112, 136]	[]	[27234389, 27234413]
227_10131	chr3	49029205	49029605	+	1000	38.0	[6.425717, 7.6141095]	[140, 178]	[]	[]	[49029417, 49029455]	[]
227_10132	chr3	52154311	52154711	+	1000	38.0	[6.425717]	[242]	[]	[]	[52154556]	[]
227_1014	chr1	31705112	31705512	+	1000	82.0	[6.5268717]	[144]	[8.259437]	[113]	[31705338]	[31705307]
227_10144	chr4	57164011	57164411	+	1000	38.0	[8.259437]	[114]	[]	[]	[57164223]	[]
227_10145	chr4	83536119	83536519	+	1000	38.0	[]	[]	[7.6141095, 7.6141095]	[105, 164]	[]	[83536284, 83536343]
227_10147	chr5	10762304	10762704	+	1000	38.0	[]	[]	[8.259437, 6.5268717]	[120, 156]	[]	[10762456, 10762492]
227_10149	chr5	87267431	87267831	+	1000	38.0	[]	[]	[8.259437]	[143]	[]	[87267591]
227_1015	chr1	36088627	36089027	+	1000	82.0	[7.071043]	[180]	[]	[]	[36088871]	[]
227_10150	chr5	127517576	127517976	+	1000	38.0	[6.425717]	[128]	[]	[]	[127517781]	[]
227_10152	chr5	141681533	141681933	+	1000	38.0	[]	[]	[6.5268717]	[149]	[]	[141681715]
227_10159	chr6	4647489	4647889	+	1000	38.0	[8.259437]	[168]	[]	[]	[4647687]	[]
227_10170	chr6	47309650	47310050	+	1000	38.0	[7.6141095]	[106]	[]	[]	[47309813]	[]
227_10172	chr6	73521464	73521864	+	850	38.0	[]	[]	[6.5268717]	[102]	[]	[73521631]
227_1018	chr11	65083818	65084218	+	1000	82.0	[6.425717]	[129]	[]	[]	[65084026]	[]
227_10181	chr7	36153017	36153417	+	1000	38.0	[7.6141095]	[176]	[7.071043]	[138]	[36153225]	[36153187]
227_10186	chr7	101173309	101173709	+	1000	38.0	[7.6141095]	[118]	[]	[]	[101173514]	[]
227_10187	chr7	102286240	102286640	+	1000	38.0	[]	[]	[8.259437]	[70]	[]	[102286400]
227_10188	chr7	103989836	103990236	+	1000	38.0	[7.071043]	[146]	[6.425717]	[163]	[103990061]	[103990078]
227_1019	chr12	56300513	56300913	+	1000	82.0	[]	[]	[6.425717]	[168]	[]	[56300754]
227_1020	chr13	112587972	112588372	+	1000	82.0	[6.425717]	[103]	[]	[]	[112588123]	[]
227_10203	chr8	80486344	80486744	+	1000	38.0	[8.259437]	[120]	[]	[]	[80486535]	[]
227_10208	chr9	95511351	95511751	+	1000	38.0	[6.5268717, 6.5268717]	[115, 180]	[]	[]	[95511529, 95511594]	[]
227_1021	chr14	22956953	22957353	+	1000	82.0	[8.259437]	[117]	[]	[]	[22957165]	[]
227_10210	chr9	97013439	97013839	+	1000	38.0	[]	[]	[8.259437, 8.259437]	[123, 141]	[]	[97013658, 97013676]
227_10215	chr9	129178018	129178418	+	1000	38.0	[6.425717, 6.425717]	[137, 168]	[7.6141095]	[152]	[129178214, 129178245]	[129178229]
227_10217	chr9	133120808	133121208	+	1000	38.0	[7.071043]	[104]	[]	[]	[133120980]	[]
227_1022	chr15	35545983	35546383	+	1000	82.0	[8.259437]	[124]	[7.6141095]	[139]	[35546177]	[35546192]
227_10222	chrX	12791330	12791730	+	1000	38.0	[7.071043]	[167]	[6.5268717]	[131]	[12791520]	[12791484]
227_10227	chrX	101348659	101349059	+	1000	38.0	[]	[]	[6.425717]	[69]	[]	[101348826]
227_10230	chr1	923599	923999	+	1000	37.5	[]	[]	[8.259437, 7.071043]	[137, 143]	[]	[923810, 923816]
227_10231	chr1	3796142	3796542	+	1000	37.5	[7.071043, 7.071043]	[105, 126]	[8.259437]	[72]	[3796326, 3796347]	[3796293]
227_10232	chr1	6612730	6613130	+	924	37.5	[7.071043]	[137]	[]	[]	[6612966]	[]
227_10236	chr1	16078895	16079295	+	1000	37.5	[]	[]	[8.259437]	[164]	[]	[16079102]
227_1024	chr20	33732147	33732547	+	1000	82.0	[6.425717, 8.259437, 8.259437]	[112, 140, 168]	[]	[]	[33732298, 33732326, 33732354]	[]
227_10240	chr1	27604021	27604421	+	1000	37.5	[7.071043]	[140]	[]	[]	[27604202]	[]
227_10242	chr1	36553758	36554158	+	1000	37.5	[6.425717]	[78]	[8.259437]	[112]	[36553929]	[36553963]
227_10244	chr1	42456656	42457056	+	1000	37.5	[]	[]	[7.6141095]	[74]	[]	[42456817]
227_1025	chr22	19431068	19431468	+	1000	82.0	[]	[]	[8.259437]	[233]	[]	[19431302]
227_10250	chr1	99645849	99646249	+	1000	37.5	[]	[]	[7.071043]	[101]	[]	[99646041]
227_10255	chr1	148151990	148152390	+	1000	37.5	[8.259437]	[206]	[]	[]	[148152230]	[]
227_10256	chr1	149927561	149927961	+	1000	37.5	[]	[]	[6.5268717, 8.259437, 6.5268717]	[140, 180, 202]	[]	[149927731, 149927771, 149927793]
227_10260	chr1	161159210	161159610	+	1000	37.5	[6.425717]	[173]	[]	[]	[161159427]	[]
227_10263	chr1	187072348	187072748	+	774	37.5	[]	[]	[8.259437]	[87]	[]	[187072500]
227_10264	chr1	201153891	201154291	+	1000	37.5	[]	[]	[8.259437]	[149]	[]	[201154115]
227_1027	chr22	20299636	20300036	+	1000	82.0	[]	[]	[7.6141095]	[105]	[]	[20299809]
227_10275	chr1	236351368	236351768	+	1000	37.5	[]	[]	[6.425717]	[155]	[]	[236351575]
227_10276	chr1	245153350	245153750	+	1000	37.5	[]	[]	[8.259437]	[160]	[]	[245153578]
227_10277	chr1	246724493	246724893	+	1000	37.5	[]	[]	[8.259437]	[158]	[]	[246724688]
227_10278	chr10	7818294	7818694	+	1000	37.5	[8.259437]	[114]	[6.425717]	[153]	[7818506]	[7818545]
227_10279	chr10	11823181	11823581	+	1000	37.5	[6.425717]	[169]	[]	[]	[11823389]	[]
227_10283	chr10	68231175	68231575	+	1000	37.5	[]	[]	[8.259437]	[144]	[]	[68231358]
227_10286	chr10	71209027	71209427	+	1000	37.5	[7.071043, 8.259437]	[147, 196]	[7.6141095]	[174]	[71209226, 71209275]	[71209253]
227_10293	chr11	66022429	66022829	+	1000	37.5	[7.6141095]	[117]	[8.259437]	[134]	[66022624]	[66022641]
227_10296	chr11	130069837	130070237	+	1000	37.5	[]	[]	[6.425717]	[214]	[]	[130070060]
227_10298	chr12	31324014	31324414	+	1000	37.5	[6.425717]	[99]	[8.259437, 8.259437]	[120, 136]	[31324170]	[31324191, 31324207]
227_103	chr22	19854883	19855283	+	1000	225.0	[7.071043, 6.425717, 7.6141095]	[71, 121, 161]	[7.071043]	[78]	[19855036, 19855086, 19855126]	[19855043]
227_1030	chr5	14664278	14664678	+	1000	82.0	[]	[]	[8.259437]	[91]	[]	[14664466]
227_10301	chr12	55973961	55974361	+	1000	37.5	[6.5268717]	[130]	[]	[]	[55974171]	[]
227_10304	chr12	62466661	62467061	+	1000	37.5	[]	[]	[6.425717]	[140]	[]	[62466869]
227_10311	chr12	121712625	121713025	+	1000	37.5	[8.259437]	[129]	[]	[]	[121712854]	[]
227_10312	chr12	123743052	123743452	+	862	37.5	[]	[]	[7.071043]	[98]	[]	[123743238]
227_10314	chr13	29595725	29596125	+	1000	37.5	[]	[]	[8.259437]	[98]	[]	[29595901]
