#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2F2_idr.fa NR2F2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
507_1000	chrX	131985479	131985879	+	1000	263.0	[9.739339]	[127]	[]	[]	[131985697]	[]
507_10005	chr14	58171057	58171457	+	1000	80.0	[7.663098]	[71]	[7.9180784]	[144]	[58171220]	[58171293]
507_10009	chr14	101927850	101928250	+	1000	80.0	[9.964856]	[110]	[]	[]	[101928047]	[]
507_10013	chr15	95574057	95574457	+	1000	80.0	[9.5729685, 8.614196]	[126, 137]	[]	[]	[95574268, 95574279]	[]
507_1002	chr1	12161840	12162240	+	1000	262.0	[9.5729685]	[145]	[]	[]	[12162078]	[]
507_10022	chr17	7933018	7933418	+	1000	80.0	[]	[]	[9.739339]	[84]	[]	[7933180]
507_1003	chr1	167628011	167628411	+	1000	262.0	[]	[]	[7.5738697]	[122]	[]	[167628223]
507_10030	chr17	78411469	78411869	+	1000	80.0	[12.953519]	[139]	[]	[]	[78411690]	[]
507_10031	chr17	81912656	81913056	+	1000	80.0	[7.9180784]	[78]	[]	[]	[81912822]	[]
507_10034	chr18	49062164	49062564	+	1000	80.0	[]	[]	[9.964856]	[140]	[]	[49062391]
507_10036	chr19	1271902	1272302	+	1000	80.0	[]	[]	[7.5738697, 7.7032084]	[132, 173]	[]	[1272106, 1272147]
507_10039	chr19	18410460	18410860	+	1000	80.0	[7.58023, 12.953519]	[112, 118]	[8.614196]	[150]	[18410649, 18410655]	[18410687]
507_10041	chr19	23758636	23759036	+	1000	80.0	[8.015333]	[72]	[]	[]	[23758801]	[]
507_10046	chr19	58380597	58380997	+	1000	80.0	[7.9180784]	[119]	[]	[]	[58380754]	[]
507_10048	chr2	10133215	10133615	+	1000	80.0	[]	[]	[8.015333]	[66]	[]	[10133381]
507_10053	chr2	134154254	134154654	+	1000	80.0	[8.015333]	[81]	[]	[]	[134154432]	[]
507_1006	chr2	69642558	69642958	+	1000	262.0	[8.614196]	[122]	[]	[]	[69642773]	[]
507_10084	chr3	112794865	112795265	+	1000	80.0	[]	[]	[8.015333, 12.953519]	[82, 94]	[]	[112795035, 112795047]
507_1009	chr5	78758105	78758505	+	1000	262.0	[]	[]	[7.5738697, 7.5738697, 12.953519]	[67, 73, 148]	[]	[78758268, 78758274, 78758349]
507_101	chr1	234604841	234605241	+	1000	484.0	[]	[]	[7.58023]	[75]	[]	[234605010]
507_10111	chr6	31781608	31782008	+	1000	80.0	[12.953519, 9.739339]	[80, 87]	[7.663098]	[164]	[31781775, 31781782]	[31781859]
507_1012	chr10	17003137	17003537	+	1000	261.0	[7.7032084]	[102]	[]	[]	[17003327]	[]
507_10123	chr7	4738799	4739199	+	1000	80.0	[]	[]	[8.015333]	[138]	[]	[4739005]
507_10126	chr7	76359596	76359996	+	1000	80.0	[]	[]	[8.614196]	[162]	[]	[76359833]
507_10128	chr7	107118471	107118871	+	1000	80.0	[12.953519]	[138]	[]	[]	[107118704]	[]
507_10129	chr7	127856770	127857170	+	1000	80.0	[7.663098, 9.5729685]	[95, 114]	[]	[]	[127856965, 127856984]	[]
507_1014	chr19	10334286	10334686	+	1000	261.0	[12.953519]	[128]	[]	[]	[10334506]	[]
507_10141	chr8	101051640	101052040	+	1000	80.0	[]	[]	[7.7032084]	[110]	[]	[101051829]
507_10161	chr1	61079890	61080290	+	1000	79.0	[]	[]	[7.4965763]	[139]	[]	[61080094]
507_10162	chr1	86448641	86449041	+	1000	79.0	[]	[]	[7.4965763]	[90]	[]	[86448812]
507_1017	chr20	41116262	41116662	+	1000	261.0	[]	[]	[12.953519]	[84]	[]	[41116444]
507_10172	chr1	185819831	185820231	+	1000	79.0	[]	[]	[8.614196]	[146]	[]	[185820069]
507_10179	chr10	63396143	63396543	+	1000	79.0	[]	[]	[7.4965763]	[99]	[]	[63396316]
507_1019	chr4	159151099	159151499	+	1000	261.0	[8.015333, 8.015333]	[110, 125]	[]	[]	[159151308, 159151323]	[]
507_10194	chr11	67606725	67607125	+	1000	79.0	[7.5738697]	[145]	[]	[]	[67606967]	[]
507_10195	chr11	67630597	67630997	+	1000	79.0	[]	[]	[9.739339]	[154]	[]	[67630843]
507_1021	chr7	143426471	143426871	+	1000	261.0	[]	[]	[9.739339, 12.953519]	[56, 112]	[]	[143426624, 143426680]
507_10210	chr12	74292563	74292963	+	1000	79.0	[7.58023]	[98]	[]	[]	[74292759]	[]
507_10212	chr12	116346212	116346612	+	1000	79.0	[]	[]	[7.4965763]	[62]	[]	[116346366]
