#PeakID(python identify_motif.py ./ENCODE_processed_files/ETV1_idr.fa ETV1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
5_10001	chr1	8197713	8198113	+	1000	48.5	[6.987383]	[63]	[]	[]	[8197876]	[]
5_10002	chr1	11741470	11741870	+	1000	48.5	[]	[]	[9.803603]	[136]	[]	[11741675]
5_10003	chr1	12449417	12449817	+	997	48.5	[8.3701725]	[119]	[]	[]	[12449626]	[]
5_10006	chr1	46179443	46179843	+	1000	48.5	[10.994075]	[126]	[]	[]	[46179627]	[]
5_10010	chr1	116895058	116895458	+	1000	48.5	[]	[]	[15.534065]	[108]	[]	[116895266]
5_10013	chr1	180609840	180610240	+	1000	48.5	[8.3701725]	[137]	[]	[]	[180610030]	[]
5_10018	chr10	43407689	43408089	+	1000	48.5	[9.36461]	[151]	[]	[]	[43407851]	[]
5_10020	chr10	48406100	48406500	+	1000	48.5	[]	[]	[9.561721]	[107]	[]	[48406299]
5_10022	chr10	49184803	49185203	+	1000	48.5	[10.278745, 7.12262]	[126, 130]	[]	[]	[49185022, 49185026]	[]
5_10023	chr10	61665872	61666272	+	1000	48.5	[9.561721]	[123]	[]	[]	[61666085]	[]
5_10025	chr10	70174129	70174529	+	1000	48.5	[]	[]	[10.38262, 15.534065, 7.1607375]	[103, 128, 157]	[]	[70174317, 70174342, 70174371]
5_10030	chr10	97292078	97292478	+	1000	48.5	[]	[]	[8.3701725]	[100]	[]	[97292258]
5_10033	chr11	13339235	13339635	+	1000	48.5	[]	[]	[10.994075]	[99]	[]	[13339413]
5_10034	chr11	45355228	45355628	+	1000	48.5	[]	[]	[10.555081, 7.2626443]	[92, 118]	[]	[45355416, 45355442]
5_10036	chr11	64742913	64743313	+	1000	48.5	[]	[]	[7.7016377]	[119]	[]	[64743131]
5_1004	chr12	108838371	108838771	+	1000	170.5	[10.383697]	[89]	[9.561721]	[104]	[108838554]	[108838569]
5_10040	chr11	86955580	86955980	+	1000	48.5	[]	[]	[12.576745]	[89]	[]	[86955747]
5_10045	chr12	56928220	56928620	+	1000	48.5	[]	[]	[13.675058]	[109]	[]	[56928402]
5_10046	chr12	57520492	57520892	+	1000	48.5	[9.943626]	[113]	[]	[]	[57520705]	[]
5_10056	chr14	21383888	21384288	+	1000	48.5	[]	[]	[7.2626443]	[80]	[]	[21384058]
5_10061	chr15	44724322	44724722	+	1000	48.5	[]	[]	[11.977064]	[129]	[]	[44724498]
