#PeakID(python identify_motif.py ./ENCODE_processed_files/ELF1_idr.fa ELF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
686_1000	chr1	156282750	156283150	+	1000	136.5	[7.7939863]	[89]	[]	[]	[156282923]	[]
686_10000	chr6	147221791	147222191	+	778	31.0	[]	[]	[6.8592234]	[123]	[]	[147222014]
686_10002	chr6	157520020	157520420	+	739	31.0	[9.148726]	[147]	[]	[]	[157520222]	[]
686_10004	chr7	8762660	8763060	+	808	31.0	[]	[]	[7.123239]	[94]	[]	[8762843]
686_10006	chr7	32747232	32747632	+	648	31.0	[13.502466]	[209]	[]	[]	[32747395]	[]
686_1001	chr1	234723898	234724298	+	1000	136.5	[16.017126, 9.106304]	[81, 151]	[]	[]	[234724077, 234724147]	[]
686_10012	chr7	116970332	116970732	+	803	31.0	[6.5834923]	[177]	[]	[]	[116970532]	[]
686_10018	chr7	151491947	151492347	+	772	31.0	[10.744435]	[194]	[]	[]	[151492154]	[]
686_10019	chr7	152675258	152675658	+	743	31.0	[10.647848]	[102]	[]	[]	[152675447]	[]
686_10021	chr7	157405246	157405646	+	806	31.0	[]	[]	[6.591644]	[121]	[]	[157405454]
686_10026	chr9	128254498	128254898	+	654	31.0	[]	[]	[6.69158]	[143]	[]	[128254677]
686_10028	chr9	130744824	130745224	+	734	31.0	[]	[]	[11.964272]	[218]	[]	[130745066]
686_10033	chr9	131141766	131142166	+	782	31.0	[]	[]	[12.453062]	[162]	[]	[131141967]
686_10034	chr9	131212396	131212796	+	802	31.0	[]	[]	[10.6445]	[179]	[]	[131212618]
686_10038	chrUn_KI270538v1	81236	81636	+	811	31.0	[]	[]	[9.373884]	[159]	[]	[81409]
686_10042	chrX	47582119	47582519	+	653	31.0	[9.054054]	[138]	[]	[]	[47582348]	[]
686_10049	chr1	16960496	16960896	+	786	30.5	[]	[]	[10.831991]	[200]	[]	[16960737]
686_10052	chr1	26237291	26237691	+	783	30.5	[]	[]	[10.076016]	[150]	[]	[26237523]
686_10059	chr1	40381236	40381636	+	791	30.5	[8.196257]	[139]	[6.69303]	[131]	[40381407]	[40381399]
686_10062	chr1	51235739	51236139	+	551	30.5	[6.7770047]	[129]	[]	[]	[51235890]	[]
686_10065	chr1	146409772	146410172	+	553	30.5	[6.9448047]	[90]	[]	[]	[146409931]	[]
686_10074	chr1	202205709	202206109	+	640	30.5	[]	[]	[7.4055414, 7.680637]	[154, 175]	[]	[202205912, 202205933]
686_10079	chr1	234760258	234760658	+	735	30.5	[16.017126]	[206]	[]	[]	[234760499]	[]
686_1008	chr5	154038758	154039158	+	1000	136.5	[12.777884]	[84]	[]	[]	[154038914]	[]
686_10083	chr10	3665481	3665881	+	775	30.5	[]	[]	[6.5834923, 7.265795]	[117, 188]	[]	[3665642, 3665713]
686_10097	chr11	59549503	59549903	+	776	30.5	[9.942367]	[181]	[]	[]	[59549708]	[]
686_10099	chr11	63813665	63814065	+	794	30.5	[]	[]	[9.919916]	[141]	[]	[63813833]
686_101	chr5	132556661	132557061	+	1000	361.5	[9.875818, 9.875818]	[75, 139]	[]	[]	[132556822, 132556886]	[]
686_1010	chr14	21383854	21384254	+	1000	136.0	[10.263223]	[96]	[8.716876]	[127]	[21384026]	[21384057]
686_10103	chr12	13255724	13256124	+	608	30.5	[6.705439]	[116]	[6.7688527]	[101]	[13255925]	[13255910]
686_10106	chr12	104408675	104409075	+	676	30.5	[6.466288]	[124]	[8.651784]	[80]	[104408884]	[104408840]
686_10111	chr13	107978677	107979077	+	762	30.5	[]	[]	[10.285673]	[237]	[]	[107978925]
686_10114	chr14	76956612	76957012	+	563	30.5	[9.56109]	[116]	[9.026612]	[134]	[76956826]	[76956844]
686_10115	chr15	36195388	36195788	+	561	30.5	[7.0373144]	[110]	[7.971261]	[137]	[36195568]	[36195595]
686_10116	chr16	19447728	19448128	+	610	30.5	[9.509456]	[112]	[]	[]	[19447927]	[]
686_1012	chr17	44503487	44503887	+	1000	136.0	[]	[]	[12.777884]	[151]	[]	[44503706]
686_10120	chr16	79845727	79846127	+	791	30.5	[]	[]	[12.453062]	[142]	[]	[79845929]
686_10122	chr16	86204727	86205127	+	647	30.5	[]	[]	[10.263223]	[93]	[]	[86204918]
686_10125	chr17	28707275	28707675	+	788	30.5	[]	[]	[16.017126]	[115]	[]	[28707485]
686_10127	chr17	43367946	43368346	+	784	30.5	[]	[]	[7.5430217]	[176]	[]	[43368125]
686_10128	chr17	45579865	45580265	+	764	30.5	[9.054054]	[188]	[]	[]	[45580059]	[]
686_10130	chr17	67784489	67784889	+	790	30.5	[]	[]	[9.595095]	[222]	[]	[67784712]
686_10137	chr19	5369924	5370324	+	774	30.5	[]	[]	[6.3787317]	[82]	[]	[5370089]
686_10141	chr19	12723505	12723905	+	777	30.5	[]	[]	[6.7770047]	[154]	[]	[12723732]
686_10142	chr19	14518599	14518999	+	758	30.5	[11.964272]	[82]	[7.1500793]	[70]	[14518767]	[14518755]
686_10148	chr19	41957725	41958125	+	679	30.5	[9.236269]	[81]	[]	[]	[41957896]	[]
686_1015	chr12	112409433	112409833	+	1000	135.5	[7.1053114]	[117]	[12.590676]	[133]	[112409641]	[112409657]
686_10150	chr19	44553476	44553876	+	706	30.5	[9.938401]	[170]	[]	[]	[44553681]	[]
686_10156	chr2	56142630	56143030	+	647	30.5	[]	[]	[8.651784]	[94]	[]	[56142793]
686_10160	chr2	189762629	189763029	+	755	30.5	[12.777884]	[60]	[]	[]	[189762782]	[]
686_10162	chr2	219294812	219295212	+	756	30.5	[7.0178514, 13.15916]	[80, 134]	[]	[]	[219294977, 219295031]	[]
686_10165	chr20	29781708	29782108	+	720	30.5	[13.502466]	[63]	[]	[]	[29781867]	[]
686_10166	chr20	47355056	47355456	+	767	30.5	[13.502466, 6.7216086]	[126, 162]	[]	[]	[47355232, 47355268]	[]
686_10171	chr21	43883938	43884338	+	770	30.5	[]	[]	[9.062206]	[130]	[]	[43884142]
686_10175	chr22	20677825	20678225	+	737	30.5	[8.243634]	[178]	[]	[]	[20678060]	[]
686_10182	chr22	22601346	22601746	+	791	30.5	[7.2679267]	[203]	[]	[]	[22601569]	[]
686_10185	chr22	28560387	28560787	+	739	30.5	[8.224974]	[133]	[12.453062, 12.590676]	[150, 190]	[28560569]	[28560586, 28560626]
686_10191	chr3	125595585	125595985	+	604	30.5	[7.080435]	[182]	[]	[]	[125595776]	[]
686_10194	chr3	142706610	142707010	+	765	30.5	[]	[]	[9.054054, 6.685075]	[83, 126]	[]	[142706771, 142706814]
686_10195	chr3	149752332	149752732	+	748	30.5	[]	[]	[12.777884]	[93]	[]	[149752492]
