#PeakID(python scan_motif.py ./ENCODE_processed_files/TEAD1_idr.fa TEAD1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
682_1	chrM	12229	12629	+	1000	992.0	[8.396125, 8.786715]	[150, 197]	[]	[]	[12381, 12428]	[]
682_10000	chr3	149225125	149225525	+	1000	47.0	[]	[]	[8.396125]	[160]	[]	[149225365]
682_10001	chr3	153221811	153222211	+	1000	47.0	[]	[]	[10.451979]	[145]	[]	[153221993]
682_10019	chr5	148639074	148639474	+	1000	47.0	[8.396125]	[127]	[]	[]	[148639286]	[]
682_1002	chr11	68459907	68460307	+	1000	115.5	[8.53598, 8.396125]	[131, 143]	[8.53598]	[156]	[68460126, 68460138]	[68460151]
682_10021	chr5	172008882	172009282	+	1000	47.0	[]	[]	[8.786715, 6.8707166]	[101, 144]	[]	[172009053, 172009096]
682_10029	chr6	26440134	26440534	+	1000	47.0	[]	[]	[8.396125]	[139]	[]	[26440367]
682_1003	chr12	69415714	69416114	+	1000	115.5	[8.396125]	[119]	[]	[]	[69415929]	[]
682_10045	chr7	43768885	43769285	+	1000	47.0	[8.396125]	[130]	[]	[]	[43769114]	[]
682_10046	chr7	65221689	65222089	+	1000	47.0	[]	[]	[6.8707166]	[112]	[]	[65221873]
682_1005	chr19	52936430	52936830	+	1000	115.5	[8.53598]	[106]	[]	[]	[52936605]	[]
682_10050	chr7	100200032	100200432	+	1000	47.0	[10.451979]	[164]	[]	[]	[100200228]	[]
682_10055	chr7	116465754	116466154	+	1000	47.0	[8.396125]	[160]	[]	[]	[116466005]	[]
682_10057	chr7	130132335	130132735	+	1000	47.0	[]	[]	[10.451979]	[136]	[]	[130132565]
682_10060	chr8	81731278	81731678	+	856	47.0	[8.396125]	[126]	[]	[]	[81731496]	[]
682_10065	chr8	102589957	102590357	+	1000	47.0	[]	[]	[6.8707166]	[155]	[]	[102590184]
682_10068	chr8	140465656	140466056	+	1000	47.0	[8.396125]	[151]	[10.451979, 8.396125]	[79, 149]	[140465903]	[140465831, 140465901]
682_10069	chr9	35026078	35026478	+	1000	47.0	[10.451979]	[110]	[]	[]	[35026282]	[]
682_10073	chr9	98225131	98225531	+	1000	47.0	[]	[]	[8.786715]	[127]	[]	[98225337]
682_10074	chr9	99180244	99180644	+	1000	47.0	[8.53598]	[134]	[]	[]	[99180429]	[]
682_10075	chr9	104094016	104094416	+	1000	47.0	[8.53598]	[87]	[]	[]	[104094179]	[]
682_1008	chr3	12841535	12841935	+	1000	115.5	[]	[]	[8.396125]	[149]	[]	[12841760]
682_10085	chrX	41024304	41024704	+	1000	47.0	[8.396125]	[149]	[]	[]	[41024539]	[]
682_10087	chrX	132017120	132017520	+	1000	47.0	[10.451979]	[128]	[]	[]	[132017345]	[]
682_1009	chr3	34679072	34679472	+	1000	115.5	[10.451979]	[85]	[]	[]	[34679250]	[]
682_10092	chr1	28154782	28155182	+	1000	46.5	[10.451979]	[81]	[]	[]	[28154936]	[]
682_10094	chr1	31138878	31139278	+	1000	46.5	[]	[]	[10.451979, 10.451979]	[101, 120]	[]	[31139053, 31139072]
682_10095	chr1	31154630	31155030	+	974	46.5	[]	[]	[8.786715]	[175]	[]	[31154880]
682_10098	chr1	43358087	43358487	+	1000	46.5	[]	[]	[8.396125]	[191]	[]	[43358295]
682_10100	chr1	53957409	53957809	+	1000	46.5	[6.8707166]	[131]	[]	[]	[53957594]	[]
682_10102	chr1	84382052	84382452	+	1000	46.5	[8.396125]	[154]	[]	[]	[84382267]	[]
682_1011	chr7	127986872	127987272	+	1000	115.5	[]	[]	[8.786715]	[86]	[]	[127987055]
682_10113	chr1	197775769	197776169	+	1000	46.5	[]	[]	[10.451979]	[94]	[]	[197775958]
682_10117	chr1	213605744	213606144	+	1000	46.5	[]	[]	[8.53598]	[70]	[]	[213605912]
682_10122	chr1	234976423	234976823	+	1000	46.5	[6.8707166]	[116]	[8.53598]	[209]	[234976574]	[234976667]
682_10123	chr1	248926750	248927150	+	1000	46.5	[6.8707166]	[134]	[]	[]	[248926950]	[]
