#PeakID(python scan_motif.py ./ENCODE_processed_files/NR2C1_idr.fa NR2C1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
768_10	chr6	31665774	31666174	+	1000	1259.0	[7.9514318, 10.338945]	[82, 93]	[]	[]	[31665934, 31665945]	[]
768_100	chr13	45464669	45465069	+	1000	1153.0	[10.338945]	[149]	[]	[]	[45464905]	[]
768_1000	chr1	109895787	109896187	+	1000	316.0	[10.338945, 10.338945]	[107, 147]	[]	[]	[109895983, 109896023]	[]
768_10003	chr10	16817485	16817885	+	638	52.0	[7.9191227]	[166]	[]	[]	[16817702]	[]
768_10004	chr10	21726929	21727329	+	972	52.0	[10.338945]	[154]	[]	[]	[21727131]	[]
768_10006	chr10	48289466	48289866	+	982	52.0	[]	[]	[10.371254]	[221]	[]	[48289617]
768_10008	chr11	62840063	62840463	+	992	52.0	[10.371254]	[106]	[]	[]	[62840263]	[]
768_10010	chr11	69155275	69155675	+	905	52.0	[]	[]	[10.338945]	[109]	[]	[69155466]
768_10014	chr13	24512094	24512494	+	816	52.0	[10.371254]	[88]	[]	[]	[24512276]	[]
768_10015	chr13	27125708	27126108	+	958	52.0	[]	[]	[10.371254]	[101]	[]	[27125873]
768_10017	chr14	57390307	57390707	+	926	52.0	[10.371254]	[149]	[]	[]	[57390475]	[]
768_10018	chr15	41334476	41334876	+	993	52.0	[]	[]	[10.338945]	[85]	[]	[41334658]
768_10021	chr15	65994715	65995115	+	692	52.0	[10.371254]	[237]	[]	[]	[65994965]	[]
768_10022	chr15	81086899	81087299	+	884	52.0	[]	[]	[10.338945, 10.371254]	[118, 125]	[]	[81087051, 81087058]
768_10024	chr16	2210761	2211161	+	938	52.0	[10.371254]	[119]	[10.338945]	[80]	[2210964]	[2210925]
768_10030	chr16	70164940	70165340	+	759	52.0	[]	[]	[10.371254]	[156]	[]	[70165117]
768_10031	chr16	85385917	85386317	+	571	52.0	[10.371254, 10.338945]	[77, 91]	[]	[]	[85386088, 85386102]	[]
768_10033	chr17	18163467	18163867	+	787	52.0	[10.371254]	[169]	[]	[]	[18163694]	[]
768_10038	chr17	42411975	42412375	+	861	52.0	[10.371254, 10.371254, 10.371254]	[124, 148, 178]	[]	[]	[42412165, 42412189, 42412219]	[]
768_1004	chr15	64566655	64567055	+	1000	315.0	[10.371254]	[138]	[]	[]	[64566875]	[]
768_10042	chr17	57084704	57085104	+	951	52.0	[]	[]	[10.338945]	[166]	[]	[57084896]
768_10048	chr17	82205728	82206128	+	826	52.0	[]	[]	[10.371254]	[162]	[]	[82205896]
768_1005	chr22	39999244	39999644	+	1000	315.0	[]	[]	[10.338945, 10.338945, 10.338945]	[102, 109, 147]	[]	[39999429, 39999436, 39999474]
768_10058	chr19	35166600	35167000	+	941	52.0	[10.371254]	[80]	[]	[]	[35166761]	[]
768_1006	chr4	20700136	20700536	+	1000	314.5	[]	[]	[7.9514318]	[147]	[]	[20700367]
768_10061	chr19	46784648	46785048	+	547	52.0	[7.9514318]	[143]	[]	[]	[46784848]	[]
768_10064	chr2	85500041	85500441	+	611	52.0	[]	[]	[10.371254]	[121]	[]	[85500240]
768_10065	chr2	96929154	96929554	+	964	52.0	[]	[]	[10.338945]	[191]	[]	[96929401]
768_10069	chr20	38143654	38144054	+	953	52.0	[]	[]	[7.9514318]	[94]	[]	[38143838]
768_10070	chr22	19567143	19567543	+	967	52.0	[10.338945]	[210]	[]	[]	[19567384]	[]
768_10074	chr22	20955862	20956262	+	982	52.0	[]	[]	[10.371254]	[109]	[]	[20956028]
768_10077	chr22	42531658	42532058	+	965	52.0	[]	[]	[7.9514318]	[150]	[]	[42531871]
768_10082	chr3	150602950	150603350	+	910	52.0	[7.9514318]	[193]	[]	[]	[150603189]	[]
768_10083	chr3	155303495	155303895	+	921	52.0	[]	[]	[10.371254]	[89]	[]	[155303683]
768_10084	chr3	194332799	194333199	+	786	52.0	[]	[]	[10.371254]	[243]	[]	[194333027]
768_10085	chr4	32002025	32002425	+	912	52.0	[10.371254]	[140]	[]	[]	[32002242]	[]
768_10086	chr4	38230418	38230818	+	989	52.0	[10.338945]	[165]	[10.371254]	[158]	[38230637]	[38230630]
768_10091	chr5	36241884	36242284	+	908	52.0	[]	[]	[7.9514318]	[173]	[]	[36242128]
768_10092	chr5	39102729	39103129	+	632	52.0	[]	[]	[10.371254]	[117]	[]	[39102903]
768_10097	chr6	5892047	5892447	+	949	52.0	[]	[]	[10.338945, 10.371254]	[63, 134]	[]	[5892201, 5892272]
768_10098	chr6	10806007	10806407	+	932	52.0	[10.338945]	[213]	[]	[]	[10806244]	[]
768_101	chr4	47914595	47914995	+	1000	1152.0	[7.9191227, 10.371254]	[118, 125]	[]	[]	[47914807, 47914814]	[]
768_10101	chr6	27618083	27618483	+	889	52.0	[7.9191227]	[202]	[]	[]	[27618303]	[]
768_1011	chr8	141340240	141340640	+	1000	313.0	[10.371254]	[137]	[]	[]	[141340447]	[]
768_10110	chr7	26148568	26148968	+	754	52.0	[]	[]	[10.371254]	[201]	[]	[26148750]
768_10111	chr7	50359747	50360147	+	966	52.0	[10.338945, 10.371254]	[157, 162]	[10.371254]	[139]	[50359920, 50359925]	[50359902]
768_10120	chr7	150404222	150404622	+	914	52.0	[10.338945]	[94]	[]	[]	[150404390]	[]
768_10122	chr8	54022034	54022434	+	985	52.0	[]	[]	[7.9191227]	[177]	[]	[54022205]
768_10125	chr9	124945789	124946189	+	974	52.0	[10.338945, 10.371254]	[177, 184]	[]	[]	[124946029, 124946036]	[]
768_10126	chr9	128127924	128128324	+	967	52.0	[]	[]	[7.9191227, 7.9191227]	[156, 161]	[]	[128128153, 128128158]
768_10128	chr9	130907503	130907903	+	979	52.0	[10.371254]	[81]	[]	[]	[130907683]	[]
768_10136	chr1	23484441	23484841	+	907	51.5	[]	[]	[10.371254]	[131]	[]	[23484662]
768_10140	chr1	32345477	32345877	+	966	51.5	[10.371254]	[154]	[]	[]	[32345697]	[]
768_10143	chr1	52906000	52906400	+	917	51.5	[]	[]	[10.371254]	[185]	[]	[52906237]
768_10144	chr1	67409253	67409653	+	968	51.5	[10.371254]	[92]	[10.338945]	[113]	[67409434]	[67409455]
768_1015	chr9	35814184	35814584	+	1000	312.5	[]	[]	[10.371254]	[116]	[]	[35814389]
768_10155	chr1	234734849	234735249	+	972	51.5	[]	[]	[10.371254]	[144]	[]	[234735082]
768_10159	chr10	46020360	46020760	+	962	51.5	[]	[]	[10.371254]	[160]	[]	[46020530]
768_1016	chr6	163572575	163572975	+	1000	311.5	[10.371254]	[62]	[10.371254]	[96]	[163572735]	[163572769]
768_10162	chr11	78080863	78081263	+	918	51.5	[]	[]	[10.338945]	[139]	[]	[78081094]
768_10163	chr11	116813902	116814302	+	983	51.5	[]	[]	[10.338945, 10.371254]	[153, 180]	[]	[116814119, 116814146]
768_10167	chr14	24095469	24095869	+	892	51.5	[10.338945]	[80]	[]	[]	[24095624]	[]
768_10168	chr14	55026949	55027349	+	979	51.5	[7.9514318]	[97]	[7.9191227]	[64]	[55027143]	[55027110]
768_1017	chr6	163181073	163181473	+	1000	311.0	[]	[]	[10.338945]	[141]	[]	[163181305]
768_10170	chr14	77414169	77414569	+	931	51.5	[]	[]	[10.371254]	[231]	[]	[77414408]
768_10172	chr15	41409620	41410020	+	967	51.5	[10.371254]	[254]	[]	[]	[41409841]	[]
768_10175	chr15	88639437	88639837	+	973	51.5	[]	[]	[10.371254, 10.338945]	[168, 175]	[]	[88639677, 88639684]
768_10177	chr16	24373697	24374097	+	835	51.5	[10.371254]	[113]	[]	[]	[24373877]	[]
768_1018	chr15	60585734	60586134	+	1000	310.5	[]	[]	[10.371254]	[82]	[]	[60585902]
768_10180	chr17	8226700	8227100	+	939	51.5	[10.338945]	[184]	[]	[]	[8226951]	[]
768_10182	chr17	42312826	42313226	+	945	51.5	[]	[]	[10.338945]	[109]	[]	[42313031]
768_10185	chr17	64025723	64026123	+	650	51.5	[7.9191227]	[115]	[]	[]	[64025936]	[]
768_10189	chr19	2775959	2776359	+	826	51.5	[]	[]	[10.338945]	[135]	[]	[2776168]
768_1019	chr17	42315588	42315988	+	1000	310.5	[10.371254]	[95]	[]	[]	[42315771]	[]
768_10190	chr19	5314064	5314464	+	976	51.5	[]	[]	[10.371254]	[110]	[]	[5314255]
768_10191	chr19	7871271	7871671	+	821	51.5	[10.371254]	[142]	[]	[]	[7871458]	[]
768_10192	chr19	9787921	9788321	+	900	51.5	[]	[]	[10.371254]	[90]	[]	[9788086]
768_102	chr20	37289438	37289838	+	1000	1151.0	[7.9191227]	[102]	[]	[]	[37289640]	[]
768_1020	chr4	139665741	139666141	+	1000	310.5	[10.371254]	[117]	[]	[]	[139665950]	[]
768_10204	chr2	25253231	25253631	+	851	51.5	[10.371254, 10.371254]	[123, 130]	[]	[]	[25253425, 25253432]	[]
768_10207	chr2	169839030	169839430	+	713	51.5	[10.371254]	[158]	[]	[]	[169839236]	[]
768_1021	chr11	71459750	71460150	+	1000	310.0	[7.9514318, 10.371254, 10.338945, 10.338945]	[118, 125, 133, 140]	[]	[]	[71459952, 71459959, 71459967, 71459974]	[]
768_10211	chr20	49979107	49979507	+	980	51.5	[]	[]	[10.338945]	[153]	[]	[49979292]
768_10213	chr20	62972075	62972475	+	932	51.5	[]	[]	[10.338945, 10.338945]	[134, 189]	[]	[62972247, 62972302]
768_10215	chr22	20004592	20004992	+	973	51.5	[]	[]	[10.371254]	[127]	[]	[20004758]
768_10216	chr22	22020347	22020747	+	970	51.5	[10.338945]	[164]	[]	[]	[22020575]	[]
768_1022	chr20	57461071	57461471	+	1000	310.0	[10.338945]	[107]	[10.371254]	[116]	[57461266]	[57461275]
