#PeakID(python identify_motif.py ./ENCODE_processed_files/GATA1_idr.fa GATA1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
156_1	chrM	9700	10100	+	1000	804.0	[8.04971]	[74]	[]	[]	[9873]	[]
156_10010	chr19	28605569	28605969	+	757	42.0	[]	[]	[8.230114]	[95]	[]	[28605751]
156_10013	chr19	50823348	50823748	+	1000	42.0	[]	[]	[7.842722, 11.148683]	[78, 103]	[]	[50823526, 50823551]
156_10014	chr19	51158435	51158835	+	1000	42.0	[12.392342]	[114]	[]	[]	[51158632]	[]
156_10019	chr2	43040363	43040763	+	1000	42.0	[7.696181]	[120]	[]	[]	[43040535]	[]
156_1002	chr22	25762132	25762532	+	1000	173.0	[8.230114]	[92]	[8.230114]	[146]	[25762307]	[25762361]
156_10024	chr2	119590880	119591280	+	1000	42.0	[]	[]	[7.696181]	[109]	[]	[119591083]
156_1004	chr4	73832618	73833018	+	1000	173.0	[11.148683, 12.392342]	[73, 98]	[8.190248]	[145]	[73832785, 73832810]	[73832857]
156_10042	chr22	16784113	16784513	+	1000	42.0	[7.3913875]	[133]	[]	[]	[16784334]	[]
156_10048	chr22	38965847	38966247	+	1000	42.0	[]	[]	[11.148683]	[128]	[]	[38966065]
156_10050	chr3	4351226	4351626	+	1000	42.0	[8.203644, 8.230114]	[146, 151]	[]	[]	[4351401, 4351406]	[]
156_10056	chr3	44966739	44967139	+	1000	42.0	[11.148683]	[103]	[]	[]	[44966911]	[]
156_10057	chr3	45135892	45136292	+	1000	42.0	[]	[]	[11.148683]	[77]	[]	[45136046]
156_10061	chr3	52300139	52300539	+	1000	42.0	[11.148683]	[89]	[7.3065944]	[121]	[52300326]	[52300358]
156_10063	chr3	67017162	67017562	+	1000	42.0	[]	[]	[8.230114]	[91]	[]	[67017353]
156_10065	chr3	108110978	108111378	+	936	42.0	[]	[]	[11.148683]	[149]	[]	[108111215]
156_10066	chr3	131602341	131602741	+	834	42.0	[]	[]	[11.148683]	[168]	[]	[131602584]
156_1007	chr6	119257011	119257411	+	1000	173.0	[]	[]	[8.190248]	[132]	[]	[119257233]
