#PeakID(python identify_motif.py ./ENCODE_processed_files/TEAD1_idr.fa TEAD1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
682_10019	chr5	148639074	148639474	+	1000	47.0	[8.396125]	[127]	[]	[]	[148639286]	[]
682_1002	chr11	68459907	68460307	+	1000	115.5	[8.53598, 8.396125]	[131, 143]	[8.53598]	[156]	[68460126, 68460138]	[68460151]
682_10021	chr5	172008882	172009282	+	1000	47.0	[]	[]	[8.786715, 6.8707166]	[101, 144]	[]	[172009053, 172009096]
682_10045	chr7	43768885	43769285	+	1000	47.0	[8.396125]	[130]	[]	[]	[43769114]	[]
682_10046	chr7	65221689	65222089	+	1000	47.0	[]	[]	[6.8707166]	[112]	[]	[65221873]
682_1005	chr19	52936430	52936830	+	1000	115.5	[8.53598]	[106]	[]	[]	[52936605]	[]
682_10050	chr7	100200032	100200432	+	1000	47.0	[10.451979]	[164]	[]	[]	[100200228]	[]
682_10060	chr8	81731278	81731678	+	856	47.0	[8.396125]	[126]	[]	[]	[81731496]	[]
682_10065	chr8	102589957	102590357	+	1000	47.0	[]	[]	[6.8707166]	[155]	[]	[102590184]
682_10068	chr8	140465656	140466056	+	1000	47.0	[8.396125]	[151]	[10.451979, 8.396125]	[79, 149]	[140465903]	[140465831, 140465901]
682_10069	chr9	35026078	35026478	+	1000	47.0	[10.451979]	[110]	[]	[]	[35026282]	[]
682_10073	chr9	98225131	98225531	+	1000	47.0	[]	[]	[8.786715]	[127]	[]	[98225337]
682_10085	chrX	41024304	41024704	+	1000	47.0	[8.396125]	[149]	[]	[]	[41024539]	[]
682_1009	chr3	34679072	34679472	+	1000	115.5	[10.451979]	[85]	[]	[]	[34679250]	[]
682_10092	chr1	28154782	28155182	+	1000	46.5	[10.451979]	[81]	[]	[]	[28154936]	[]
682_10094	chr1	31138878	31139278	+	1000	46.5	[]	[]	[10.451979, 10.451979]	[101, 120]	[]	[31139053, 31139072]
682_10095	chr1	31154630	31155030	+	974	46.5	[]	[]	[8.786715]	[175]	[]	[31154880]
682_10098	chr1	43358087	43358487	+	1000	46.5	[]	[]	[8.396125]	[191]	[]	[43358295]
682_10102	chr1	84382052	84382452	+	1000	46.5	[8.396125]	[154]	[]	[]	[84382267]	[]
682_10117	chr1	213605744	213606144	+	1000	46.5	[]	[]	[8.53598]	[70]	[]	[213605912]
682_10122	chr1	234976423	234976823	+	1000	46.5	[6.8707166]	[116]	[8.53598]	[209]	[234976574]	[234976667]
682_10124	chr10	23047380	23047780	+	1000	46.5	[]	[]	[8.53598]	[163]	[]	[23047547]
682_10126	chr10	63438624	63439024	+	1000	46.5	[8.53598]	[152]	[]	[]	[63438821]	[]
682_10128	chr10	70528718	70529118	+	1000	46.5	[]	[]	[10.451979, 8.396125]	[120, 130]	[]	[70528912, 70528922]
682_1013	chr1	16890637	16891037	+	1000	115.0	[10.451979]	[76]	[10.451979]	[107]	[16890800]	[16890831]
682_10133	chr11	14520702	14521102	+	1000	46.5	[]	[]	[10.451979]	[168]	[]	[14520895]
682_10136	chr11	65903128	65903528	+	1000	46.5	[10.451979]	[87]	[]	[]	[65903314]	[]
682_10138	chr11	66834294	66834694	+	1000	46.5	[8.53598]	[152]	[]	[]	[66834501]	[]
682_10143	chr12	46258093	46258493	+	1000	46.5	[]	[]	[8.53598]	[77]	[]	[46258246]
682_10145	chr12	62724901	62725301	+	872	46.5	[]	[]	[10.451979]	[115]	[]	[62725115]
682_10149	chr12	108120121	108120521	+	1000	46.5	[]	[]	[8.786715]	[92]	[]	[108120296]
682_10151	chr12	121352340	121352740	+	1000	46.5	[]	[]	[8.53598]	[104]	[]	[121352530]
682_10153	chr12	130870879	130871279	+	1000	46.5	[10.451979]	[127]	[]	[]	[130871059]	[]
682_10156	chr13	97194389	97194789	+	1000	46.5	[10.451979, 8.53598]	[90, 108]	[]	[]	[97194577, 97194595]	[]
682_10159	chr15	39882636	39883036	+	1000	46.5	[10.451979]	[152]	[]	[]	[39882874]	[]
682_1016	chr17_KI270729v1_random	1384	1784	+	1000	115.0	[10.451979, 10.451979, 10.451979, 10.451979, 10.451979, 10.451979, 10.451979, 10.451979, 8.396125, 8.53598]	[54, 59, 64, 69, 89, 94, 99, 119, 139, 144]	[]	[]	[1537, 1542, 1547, 1552, 1572, 1577, 1582, 1602, 1622, 1627]	[]
682_10163	chr15	67550427	67550827	+	1000	46.5	[]	[]	[10.451979]	[125]	[]	[67550650]
682_10164	chr15	82739051	82739451	+	1000	46.5	[]	[]	[8.396125]	[157]	[]	[82739246]
682_10176	chr17	32877346	32877746	+	1000	46.5	[8.53598]	[94]	[]	[]	[32877533]	[]
682_10186	chr17	82211587	82211987	+	1000	46.5	[]	[]	[10.451979]	[127]	[]	[82211788]
682_10187	chr18	9681186	9681586	+	1000	46.5	[8.53598]	[57]	[]	[]	[9681339]	[]
682_1019	chr1	243105844	243106244	+	1000	114.5	[8.396125]	[121]	[]	[]	[243106063]	[]
682_10198	chr19	13154155	13154555	+	1000	46.5	[8.396125, 6.8707166]	[74, 106]	[]	[]	[13154320, 13154352]	[]
682_102	chr1	100785727	100786127	+	1000	329.5	[8.53598]	[69]	[10.451979]	[100]	[100785893]	[100785924]
682_10200	chr19	18919299	18919699	+	1000	46.5	[]	[]	[8.396125]	[136]	[]	[18919526]
682_10207	chr19	47335835	47336235	+	1000	46.5	[]	[]	[8.396125]	[135]	[]	[47336062]
682_10218	chr2	144703851	144704251	+	1000	46.5	[]	[]	[8.396125]	[177]	[]	[144704073]
682_10219	chr2	151784125	151784525	+	1000	46.5	[6.8707166]	[160]	[]	[]	[151784371]	[]
682_10223	chr2	183010158	183010558	+	1000	46.5	[]	[]	[8.53598]	[153]	[]	[183010402]
682_10232	chr21	10425893	10426293	+	1000	46.5	[8.53598]	[78]	[]	[]	[10426069]	[]
682_10238	chr22	19120849	19121249	+	1000	46.5	[10.451979]	[113]	[]	[]	[19121026]	[]
682_10252	chr22	22854356	22854756	+	1000	46.5	[10.451979]	[135]	[]	[]	[22854534]	[]
682_10255	chr22	23031740	23032140	+	1000	46.5	[8.396125]	[93]	[]	[]	[23031906]	[]
682_10265	chr3	13007429	13007829	+	988	46.5	[6.8707166]	[172]	[8.53598, 10.451979]	[145, 150]	[13007633]	[13007606, 13007611]
682_10270	chr3	46078787	46079187	+	1000	46.5	[8.786715, 8.53598]	[91, 130]	[]	[]	[46078961, 46079000]	[]
682_1028	chr9	129246609	129247009	+	1000	114.5	[]	[]	[8.396125]	[75]	[]	[129246783]
682_10288	chr5	126746264	126746664	+	1000	46.5	[]	[]	[8.53598]	[98]	[]	[126746451]
682_10290	chr5	140611969	140612369	+	1000	46.5	[10.451979]	[93]	[]	[]	[140612160]	[]
682_103	chr1	143264478	143264878	+	1000	329.5	[]	[]	[8.396125]	[87]	[]	[143264663]
682_10304	chr6	42901461	42901861	+	1000	46.5	[]	[]	[8.786715]	[147]	[]	[42901681]
682_10307	chr6	85041316	85041716	+	1000	46.5	[8.786715]	[92]	[]	[]	[85041499]	[]
682_10310	chr6	134358212	134358612	+	1000	46.5	[8.396125]	[100]	[]	[]	[134358369]	[]
682_1032	chr1	236354387	236354787	+	1000	114.0	[8.396125]	[96]	[8.396125]	[148]	[236354561]	[236354613]
682_10320	chr7	76364663	76365063	+	1000	46.5	[8.53598]	[190]	[]	[]	[76364861]	[]
682_10324	chr7	107165244	107165644	+	1000	46.5	[10.451979, 6.8707166]	[102, 145]	[]	[]	[107165436, 107165479]	[]
682_1033	chr10	50574331	50574731	+	1000	114.0	[]	[]	[10.451979]	[125]	[]	[50574544]
682_10337	chr9	95317509	95317909	+	1000	46.5	[8.53598, 8.396125]	[98, 149]	[]	[]	[95317704, 95317755]	[]
682_10342	chr9	130758999	130759399	+	1000	46.5	[]	[]	[8.53598]	[189]	[]	[130759203]
682_10352	chrX	48578636	48579036	+	1000	46.5	[10.451979]	[84]	[]	[]	[48578791]	[]
682_10353	chr1	8938450	8938850	+	1000	46.0	[]	[]	[8.396125]	[121]	[]	[8938650]
682_10362	chr1	36161073	36161473	+	1000	46.0	[10.451979]	[185]	[]	[]	[36161319]	[]
682_10376	chr1	143220113	143220513	+	1000	46.0	[]	[]	[10.451979, 10.451979]	[139, 144]	[]	[143220318, 143220323]
682_10385	chr1	201828917	201829317	+	1000	46.0	[10.451979]	[64]	[]	[]	[201829079]	[]
682_10387	chr1	204166974	204167374	+	1000	46.0	[8.396125]	[75]	[]	[]	[204167131]	[]
682_10389	chr1	207807697	207808097	+	1000	46.0	[10.451979]	[120]	[]	[]	[207807865]	[]
682_10393	chr1	213055092	213055492	+	1000	46.0	[]	[]	[6.8707166]	[125]	[]	[213055316]
682_10394	chr1	222464750	222465150	+	1000	46.0	[8.396125]	[173]	[]	[]	[222464979]	[]
682_10395	chr1	224061391	224061791	+	1000	46.0	[8.786715]	[209]	[]	[]	[224061641]	[]
682_104	chr16	23597265	23597665	+	1000	328.5	[8.396125]	[144]	[]	[]	[23597508]	[]
682_10408	chr10	22851855	22852255	+	1000	46.0	[]	[]	[10.451979, 8.53598]	[97, 156]	[]	[22852040, 22852099]
682_10413	chr10	95229623	95230023	+	1000	46.0	[]	[]	[10.451979]	[105]	[]	[95229820]
682_1042	chr8	134710051	134710451	+	1000	114.0	[]	[]	[6.8707166]	[146]	[]	[134710286]
682_10424	chr11	68009457	68009857	+	1000	46.0	[]	[]	[8.396125]	[111]	[]	[68009662]
682_10430	chr12	47820609	47821009	+	1000	46.0	[]	[]	[10.451979]	[172]	[]	[47820827]
682_10438	chr12	120196842	120197242	+	1000	46.0	[]	[]	[8.786715]	[156]	[]	[120197082]
682_10443	chr13	107872955	107873355	+	1000	46.0	[]	[]	[10.451979]	[136]	[]	[107873129]
682_10447	chr14	100676097	100676497	+	1000	46.0	[8.53598]	[66]	[10.451979]	[79]	[100676261]	[100676274]
682_10448	chr15	27694646	27695046	+	1000	46.0	[10.451979]	[107]	[]	[]	[27694847]	[]
682_10451	chr15	58469989	58470389	+	1000	46.0	[8.53598]	[174]	[10.451979]	[168]	[58470238]	[58470232]
682_10457	chr16	30096262	30096662	+	1000	46.0	[10.451979]	[65]	[]	[]	[30096423]	[]
682_1046	chr20	33909483	33909883	+	1000	113.5	[]	[]	[10.451979]	[90]	[]	[33909663]
682_10471	chr18	2002568	2002968	+	1000	46.0	[]	[]	[10.451979]	[141]	[]	[2002799]
682_10472	chr18	3703674	3704074	+	1000	46.0	[8.396125]	[190]	[]	[]	[3703902]	[]
682_10474	chr18	49487661	49488061	+	1000	46.0	[8.396125]	[163]	[]	[]	[49487836]	[]
682_10476	chr19	1075458	1075858	+	1000	46.0	[8.786715]	[140]	[]	[]	[1075680]	[]
682_10477	chr19	3975649	3976049	+	1000	46.0	[8.396125]	[132]	[]	[]	[3975819]	[]
682_1048	chr22	22942661	22943061	+	1000	113.5	[6.8707166]	[104]	[]	[]	[22942848]	[]
682_10499	chr2	164061132	164061532	+	1000	46.0	[]	[]	[8.396125]	[110]	[]	[164061339]
682_10500	chr2	168713346	168713746	+	999	46.0	[8.396125]	[85]	[]	[]	[168713515]	[]
682_1051	chr6	28687649	28688049	+	1000	113.5	[]	[]	[10.451979, 10.451979]	[131, 136]	[]	[28687874, 28687879]
682_10511	chr21	28992864	28993264	+	1000	46.0	[10.451979]	[118]	[]	[]	[28993038]	[]
682_10516	chr21	37547625	37548025	+	1000	46.0	[8.396125]	[91]	[]	[]	[37547812]	[]
682_10519	chr21	39587351	39587751	+	1000	46.0	[]	[]	[10.451979]	[134]	[]	[39587583]
