#PeakID(python scan_motif.py ./ENCODE_processed_files/ATF3_idr.fa ATF3 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
886_10	chrM	2701	3101	+	1000	1692.5	[]	[]	[4.037037]	[81]	[]	[2858]
886_10005	chr9	96778049	96778449	+	1000	198.5	[6.8989677]	[154]	[6.779144]	[154]	[96778233]	[96778233]
886_10006	chr9	123317448	123317848	+	1000	198.5	[6.136028]	[156]	[6.265752]	[156]	[123317675]	[123317675]
886_10007	chr1	6157684	6158084	+	1000	198.0	[5.687681]	[114]	[5.268915]	[114]	[6157896]	[6157896]
886_1001	chr5	68456643	68457043	+	1000	749.0	[12.965319]	[111]	[12.536653]	[111]	[68456851]	[68456851]
886_10012	chr1	113140494	113140894	+	1000	198.0	[6.8296685]	[150]	[6.6060014]	[150]	[113140723]	[113140723]
886_10015	chr10	6010559	6010959	+	1000	198.0	[5.268915, 12.965319]	[103, 106]	[5.687681, 12.536653]	[103, 106]	[6010756, 6010759]	[6010756, 6010759]
886_10018	chr10	131900748	131901148	+	1000	198.0	[17.939297]	[120]	[17.939297]	[120]	[131900956]	[131900956]
886_1002	chr2	46542134	46542534	+	1000	748.5	[6.779144]	[100]	[6.8989677]	[100]	[46542329]	[46542329]
886_10025	chr16	16120873	16121273	+	1000	198.0	[12.332103]	[103]	[11.8935375]	[103]	[16121069]	[16121069]
886_10026	chr16	66619499	66619899	+	1000	198.0	[5.902131]	[92]	[6.3307967]	[92]	[66619680]	[66619680]
886_10029	chr17	45132794	45133194	+	1000	198.0	[17.30608]	[108]	[17.29618]	[108]	[45132999]	[45132999]
886_1003	chr16	84618633	84619033	+	1000	748.0	[8.130846]	[268]	[8.439688]	[268]	[84618812]	[84618812]
886_10031	chr2	24011330	24011730	+	1000	198.0	[4.037037]	[170]	[]	[]	[24011562]	[]
886_10033	chr2	99139016	99139416	+	1000	198.0	[5.697581]	[146]	[5.259015]	[146]	[99139246]	[99139246]
886_10034	chr2	121775598	121775998	+	1000	198.0	[5.687681]	[72]	[5.268915]	[72]	[121775760]	[121775760]
