#PeakID(python identify_motif.py ./ENCODE_processed_files/IRF1_idr.fa IRF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
875_1	chr16	46390342	46390742	+	1000	930.0	[]	[]	[6.634815]	[139]	[]	[46390566]
875_100	chr6	34657362	34657762	+	1000	239.0	[]	[]	[12.577953, 20.64545]	[80, 86]	[]	[34657540, 34657546]
875_1001	chr19	46603129	46603529	+	1000	82.5	[19.280163, 9.100469]	[104, 110]	[]	[]	[46603326, 46603332]	[]
875_101	chr5	132410697	132411097	+	1000	238.0	[19.010735, 14.333816]	[93, 99]	[15.054377]	[124]	[132410888, 132410894]	[132410919]
875_1010	chr6	37103104	37103504	+	1000	82.0	[]	[]	[6.57001]	[105]	[]	[37103257]
875_1015	chr18	3605891	3606291	+	1000	81.5	[8.777771]	[81]	[10.868501, 21.137987]	[88, 94]	[3606065]	[3606072, 3606078]
875_1027	chr15	101148527	101148927	+	1000	81.0	[]	[]	[19.693493]	[132]	[]	[101148726]
875_1029	chr16	88785406	88785806	+	1000	81.0	[11.339557]	[84]	[]	[]	[88785588]	[]
875_103	chr2	11500697	11501097	+	1000	236.5	[]	[]	[7.543277, 18.798183, 4.7301307]	[87, 93, 99]	[]	[11500871, 11500877, 11500883]
875_1032	chr3	152243264	152243664	+	1000	81.0	[7.792414, 13.451102]	[170, 176]	[5.226117, 4.26329]	[163, 221]	[152243454, 152243460]	[152243447, 152243505]
875_1042	chr4	38523939	38524339	+	1000	80.5	[11.560439]	[177]	[4.8965497]	[122]	[38524163]	[38524108]
875_1050	chr2	191013966	191014366	+	1000	80.0	[]	[]	[14.699979]	[101]	[]	[191014157]
875_1062	chr16	56989345	56989745	+	1000	79.5	[14.246173, 16.151762]	[100, 106]	[]	[]	[56989545, 56989551]	[]
875_1068	chr3	168996616	168997016	+	1000	79.5	[]	[]	[5.444461, 16.845999, 20.813942]	[87, 93, 99]	[]	[168996779, 168996785, 168996791]
875_1069	chr4	87006327	87006727	+	1000	79.5	[]	[]	[9.709244, 17.568678]	[119, 125]	[]	[87006533, 87006539]
875_1070	chr4	109046838	109047238	+	1000	79.5	[]	[]	[6.9500732, 4.590245, 16.267038, 22.002195]	[99, 100, 104, 110]	[]	[109047032, 109047033, 109047037, 109047043]
875_1072	chr6	105601531	105601931	+	1000	79.5	[]	[]	[12.871762]	[157]	[]	[105601750]
875_1075	chr11	36450044	36450444	+	1000	79.0	[]	[]	[16.879826, 4.604548]	[112, 118]	[]	[36450248, 36450254]
875_1077	chr16	81238371	81238771	+	1000	79.0	[6.1264215, 12.405829, 4.1592927, 6.667262]	[90, 91, 94, 95]	[16.872566, 4.79081, 7.7676053]	[112, 118, 125]	[81238538, 81238539, 81238542, 81238543]	[81238560, 81238566, 81238573]
875_1088	chr14	65081349	65081749	+	1000	78.5	[21.073769, 11.384253]	[128, 134]	[]	[]	[65081558, 65081564]	[]
875_109	chr1	112674638	112675038	+	1000	227.5	[22.046665, 10.948164]	[145, 151]	[]	[]	[112674859, 112674865]	[]
875_1093	chr6	42777476	42777876	+	1000	78.5	[19.629074]	[123]	[6.671683, 10.445013]	[106, 108]	[42777691]	[42777674, 42777676]
875_1094	chr6	109515797	109516197	+	1000	78.5	[17.8626, 11.440306]	[106, 112]	[]	[]	[109515981, 109515987]	[]
875_1099	chr1	26123433	26123833	+	1000	78.0	[8.684679]	[113]	[]	[]	[26123634]	[]
875_1108	chrX	131813024	131813424	+	1000	78.0	[6.155955]	[97]	[13.119147, 14.572868]	[115, 121]	[131813191]	[131813209, 131813215]
875_1110	chr12	26299028	26299428	+	1000	77.5	[]	[]	[15.844446, 14.824708]	[128, 134]	[]	[26299233, 26299239]
875_1111	chr12	27143570	27143970	+	1000	77.5	[]	[]	[8.208714, 4.3538494, 7.3322096, 7.3790197]	[117, 132, 133, 139]	[]	[27143774, 27143789, 27143790, 27143796]
875_1112	chr15	62059751	62060151	+	1000	77.5	[]	[]	[7.884836, 13.623188]	[88, 94]	[]	[62059907, 62059913]
875_1124	chr9	131178325	131178725	+	1000	77.5	[5.8303747]	[185]	[]	[]	[131178576]	[]
875_1126	chr10	5684620	5685020	+	1000	77.0	[8.956325, 17.726776, 11.999427, 4.795639, 5.682762, 10.1758175, 4.693955, 10.854706]	[79, 85, 91, 111, 115, 116, 117, 140]	[5.6868224]	[164]	[5684771, 5684777, 5684783, 5684803, 5684807, 5684808, 5684809, 5684832]	[5684856]
875_1129	chr18	35029757	35030157	+	1000	77.0	[7.1539745, 7.0584154]	[134, 140]	[18.547686]	[84]	[35029962, 35029968]	[35029912]
875_113	chr5	179836678	179837078	+	1000	220.5	[21.882477, 18.204178, 5.245191]	[135, 141, 147]	[]	[]	[179836913, 179836919, 179836925]	[]
875_1130	chr19	18173962	18174362	+	1000	77.0	[14.749548, 4.9025455]	[102, 108]	[]	[]	[18174155, 18174161]	[]
875_1132	chr2	39781261	39781661	+	1000	77.0	[15.0126505]	[183]	[]	[]	[39781485]	[]
875_1137	chr7	43759045	43759445	+	1000	77.0	[10.783961]	[96]	[6.457089]	[105]	[43759235]	[43759244]
875_1140	chr12	5620847	5621247	+	1000	76.5	[4.182635, 13.507869]	[186, 192]	[]	[]	[5621080, 5621086]	[]
875_1143	chr14	65098619	65099019	+	1000	76.5	[4.7727585, 21.599787, 8.9563]	[107, 153, 159]	[]	[]	[65098774, 65098820, 65098826]	[]
875_1150	chr4	76213513	76213913	+	1000	76.5	[6.555829]	[189]	[]	[]	[76213761]	[]
875_1151	chr4	187167037	187167437	+	1000	76.5	[10.116105]	[144]	[]	[]	[187167262]	[]
875_1154	chr7	21352802	21353202	+	1000	76.5	[]	[]	[13.389446, 15.44741]	[159, 165]	[]	[21353031, 21353037]
875_1159	chr1	159880099	159880499	+	1000	76.0	[18.635427, 7.9829373, 5.292223]	[82, 88, 89]	[]	[]	[159880265, 159880271, 159880272]	[]
875_116	chr21	35529156	35529556	+	1000	217.0	[20.744396, 13.579868]	[92, 98]	[]	[]	[35529347, 35529353]	[]
875_1160	chr1	244269237	244269637	+	1000	76.0	[]	[]	[19.447048, 12.960406]	[87, 93]	[]	[244269388, 244269394]
875_1161	chr10	50336068	50336468	+	1000	76.0	[]	[]	[4.1558313, 8.100527, 4.1222672, 5.6138573, 15.492555, 16.847246]	[61, 67, 71, 130, 148, 154]	[]	[50336224, 50336230, 50336234, 50336293, 50336311, 50336317]
875_1170	chr4	146175575	146175975	+	1000	76.0	[13.862262]	[130]	[]	[]	[146175730]	[]
875_1172	chr5	125109935	125110335	+	1000	76.0	[]	[]	[17.186283]	[126]	[]	[125110142]
875_1176	chr8	130042291	130042691	+	1000	76.0	[18.97995, 6.9355083]	[180, 186]	[]	[]	[130042534, 130042540]	[]
875_1177	chr1	89065089	89065489	+	1000	75.5	[]	[]	[6.885056, 19.494047]	[179, 185]	[]	[89065316, 89065322]
875_1178	chr1	234400768	234401168	+	1000	75.5	[]	[]	[10.460089, 17.927923, 7.848986, 4.659378]	[93, 99, 138, 144]	[]	[234400949, 234400955, 234400994, 234401000]
