#PeakID(python identify_motif.py ./ENCODE_processed_files/TEAD1_idr.fa TEAD1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
682_1	chrM	12229	12629	+	1000	992.0	[8.396125, 8.786715]	[150, 197]	[]	[]	[12381, 12428]	[]
682_10000	chr3	149225125	149225525	+	1000	47.0	[]	[]	[8.396125]	[160]	[]	[149225365]
682_10001	chr3	153221811	153222211	+	1000	47.0	[]	[]	[10.451979]	[145]	[]	[153221993]
682_10029	chr6	26440134	26440534	+	1000	47.0	[]	[]	[8.396125]	[139]	[]	[26440367]
682_1003	chr12	69415714	69416114	+	1000	115.5	[8.396125]	[119]	[]	[]	[69415929]	[]
682_10055	chr7	116465754	116466154	+	1000	47.0	[8.396125]	[160]	[]	[]	[116466005]	[]
682_10057	chr7	130132335	130132735	+	1000	47.0	[]	[]	[10.451979]	[136]	[]	[130132565]
682_10074	chr9	99180244	99180644	+	1000	47.0	[8.53598]	[134]	[]	[]	[99180429]	[]
682_10075	chr9	104094016	104094416	+	1000	47.0	[8.53598]	[87]	[]	[]	[104094179]	[]
682_1008	chr3	12841535	12841935	+	1000	115.5	[]	[]	[8.396125]	[149]	[]	[12841760]
682_10087	chrX	132017120	132017520	+	1000	47.0	[10.451979]	[128]	[]	[]	[132017345]	[]
682_10100	chr1	53957409	53957809	+	1000	46.5	[6.8707166]	[131]	[]	[]	[53957594]	[]
682_1011	chr7	127986872	127987272	+	1000	115.5	[]	[]	[8.786715]	[86]	[]	[127987055]
682_10113	chr1	197775769	197776169	+	1000	46.5	[]	[]	[10.451979]	[94]	[]	[197775958]
682_10123	chr1	248926750	248927150	+	1000	46.5	[6.8707166]	[134]	[]	[]	[248926950]	[]
682_10125	chr10	50624177	50624577	+	1000	46.5	[10.451979]	[213]	[]	[]	[50624413]	[]
682_10139	chr11	94741334	94741734	+	1000	46.5	[10.451979]	[156]	[]	[]	[94741550]	[]
682_1014	chr11	119101960	119102360	+	1000	115.0	[10.451979]	[123]	[]	[]	[119102175]	[]
682_10141	chr11	118912188	118912588	+	1000	46.5	[8.786715]	[157]	[8.53598]	[166]	[118912416]	[118912425]
682_10144	chr12	49567867	49568267	+	1000	46.5	[10.451979]	[165]	[]	[]	[49568048]	[]
682_10147	chr12	76329119	76329519	+	1000	46.5	[8.396125, 10.451979, 8.53598]	[90, 142, 155]	[]	[]	[76329304, 76329356, 76329369]	[]
682_10148	chr12	89162595	89162995	+	1000	46.5	[6.8707166]	[202]	[]	[]	[89162839]	[]
682_10150	chr12	118034796	118035196	+	1000	46.5	[8.786715]	[104]	[]	[]	[118034981]	[]
682_10169	chr16	30699069	30699469	+	1000	46.5	[]	[]	[8.396125]	[159]	[]	[30699308]
682_1017	chr8	124651081	124651481	+	1000	115.0	[8.786715]	[101]	[6.8707166]	[111]	[124651275]	[124651285]
682_10178	chr17	40111333	40111733	+	1000	46.5	[10.451979]	[109]	[]	[]	[40111514]	[]
682_10183	chr17	55816809	55817209	+	1000	46.5	[]	[]	[8.53598, 6.8707166]	[101, 142]	[]	[55817006, 55817047]
682_10184	chr17	58364185	58364585	+	1000	46.5	[]	[]	[6.8707166]	[144]	[]	[58364348]
682_10206	chr19	45769058	45769458	+	1000	46.5	[10.451979, 8.396125]	[116, 150]	[8.396125]	[148]	[45769262, 45769296]	[45769294]
682_10208	chr19	50794347	50794747	+	1000	46.5	[]	[]	[8.53598]	[148]	[]	[50794585]
682_1021	chr12	54295692	54296092	+	1000	114.5	[]	[]	[10.451979]	[165]	[]	[54295942]
682_10212	chr2	38665729	38666129	+	1000	46.5	[10.451979]	[73]	[]	[]	[38665885]	[]
682_10216	chr2	111897931	111898331	+	1000	46.5	[]	[]	[10.451979]	[166]	[]	[111898137]
682_10231	chr20	54207804	54208204	+	1000	46.5	[]	[]	[10.451979]	[80]	[]	[54207978]
682_10237	chr22	16799695	16800095	+	1000	46.5	[]	[]	[8.53598]	[165]	[]	[16799906]
