#PeakID(python identify_motif.py ./ENCODE_processed_files/STAT2_idr.fa STAT2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
877_1	chr14	24160997	24161397	+	1000	679.0	[8.405317]	[138]	[]	[]	[24161234]	[]
877_10	chr1	1013174	1013574	+	1000	528.0	[8.405317]	[130]	[7.9749885, 8.313011]	[66, 85]	[1013396]	[1013332, 1013351]
877_10000	chr13	76029020	76029420	+	772	18.0	[]	[]	[8.405317]	[106]	[]	[76029182]
877_10002	chr13	94596118	94596518	+	822	18.0	[]	[]	[8.405317]	[98]	[]	[94596283]
877_10009	chr14	23034676	23035076	+	734	18.0	[7.9749885]	[132]	[]	[]	[23034896]	[]
877_10012	chr14	65081396	65081796	+	667	18.0	[]	[]	[8.067295, 8.405317]	[73, 79]	[]	[65081558, 65081564]
877_1002	chr19	1132113	1132513	+	1000	46.0	[]	[]	[8.067295]	[115]	[]	[1132322]
877_10031	chr15	65551135	65551535	+	786	18.0	[8.067295]	[77]	[]	[]	[65551290]	[]
877_10035	chr15	69059063	69059463	+	769	18.0	[]	[]	[8.313011]	[143]	[]	[69059295]
877_1005	chr2	68121036	68121436	+	1000	46.0	[]	[]	[8.313011]	[114]	[]	[68121247]
877_10050	chr16	9598057	9598457	+	855	18.0	[]	[]	[8.313011]	[172]	[]	[9598270]
877_10071	chr16	66947146	66947546	+	634	18.0	[7.9749885]	[111]	[]	[]	[66947319]	[]
877_10076	chr16	68289603	68290003	+	830	18.0	[7.9749885]	[87]	[]	[]	[68289778]	[]
877_10089	chr17	7329478	7329878	+	751	18.0	[]	[]	[8.067295]	[77]	[]	[7329642]
877_10092	chr17	7857590	7857990	+	752	18.0	[]	[]	[7.9749885]	[150]	[]	[7857745]
877_10096	chr17	29124093	29124493	+	805	18.0	[8.313011]	[154]	[]	[]	[29124338]	[]
877_10100	chr17	33475562	33475962	+	772	18.0	[8.313011]	[123]	[]	[]	[33475770]	[]
877_10103	chr17	37047644	37048044	+	837	18.0	[]	[]	[8.405317]	[192]	[]	[37047886]
877_10112	chr17	42276898	42277298	+	807	18.0	[7.9749885]	[107]	[]	[]	[42277091]	[]
877_10115	chr17	43791575	43791975	+	677	18.0	[7.9749885]	[85]	[]	[]	[43791729]	[]
877_10127	chr17	57459176	57459576	+	703	18.0	[]	[]	[8.067295]	[96]	[]	[57459361]
877_10148	chr17	80833084	80833484	+	708	18.0	[8.067295]	[107]	[]	[]	[80833288]	[]
877_10158	chr18	11851171	11851571	+	730	18.0	[8.313011]	[167]	[]	[]	[11851396]	[]
877_10161	chr18	49492267	49492667	+	848	18.0	[8.313011, 7.9749885]	[138, 164]	[]	[]	[49492447, 49492473]	[]
877_10166	chr19	791689	792089	+	814	18.0	[7.9749885]	[172]	[]	[]	[791875]	[]
877_10169	chr19	1479234	1479634	+	808	18.0	[]	[]	[7.9749885]	[168]	[]	[1479436]
877_10174	chr19	4471716	4472116	+	789	18.0	[]	[]	[7.9749885]	[207]	[]	[4471928]
877_10185	chr19	12681203	12681603	+	774	18.0	[8.405317]	[121]	[]	[]	[12681401]	[]
877_10195	chr19	34269888	34270288	+	700	18.0	[]	[]	[8.313011]	[120]	[]	[34270098]
877_1020	chr6	31737888	31738288	+	1000	46.0	[8.405317]	[67]	[]	[]	[31738039]	[]
877_10223	chr19	52139701	52140101	+	545	18.0	[8.313011, 8.405317]	[88, 146]	[]	[]	[52139885, 52139943]	[]
877_10230	chr19	58466768	58467168	+	685	18.0	[8.313011]	[129]	[]	[]	[58466975]	[]
877_10248	chr2	33108681	33109081	+	804	18.0	[]	[]	[8.313011]	[96]	[]	[33108845]
877_10250	chr2	39781276	39781676	+	688	18.0	[]	[]	[8.405317]	[110]	[]	[39781485]
877_10253	chr2	47198886	47199286	+	736	18.0	[]	[]	[8.067295]	[108]	[]	[47199063]
877_10269	chr2	88627286	88627686	+	618	18.0	[]	[]	[8.067295]	[114]	[]	[88627490]
877_10281	chr2	127064822	127065222	+	802	18.0	[8.405317]	[129]	[]	[]	[127064983]	[]
877_10283	chr2	135530452	135530852	+	815	18.0	[8.067295, 8.405317]	[98, 155]	[]	[]	[135530616, 135530673]	[]
877_10290	chr2	191030508	191030908	+	774	18.0	[8.313011]	[151]	[]	[]	[191030745]	[]
877_10293	chr2	195656702	195657102	+	698	18.0	[]	[]	[7.9749885]	[179]	[]	[195656918]
877_103	chr11	320694	321094	+	1000	132.0	[]	[]	[8.405317, 8.405317]	[93, 110]	[]	[320884, 320901]
877_1031	chr9	130537536	130537936	+	1000	46.0	[]	[]	[8.313011]	[147]	[]	[130537751]
877_10323	chr20	57415271	57415671	+	676	18.0	[8.313011]	[163]	[]	[]	[57415501]	[]
877_10329	chr21	33361139	33361539	+	641	18.0	[7.9749885]	[178]	[]	[]	[33361335]	[]
877_1033	chrX	155334647	155335047	+	1000	46.0	[]	[]	[8.405317]	[86]	[]	[155334805]
877_10334	chr21	46184717	46185117	+	813	18.0	[8.067295]	[138]	[]	[]	[46184869]	[]
877_1035	chr1	44986443	44986843	+	1000	45.0	[8.405317]	[98]	[]	[]	[44986633]	[]
877_10359	chr22	24555738	24556138	+	796	18.0	[7.9749885]	[146]	[]	[]	[24555967]	[]
877_10395	chr3	50611757	50612157	+	802	18.0	[]	[]	[8.067295]	[205]	[]	[50612004]
877_10401	chr3	98770371	98770771	+	718	18.0	[]	[]	[8.405317]	[63]	[]	[98770525]
877_10405	chr3	129245649	129246049	+	733	18.0	[8.405317]	[165]	[]	[]	[129245844]	[]
877_10408	chr3	138686685	138687085	+	803	18.0	[8.405317]	[89]	[8.405317]	[143]	[138686873]	[138686927]
877_10409	chr3	152270324	152270724	+	657	18.0	[8.067295]	[220]	[8.313011]	[172]	[152270565]	[152270517]
